MUNICIPIO,DISTRITO,CASILLA,TIPO,PAN_PRD_PANAL_PEBC,PRI_PVEM_PES_PT,MC,NO ,NULO,TOTAL,LISTA NOMINAL
ENSENADA,14,1,B,80,148,16,0,18,262,564
ENSENADA,14,1,C1,108,148,25,4,25,310,565
ENSENADA,14,1,C2,107,121,27,7,13,275,565
ENSENADA,14,2,B,139,163,12,6,16,336,708
ENSENADA,14,2,C1,141,187,22,4,17,371,708
ENSENADA,14,3,B,91,116,11,7,3,228,578
ENSENADA,14,3,C1,60,148,12,2,7,229,578
ENSENADA,14,3,C2,62,129,14,0,9,214,579
ENSENADA,14,4,B,78,124,12,0,10,224,574
ENSENADA,14,4,C1,79,123,17,0,15,234,574
ENSENADA,14,4,C2,83,116,13,0,8,220,575
ENSENADA,14,5,B,70,143,16,2,2,233,488
ENSENADA,14,6,B,75,146,20,0,5,246,635
ENSENADA,14,6,C1,65,141,17,1,1,225,636
ENSENADA,14,7,B,89,148,24,1,18,280,708
ENSENADA,14,8,B,125,160,26,6,9,326,649
ENSENADA,14,8,C1,117,143,21,0,18,299,650
ENSENADA,14,9,B,71,134,7,2,4,218,559
ENSENADA,14,9,C1,64,113,15,0,3,195,559
ENSENADA,14,10,B,58,156,19,0,13,246,513
ENSENADA,14,10,C1,69,132,25,2,7,235,513
ENSENADA,14,11,B,104,147,19,2,4,276,665
ENSENADA,14,11,C1,89,128,23,0,12,252,665
ENSENADA,14,11,C2,107,151,22,2,7,289,666
ENSENADA,14,11,D1,34,122,8,0,6,170,369
ENSENADA,14,12,B,86,162,23,0,2,273,722
ENSENADA,14,12,C1,93,144,20,0,8,265,722
ENSENADA,14,12,C2,86,136,14,0,7,243,722
ENSENADA,14,12,C3,90,162,17,0,4,273,723
ENSENADA,14,12,C4,97,161,14,0,6,278,723
ENSENADA,14,13,B,67,150,16,0,8,241,683
ENSENADA,14,13,C1,44,134,14,0,7,199,683
ENSENADA,14,13,C2,67,149,18,0,4,238,683
ENSENADA,14,13,C3,68,150,18,3,2,241,684
ENSENADA,14,13,D1,70,177,20,1,6,274,715
ENSENADA,14,13,D1C1,91,167,11,2,6,277,715
ENSENADA,14,13,D1C10,70,168,17,0,10,265,716
ENSENADA,14,13,D1C2,76,147,16,1,2,242,715
ENSENADA,14,13,D1C3,78,161,22,0,1,262,715
ENSENADA,14,13,D1C5,80,171,9,0,9,269,715
ENSENADA,14,13,D1C6,82,171,16,0,4,273,715
ENSENADA,14,13,D1C7,74,156,17,0,6,253,715
ENSENADA,14,13,D1C8,70,159,15,2,4,250,715
ENSENADA,14,13,D1C9,73,152,14,0,5,244,716
ENSENADA,14,13,D2,51,119,20,0,4,194,526
ENSENADA,14,13,D2C1,51,113,15,0,6,185,527
ENSENADA,14,13,D2C2,56,93,14,1,6,170,527
ENSENADA,14,14,B,78,129,13,0,9,229,692
ENSENADA,14,14,C1,61,139,12,0,11,223,692
ENSENADA,14,14,C2,68,127,16,0,13,224,692
ENSENADA,14,14,C3,57,150,13,0,4,224,692
ENSENADA,14,14,C4,79,136,16,0,9,240,692
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
