Municipio,Distrito,Casilla,Tipo,PAN-PVEM,PRI,PRD,PT,PEBC,PSN,PC- PAS,Nulos
Tecate,7,1,B,106,107,34,13,0,0,25,11
Tecate,7,1,C,106,86,35,11,0,0,25,6
Tecate,7,2,B,97,101,18,22,0,0,17,6
Tecate,7,2,C,101,104,17,8,0,0,15,7
Tecate,7,3,B,116,90,13,2,0,0,28,3
Tecate,7,3,C1,157,83,21,6,0,0,15,7
Tecate,7,3,C2,135,89,18,7,0,0,17,6
Tecate,7,4,B,146,118,25,8,0,0,33,10
Tecate,7,4,C,118,128,24,6,0,0,23,12
Tecate,7,5,B,93,60,12,8,0,0,7,3
Tecate,7,5,C,100,73,21,3,0,0,16,5
Tecate,7,6,B,77,78,13,8,0,0,14,4
Tecate,7,6,C,98,72,19,7,0,0,9,6
Tecate,7,7,B,109,99,20,7,0,0,19,7
Tecate,7,7,C,149,131,14,7,0,0,12,11
Tecate,7,7,E,4,2,0,0,0,0,0,0
Tecate,7,8,B,131,102,14,2,0,0,11,11
Tecate,7,8,C,105,120,22,7,0,0,9,9
Tecate,7,9,B,76,97,16,9,0,0,19,8
Tecate,7,9,C,124,105,17,3,0,0,15,6
Tecate,7,9,D,119,126,22,7,0,0,10,10
Tecate,7,10,B,90,104,20,11,0,0,12,2
Tecate,7,10,C1,88,89,25,14,0,0,17,6
Tecate,7,10,C2,77,112,21,15,0,0,19,3
Tecate,7,11,B,88,79,13,5,0,0,15,8
Tecate,7,11,C,69,92,13,2,0,0,17,4
Tecate,7,12,B,146,112,31,9,0,0,20,3
Tecate,7,12,C,125,128,22,9,0,0,15,5
Tecate,7,13,B,142,81,20,8,0,0,15,4
Tecate,7,13,C,119,81,16,8,0,0,24,7
Tecate,7,14,B,140,108,16,8,0,0,12,6
Tecate,7,14,C,129,85,14,3,0,0,11,11
Tecate,7,15,B,105,94,20,11,0,0,24,1
Tecate,7,15,C,92,96,24,8,0,0,21,9
Tecate,7,16,B,110,96,20,8,0,0,23,5
Tecate,7,16,C,134,73,12,7,0,0,21,8
Tecate,7,17,B,127,78,22,7,0,0,14,6
Tecate,7,17,C,136,96,18,8,0,0,12,13
Tecate,7,18,B,112,101,48,10,0,0,22,10
Tecate,7,18,C1,94,80,36,11,0,0,14,9
Tecate,7,18,C2,74,79,36,17,0,0,19,6
Tecate,7,19,B,112,99,33,10,0,0,22,10
Tecate,7,19,C,119,127,28,21,0,0,14,9
Tecate,7,20,B,97,111,22,13,0,0,15,6
Tecate,7,20,C,108,88,22,9,0,0,12,6
Tecate,7,21,B,76,106,20,17,0,0,18,3
Tecate,7,21,C1,77,121,31,15,0,0,17,7
Tecate,7,21,C2,82,103,21,17,0,0,12,6
Tecate,7,22,B,44,71,54,17,0,0,13,9
Tecate,7,22,C1,0,0,0,0,0,0,0,0
Tecate,7,22,C2,58,82,44,17,0,0,29,8
Tecate,7,23,B,0,0,0,0,0,0,0,0
Tecate,7,23,C1,0,0,0,0,0,0,0,0
Tecate,7,23,C2,60,63,16,8,0,0,12,4
Tecate,7,24,B,83,92,23,36,0,0,17,5
Tecate,7,24,C,99,102,18,22,0,0,16,4
Tecate,7,25,B,61,91,29,18,0,0,4,8
Tecate,7,25,C,61,107,20,11,0,0,11,8
