ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,PRI_PT_PVEM,PRI_PT_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PT_PVEM_NVA_ALIANZA,PRI_PT,PRI_PVEM,PRI_NVA_ALIANZA,PT_PVEM,PT_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1057,125468,79239,13687,3480,7003,8424,10136,16098,10106,330,79,69,211,25,181,276,218,19,10,48,2094,,402,673,1927,1950,2423,875,284576,12650,298101,606018,0.4919
1,AGUASCALIENTES,2,ASIENTOS,17,52,7072,4437,250,180,462,387,6718,458,497,48,4,28,33,2,8,23,144,3,3,25,,,,,,,,11,20782,579,21372,32191,0.6639
1,AGUASCALIENTES,3,CALVILLO,31,73,12386,5376,1991,918,673,436,497,559,377,22,13,8,4,3,55,21,12,2,1,1,,,,,,,,13,23355,727,24095,44001,0.5476
1,AGUASCALIENTES,4,COSIO,5,17,2164,2003,159,209,1137,305,183,316,479,2,0,3,1,1,4,17,7,0,0,1,,,,,,,,3,6991,363,7357,10895,0.6753
1,AGUASCALIENTES,5,JESUS MARIA,22,109,15715,11419,898,506,902,711,1047,1510,823,1,5,3,2,1,9,18,2,1,0,3,,877,,,,,,69,34453,1105,35627,72369,0.4923
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,4491,2988,6069,520,421,442,1691,528,678,15,3,17,9,1,16,16,48,1,1,2,,,,,,,,20,17957,701,18678,29249,0.6386
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,57,5872,4502,792,340,625,1473,1244,718,1798,23,12,25,30,1,17,23,53,4,0,8,,,,,,,,16,17560,678,18254,35392,0.5158
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,12,1978,1079,209,464,81,280,381,281,75,2,0,4,0,0,6,2,2,0,1,1,,,,,,,,5,4846,139,4990,6514,0.7660
1,AGUASCALIENTES,9,TEPEZALA,10,23,4306,648,620,282,2617,161,1221,147,44,1,4,4,2,0,2,33,18,5,4,19,,,,,,,,8,10138,303,10449,14442,0.7235
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,43,5099,5025,346,183,875,200,1066,707,724,6,1,0,10,0,12,32,12,1,0,2,,,,,,,,26,14301,488,14815,28457,0.5206
1,AGUASCALIENTES,11,EL LLANO,8,25,2338,1861,1933,2016,448,330,244,166,96,9,4,25,6,3,63,5,2,2,4,0,,,,,,,,6,9555,409,9970,14108,0.7067
