ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,74,8036,6598,951,580,1809,1778,1488,1034,2277,,,,,,,,19,24551,1041,25611,46287,0.5533
1,AGUASCALIENTES,2,EL LLANO,25,77,9410,6470,2183,2273,968,717,7099,624,593,,,,,,,,17,30337,988,31342,46299,0.6769
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,72,8797,3721,6689,829,3087,603,2972,675,722,,,,,,,,28,28095,1004,29127,43691,0.6667
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,77,10350,7875,857,340,1349,579,1501,1393,1097,,,,,,,,76,25341,875,26292,51633,0.5092
1,AGUASCALIENTES,5,AGUASCALIENTES,18,70,8275,5825,913,247,423,364,485,1270,435,,,,,,1950,,36,20187,793,21016,46255,0.4544
1,AGUASCALIENTES,6,AGUASCALIENTES,37,96,16676,6631,911,200,775,1890,652,1679,832,,,,,,,,116,30246,1577,31939,55381,0.5767
1,AGUASCALIENTES,7,JESUS MARIA,16,75,10464,8621,387,364,464,332,630,824,450,,877,,,,,,19,23413,718,24150,49193,0.4909
1,AGUASCALIENTES,8,CALVILLO,38,85,14364,6522,2200,1429,779,916,899,840,452,,,,,,,,18,28201,866,29085,50515,0.5758
1,AGUASCALIENTES,9,AGUASCALIENTES,37,90,9394,7761,1920,336,623,372,592,1349,809,,,,,,,,58,23156,951,24165,52294,0.4621
1,AGUASCALIENTES,10,AGUASCALIENTES,43,95,13296,6317,881,228,557,553,1604,1438,556,2094,,,,,,,71,27524,1141,28736,54026,0.5319
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,14188,7728,1413,299,801,756,1672,2044,958,,,,,,,,101,29859,1471,31431,57291,0.5486
1,AGUASCALIENTES,12,AGUASCALIENTES,16,68,5996,6629,1179,329,473,591,544,,866,,,,,,,,29,16607,554,17190,44877,0.3830
1,AGUASCALIENTES,13,AGUASCALIENTES,33,88,8460,6566,727,200,556,522,609,1173,427,,,402,673,1927,,,58,22242,889,23189,48844,0.4748
1,AGUASCALIENTES,14,AGUASCALIENTES,32,84,11170,7249,1174,335,624,727,868,2121,1186,,,,,,,,119,25480,1201,26800,51918,0.5162
1,AGUASCALIENTES,15,AGUASCALIENTES,41,90,8195,6448,1289,345,639,507,1229,1962,1161,,,,,,,,76,21775,1009,22860,49606,0.4608
1,AGUASCALIENTES,16,AGUASCALIENTES,36,75,6780,5175,1300,356,666,796,1083,,1319,,,,,,,,30,17475,748,18253,41517,0.4397
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,13867,7167,1051,247,554,645,570,1621,660,,,,,,,2423,82,28805,1225,30112,55892,0.5388
1,AGUASCALIENTES,18,AGUASCALIENTES,24,80,9174,6303,929,554,671,701,550,1441,897,,,,,,,,99,21220,1091,22410,48117,0.4657
