ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
31,YUCATAN,1,ABALA,6,10,1624,1810,36,495,17,9,17,14,9,0,2,,8,1,4041,54,4096,4562,0.8978
31,YUCATAN,2,ACANCEH,7,18,2226,2804,572,170,28,64,2911,178,50,0,,23,,0,9026,271,9297,10999,0.8452
31,YUCATAN,3,AKIL,5,13,968,2913,1990,14,12,7,52,36,6,1,,26,,0,6025,127,6152,7492,0.8211
31,YUCATAN,4,BACA,5,7,707,1856,108,2,71,2,794,1,2,72,,,2,0,3617,66,3683,4307,0.8551
31,YUCATAN,5,BOKOBA,2,4,331,1028,226,0,18,6,88,1,23,12,,,0,0,1733,14,1747,1941,0.9
31,YUCATAN,6,BUCTZOTZ,6,12,2817,2554,19,7,15,11,22,92,12,7,4,,,0,5560,92,5652,6524,0.8663
31,YUCATAN,7,CACALCHEN,4,9,1875,2061,387,5,20,9,10,6,4,30,,,5,0,4412,59,4471,5307,0.8424
31,YUCATAN,8,CALOTMUL,4,6,1227,1541,2,3,2,4,2,21,1,2,11,,,0,2816,26,2842,3210,0.8853
31,YUCATAN,9,CANSAHCAB,6,9,1211,1203,115,7,20,84,314,39,2,1,4,,,0,3000,45,3045,3571,0.8527
31,YUCATAN,10,CANTAMAYEC,3,4,799,712,5,27,0,0,0,1,0,0,0,,0,0,1544,4,1548,1673,0.9252
31,YUCATAN,11,CELESTUN,4,9,409,2269,1227,42,22,13,16,40,5,0,6,,5,0,4054,121,4175,4927,0.8473
31,YUCATAN,12,CENOTILLO,5,7,1032,1477,6,5,2,0,6,6,1,1,4,,0,0,2540,15,2555,3045,0.839
31,YUCATAN,13,CONKAL,6,14,2468,2601,27,6,257,26,27,17,16,102,,,6,0,5553,105,5658,7330,0.7718
31,YUCATAN,14,CUNCUNUL,2,3,456,732,4,1,0,2,2,78,0,0,1,,1,0,1276,9,1285,1357,0.9469
31,YUCATAN,15,CUZAMA,3,6,971,1226,766,11,3,8,3,7,2,0,,6,,0,3003,48,3051,3573,0.8539
31,YUCATAN,16,CHACSINKIN,1,3,779,1040,1,3,1,1,0,3,0,0,0,,,0,1828,21,1849,1962,0.9424
31,YUCATAN,17,CHANKOM,4,8,1193,1859,4,1,1,1,0,13,0,1,1,,0,0,3074,12,3086,3344,0.9228
31,YUCATAN,18,CHAPAB,3,6,1199,1267,7,8,3,3,5,31,3,7,0,,,1,2533,21,2555,2894,0.8828
31,YUCATAN,19,CHEMAX,13,34,8339,7864,77,37,12,10,105,181,7,13,23,,,0,16668,167,16835,19879,0.8468
