ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
31,YUCATAN,1,MERIDA,70,153,22986,23148,626,1502,382,1541,681,1870,0,0,42,52778,2389,55167,87073,0.6289
31,YUCATAN,2,MERIDA,102,177,23689,24832,1017,1571,385,2372,909,2403,0,0,33,57211,2982,60193,94785,0.6381
31,YUCATAN,3,MERIDA,82,196,25152,26053,967,1624,459,2412,1011,3291,0,0,74,61043,3662,64705,109054,0.5911
31,YUCATAN,4,MERIDA,64,168,27108,21878,1169,1423,358,2843,749,2504,0,0,72,58104,3235,61339,95126,0.6464
31,YUCATAN,5,MERIDA,51,145,28464,16787,709,1395,331,2816,695,2384,0,0,79,53660,3083,56743,88569,0.6413
31,YUCATAN,6,KANASIN,55,173,21527,28995,1605,1839,384,1498,731,1955,0,0,0,58534,656,59190,107818,0.5712
31,YUCATAN,7,MERIDA,66,168,17558,26329,757,2007,367,1567,718,1752,0,0,18,51073,2652,53725,102308,0.5214
31,YUCATAN,8,UMAN,59,147,21512,24843,9007,3567,574,303,1807,1187,241,0,11,63052,2137,65189,85719,0.7607
31,YUCATAN,9,PROGRESO,87,185,20720,33755,1672,2398,459,1040,9695,1651,264,0,26,71680,1770,73450,104863,0.7086
31,YUCATAN,10,TIZIMIN,93,188,33139,37149,745,608,200,1375,1137,1644,90,0,36,76123,1492,77615,97827,0.7937
31,YUCATAN,11,VALLADOLID,64,148,20214,28068,4691,497,331,360,2001,8991,144,162,5,65464,1235,66699,88150,0.7565
31,YUCATAN,12,TEKAX,74,166,16688,33467,18522,433,1382,174,1145,845,271,0,3,72930,3004,75934,93432,0.803
31,YUCATAN,13,TICUL,64,156,26679,33905,1190,6377,183,230,655,1880,165,400,11,71675,1082,72757,89121,0.8189
31,YUCATAN,14,TIXKOKOB,79,170,26026,36385,9503,2508,282,285,3526,1492,457,0,3,80467,1445,81912,94702,0.8649
31,YUCATAN,15,IZAMAL,106,189,34386,42498,4118,931,107,484,155,824,57,0,0,83560,1165,84725,98061,0.864
