CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,1,3,323,216,15,138,22,0,25,5,12,56,0,0,0,0,812,21,833,1505
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,2,3,488,233,3,262,16,3,15,5,13,88,0,0,0,0,1126,17,1143,1935
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,3,2,349,203,17,150,9,4,14,9,6,68,0,0,0,0,829,23,852,1482
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,4,2,264,173,2,89,10,1,9,5,8,61,0,0,0,1,623,5,628,1024
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,5,2,218,201,2,77,20,4,20,8,9,59,0,0,0,1,619,22,641,1070
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,6,4,451,361,12,283,33,10,30,13,22,124,0,0,0,0,1339,38,1377,2580
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,7,2,282,188,6,126,21,3,9,6,12,106,0,0,0,0,759,16,775,1338
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,8,2,325,231,7,147,11,0,5,6,18,72,0,0,0,0,822,17,839,1395
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,9,3,561,320,27,175,17,1,13,4,9,94,0,0,0,0,1221,13,1234,2179
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,10,3,383,269,7,205,12,4,18,17,31,105,0,0,0,0,1051,21,1072,1785
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,11,5,756,293,5,347,71,9,33,23,19,238,0,0,0,0,1794,25,1819,3096
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,12,2,102,205,8,224,7,2,12,6,10,1,0,0,0,0,577,18,595,1286
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,13,1,118,106,9,93,10,1,5,4,2,2,0,0,0,0,350,10,360,711
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,14,1,42,22,4,89,0,0,1,1,0,0,0,0,0,0,159,0,159,372
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,15,1,112,39,5,45,3,1,11,6,1,0,0,0,0,0,223,11,234,731
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,16,3,296,235,19,116,42,0,8,12,0,2,0,0,0,0,730,12,742,1739
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,17,2,219,214,57,54,2,3,9,24,2,4,0,0,0,0,588,19,607,1342
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,18,2,130,85,11,151,5,4,4,10,5,3,0,0,0,0,408,9,417,841
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,19,2,89,89,56,81,4,1,7,20,3,8,0,0,0,0,358,9,367,1106
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,20,3,432,186,7,123,6,3,11,13,0,0,0,0,0,0,781,20,801,1890
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,21,3,188,427,11,71,19,4,8,12,3,3,0,0,0,1,747,16,763,1718
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,22,3,227,281,32,330,9,1,8,4,2,13,0,0,0,0,907,31,938,2109
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,23,1,128,34,2,76,1,1,3,3,2,4,0,0,0,0,254,4,258,468
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,24,3,291,419,9,184,5,3,16,52,10,16,0,0,0,0,1005,32,1037,1760
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,25,2,213,145,4,142,4,1,14,6,4,5,0,0,0,0,538,3,541,949
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,26,3,143,130,11,687,4,2,6,0,1,8,0,0,0,0,992,12,1004,1524
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,27,2,246,161,6,211,72,4,11,13,1,19,0,0,0,0,744,13,757,1433
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,28,1,83,20,0,114,2,0,5,0,0,4,0,0,0,0,228,1,229,362
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,29,2,127,157,2,168,13,5,11,2,2,23,0,0,0,0,510,16,526,988
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,30,2,132,82,5,119,2,1,8,1,4,0,0,0,0,0,354,13,367,751
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,31,3,387,97,0,309,14,2,14,3,7,5,0,0,0,0,838,16,854,1582
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,32,2,265,201,2,251,7,1,9,3,3,5,0,0,0,0,747,17,764,1207
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,33,1,210,85,17,118,12,1,4,2,2,16,0,0,0,0,467,6,473,738
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,34,3,268,144,14,201,2,9,11,3,6,14,0,0,0,0,672,28,700,1682
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,35,2,123,165,2,141,9,4,8,1,1,20,0,0,0,0,474,7,481,965
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,36,2,121,196,3,87,8,5,5,3,8,17,0,0,0,0,453,14,467,855
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,37,2,176,91,7,248,1,2,11,8,4,4,0,0,0,0,552,16,568,1134
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,38,3,562,234,33,235,32,44,10,8,19,83,0,0,0,0,1260,40,1300,2228
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,39,3,342,148,15,268,20,4,14,12,13,44,0,0,0,0,880,15,895,1546
