CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,B ,63,146,12,11,2,21,15,15,18,0,0,1,0,0,304,12,316,506,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0001B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,C01,98,108,20,9,4,13,20,18,19,1,1,0,0,0,311,13,324,505,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0001C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,C02,72,126,10,6,2,24,15,19,27,4,0,0,1,1,306,9,316,505,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0001C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,B ,49,56,2,7,2,13,21,5,19,1,0,0,0,0,175,9,184,435,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0002B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,C01,133,73,2,4,4,9,20,8,5,0,0,0,0,0,258,10,268,435,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0002C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,3,B ,89,44,5,5,5,22,20,16,17,2,0,0,0,0,225,10,235,294,ACTA CASILLA,,,
5,13,HIDALGO,9,METEPEC,1,ACATLAN,4,B ,85,85,10,2,3,25,14,14,14,0,0,0,0,1,252,9,262,260,ACTA CASILLA,,,
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,B ,28,84,6,7,1,4,39,0,26,2,0,0,0,0,197,9,206,701,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0005B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,E01,67,126,21,7,8,37,71,30,2,6,1,1,0,0,377,33,410,244,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0005E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,B ,174,110,7,15,4,9,9,8,16,5,2,0,0,0,359,22,381,337,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0006B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,E01,197,2,92,1,4,6,9,17,7,2,1,0,0,0,338,16,354,456,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0006E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,E01C01,45,54,3,4,1,4,18,3,28,2,2,1,0,0,165,19,184,455,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0006E01C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,B ,122,144,14,8,5,17,29,22,15,2,2,0,0,0,380,12,392,659,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0007B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,C01,134,103,8,3,5,14,40,15,28,4,0,4,0,0,358,15,373,659,ACTA CASILLA,,,
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,B ,117,147,25,12,2,15,14,28,21,1,1,1,1,1,385,18,404,619,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0008B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,C01,58,192,8,21,0,3,1,13,7,0,3,1,1,0,308,11,319,619,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0008C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,C02,146,128,14,5,5,7,22,17,10,1,1,2,0,0,358,2,360,618,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0008C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,B ,93,109,10,23,9,15,87,19,17,5,1,1,0,0,389,36,425,658,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0009B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,C01,70,58,8,5,1,5,9,9,14,1,1,0,0,0,181,12,193,658,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0009C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,C02,183,90,10,7,1,11,12,16,14,4,1,0,1,0,350,17,367,658,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0009C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,C03,220,139,8,9,8,12,42,14,4,2,0,1,0,0,459,12,471,658,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0009C03.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,B ,97,101,10,2,4,8,17,8,1,2,1,1,0,0,252,17,269,582,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0010B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,C01,86,118,15,10,4,25,41,34,19,6,0,0,0,0,358,26,384,581,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0010C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,E01,209,131,1,14,5,9,40,5,11,5,0,0,0,0,430,11,441,546,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0010E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,B ,92,109,16,23,5,20,59,32,25,6,2,2,0,0,391,27,418,679,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0011B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,C01,102,143,17,16,4,20,51,36,21,4,0,1,0,0,415,29,444,679,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0011C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,C02,219,92,9,16,4,14,82,13,125,9,0,0,0,0,583,23,606,679,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0011C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,B ,21,14,8,7,0,0,15,5,24,1,0,0,0,0,95,10,105,560,GRUPO DE RECUENTO,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0012B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,C01,77,131,21,15,0,4,2,8,78,6,3,2,0,0,347,16,363,560,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0012C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,E01,125,155,18,13,3,23,27,24,31,5,2,0,0,0,426,12,438,281,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0012E01.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,B ,49,163,21,3,13,63,19,67,11,,,,,0,409,25,434,694,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0013B00.jpg
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,C01,55,192,33,9,6,59,15,53,7,,,,,1,429,21,451,693,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/DIPUTADOS_MR/VD0013C01.jpg
