ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PAN_PRD_PT,PRI,PRD,PT,PT_MORENA_ES,PVEM,MC,NA,MORENA,ES,VR,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,86,,6695,9934,,,10208,420,,2472,,,145,,,,,,,,,,,,,,,,,,,29874,7,1258,31139,45311,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M001.pdf
15,MEXICO,2,ACOLMAN,26,125,,8790,16065,,,25503,2020,,1400,,,1074,,,,,,,,,,,,,,,,,,,54852,34,1212,56098,81436,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M002.pdf
15,MEXICO,3,ACULCO,23,59,,6438,10841,,,4560,385,,254,,,446,,,,,,,,,,,,,,,,,,,22924,17,1026,23967,33305,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M003.pdf
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,,752,5312,,,2538,23,,60,,,13,,,,,,,,,,,,,,,,,,,8698,2,275,8975,11863,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M004.pdf
15,MEXICO,5,ALMOLOYA DE JUAREZ 1,56,181,,14484,17794,,4451,,1978,,3034,20589,1538,2079,,,,,,,,,,,,,,,,,,,65947,14,3655,69616,111693,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M005_ALMOLOYADEJUAREZ_JI_14_2018.pdf
15,MEXICO,6,ALMOLOYA DEL RIO 2,5,13,,1880,1254,,,1731,1296,,207,,,43,,,,,,,,,,,,,,,,,,,6411,30,202,6643,8464,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M006.pdf
15,MEXICO,7,AMANALCO,10,29,,421,3491,,,4840,548,,663,,,2985,,,,,,,,,,,,,,,,,,,12948,4,439,13391,17591,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M007.pdf
15,MEXICO,8,AMATEPEC,27,46,,7173,5073,,,2441,43,,,,,,,,,,,,,,,,,,,,,,,,14730,10,625,15365,20578,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M008.pdf
15,MEXICO,9,AMECAMECA,26,68,,3722,5352,,,6211,8954,,410,,,3679,,,,,,,,,,,,,,,,,,,28328,12,801,29141,40264,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M009.pdf
15,MEXICO,10,APAXCO,14,36,4688,,2066,65,,978,,3225,833,,,40,2945,,,,,,,,,,,,,,,,,,14840,3,361,15204,21514,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M010.pdf
15,MEXICO,11,ATENCO,14,66,,1825,6713,,2056,,314,,1751,11227,841,254,,3670,,,,,,,,,,,,,,,,,28651,10,1219,29880,43672,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M011.pdf
15,MEXICO,12,ATIZAPAN,3,13,,846,994,,,2626,1062,,71,,,318,,,,,,,,,,,,,,,,,,,5917,2,146,6065,8343,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M012.pdf
15,MEXICO,13,ATIZAPAN DE ZARAGOZA 3,167,617,,67010,34002,,,88024,51627,,4667,,,6363,,,,,,,,,,,,,,,,,,,251693,180,6342,258215,396803,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M013_ATIZAPANDEZARAGOZA_JI_116_2018.pdf
