ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,11,ATENCO,14,66,1099,6713,474,2056,314,252,1751,11227,841,254,,3670,,,,,,,,,,,,,,,,,28651,10,1219,29880,43672,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M011.pdf
15,MEXICO,12,ATIZAPAN,3,13,557,994,204,539,1062,85,71,2011,76,318,,,,,,,,,,,,,,,,,,,5917,2,146,6065,8343,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M012.pdf
15,MEXICO,13,ATIZAPAN DE ZARAGOZA 3,167,617,58861,34002,4582,6379,51627,3567,4667,76398,5247,6363,,,,,,,,,,,,,,,,,,,251693,180,6342,258215,396803,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M013_ATIZAPANDEZARAGOZA_JI_116_2018.pdf
15,MEXICO,14,ATLACOMULCO,39,126,4826,15520,767,4186,1123,561,1055,20643,1374,433,,,,,,,,,,,,,,,,,,,50488,35,1543,52066,74401,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M014.pdf
15,MEXICO,15,ATLAUTLA,13,34,2227,3828,262,112,60,277,592,1341,154,4800,,,863,,,,,,,,,,,,,,,,14516,1,522,15039,20936,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M015.pdf
15,MEXICO,16,AXAPUSCO,20,33,1949,4827,138,3996,50,59,226,1919,129,35,,,,665,,,,,,,,,,,,,,,13993,2,336,14331,17874,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M016.pdf
15,MEXICO,17,AYAPANGO,5,9,120,794,2533,35,37,146,22,490,14,18,,,,,,,,,,,,,,,,,,,4209,4,109,4322,5683,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M017.pdf
15,MEXICO,18,CALIMAYA,16,60,7487,7036,483,889,1124,280,919,6008,283,1772,,,,,,,,,,,,,,,,,,,26281,7,702,26990,37607,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M018.pdf
15,MEXICO,19,CAPULHUAC 4,12,40,540,2490,633,420,1699,91,5060,2747,122,914,,,,,,,,,,,,,,,,,,,14716,10,321,15047,25014,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M019.pdf
15,MEXICO,20,COACALCO DE BERRIOZABAL,106,351,26546,24423,12325,3744,4525,2644,3298,64222,3462,5641,,,,,,,,,,,,,,,,,,,150830,102,3408,154340,223214,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M020.pdf
15,MEXICO,21,COATEPEC HARINAS 5,19,50,2769,5357,175,5536,533,119,198,2983,183,169,,,,,,,,,,,,,,,,,,,18022,10,607,18639,26702,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M021.pdf
15,MEXICO,22,COCOTITLAN 6,6,17,2050,1587,2319,59,475,1139,127,802,90,23,,,,,,,,,,,,,,,,,,,8671,6,177,8854,11388,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M022.pdf
15,MEXICO,23,COYOTEPEC,11,54,5867,3510,385,686,2482,372,1667,6805,400,1026,,,,,,,,,,,,,,,,,,,23200,19,481,23700,36152,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M023.pdf
15,MEXICO,24,CUAUTITLAN 7,27,123,6374,14418,1216,1279,732,658,4798,21274,1002,789,,,,,3576,,,,,,,,,,,,,,56116,20,1102,57238,81448,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M024_CUAUTITLAN_JI_88_2018.pdf
15,MEXICO,25,CUAUTITLAN IZCALLI 8,258,674,84508,35029,5596,6390,11645,5590,7969,107930,6028,8689,,,,,,,,,,,,,,,,,,,279374,170,6374,285918,408508,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M025.pdf
15,MEXICO,26,CHALCO 9,71,356,9756,30187,11315,5113,2974,6598,2226,68799,6290,2378,,,,,,,,,,,,,,,,,,,145636,98,4341,150075,239188,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M026.pdf
15,MEXICO,27,CHAPA DE MOTA,14,39,6718,3481,157,122,174,335,4499,837,83,188,,,,,,,,,,,,,,,,,,,16594,1,627,17222,20760,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M027.pdf
15,MEXICO,28,CHAPULTEPEC,2,12,628,2185,89,217,1075,62,187,526,37,737,,,,,,,,,,,,,,,,,,,5743,2,106,5851,7927,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M028.pdf
15,MEXICO,29,CHIAUTLA,12,35,346,5861,143,101,577,163,263,8574,118,,,,,,,,,,,,,,,,,,,,16146,11,312,16469,21271,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M029.pdf
