ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,23234,22097,3172,35285,756,3423,1238,443,361,8964,490,74,99463,2602,102139,193283,0.5445
30,VERACRUZ,2,TANTOYUCA,198,365,37307,29490,11555,17842,1529,959,1647,520,975,13276,898,16,115998,3737,119751,191491,0.6254
30,VERACRUZ,3,TUXPAN,160,372,25301,23220,12474,4798,1907,840,1349,1497,1112,24279,1132,62,97909,3408,101379,205347,0.4937
30,VERACRUZ,4,ALAMO,210,398,32989,41050,10883,5813,2391,2168,1275,915,1112,15068,1531,46,115195,4281,119522,201760,0.598
30,VERACRUZ,5,POZA RICA,139,323,18091,19868,12620,2565,1255,1735,2737,2177,2395,24196,1000,88,88639,3160,91887,184805,0.5238
30,VERACRUZ,6,PAPANTLA,149,351,19380,35427,13652,7096,1967,2764,1458,11396,947,12638,621,36,107346,4096,111478,195530,0.5746
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,21432,20628,7692,4601,3486,920,1884,607,1539,17980,1434,53,82203,3189,85445,176344,0.4934
30,VERACRUZ,8,MISANTLA,214,380,19549,14919,8915,3657,13506,2536,1496,10581,3036,19799,1408,39,99402,3323,102764,185638,0.5536
30,VERACRUZ,9,PEROTE,131,317,23378,27630,3402,1162,5159,1787,882,4716,3015,15756,895,28,87782,4314,92124,168267,0.5475
30,VERACRUZ,10,XALAPA I,137,304,21275,14269,4427,2188,1628,3366,1217,1925,1896,39715,3023,1837,94929,3830,100596,177680,0.5662
30,VERACRUZ,11,XALAPA II,117,314,27585,16283,3605,2372,1356,3870,1365,905,2936,35962,3981,151,100220,3659,104030,183827,0.587
30,VERACRUZ,12,COATEPEC,122,309,23000,14677,4471,7284,1213,1101,1024,12257,1108,24036,1497,95,91668,4531,96294,175236,0.5559
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,35251,23607,8744,2384,2313,2476,1019,907,1878,17105,1352,105,97036,2778,99919,182984,0.5531
30,VERACRUZ,14,VERACRUZ I,173,379,54191,18548,3686,2650,1162,3260,2199,822,831,18910,2084,100,108343,3516,111959,217523,0.5193
30,VERACRUZ,15,VERACRUZ II,190,399,62007,19451,3578,2630,1691,1844,2074,878,1124,22243,2233,176,119753,4081,124010,227222,0.5458
30,VERACRUZ,16,BOCA DEL RIO,186,378,65503,26517,3176,3261,1032,1564,1401,751,802,14982,1391,113,120380,3878,124371,207755,0.5986
30,VERACRUZ,17,MEDELLIN,137,339,34901,26689,7325,3878,1175,1565,2139,2263,642,16657,924,43,98158,3314,101515,185371,0.5476
30,VERACRUZ,18,HUATUSCO,119,303,27706,25924,8036,9136,1104,2384,1652,713,1699,11792,968,82,91114,4679,95875,172008,0.5574
30,VERACRUZ,19,CORDOBA,154,348,29381,32084,2661,2115,1190,3049,1264,1548,1257,27436,1600,203,103585,4657,108445,194588,0.5573
30,VERACRUZ,20,ORIZABA,168,360,23211,16556,4742,3976,2070,1901,1258,905,1979,37933,2719,190,97250,4624,102064,200593,0.521
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,14681,20722,9256,1186,2124,1344,1407,1014,1023,25779,1786,86,80322,4511,84919,169017,0.5109
30,VERACRUZ,22,ZONGOLICA,133,292,26494,16336,9537,17607,1851,1058,2205,924,847,11963,963,24,89785,5711,95520,162438,0.588
30,VERACRUZ,23,COSAMALOAPAN,193,386,35864,35277,3690,2808,2210,1300,1674,610,857,19277,869,51,104436,4015,108502,199506,0.5439
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,24266,32727,13194,1577,1585,1636,1070,738,671,14562,548,103,92574,3760,96437,194287,0.5035
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,12758,8052,4585,2202,996,1953,34227,604,1098,16069,2769,72,85313,5733,91118,178466,0.5106
30,VERACRUZ,26,COSOLEACAQUE,159,369,17202,24558,9307,2217,1630,836,4111,1593,1143,33027,2843,29,98467,5094,103590,204741,0.506
30,VERACRUZ,27,ACAYUCAN,151,329,19221,20629,6908,3403,1433,6282,1087,6683,994,20654,1404,55,88698,3174,91927,181385,0.5068
30,VERACRUZ,28,MINATITLAN,151,341,16225,26317,5871,2003,999,1001,615,839,622,29091,1738,77,85321,3173,88571,173581,0.5107
30,VERACRUZ,29,COATZACOALCOS I,149,353,7825,20912,2579,5070,1958,1543,2236,1651,1300,49813,2188,129,97075,3411,100615,195052,0.5158
30,VERACRUZ,30,COATZACOALCOS II,152,355,6780,16437,4592,5471,971,747,2730,1206,540,38002,1350,66,78826,3431,82323,185400,0.4639
