ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,22803,20920,2742,34079,756,3423,1157,366,361,8964,490,861,72,44,90,10,13,2191,20,10,58,26,7,74,99463,2602,102139,193283,0.5445
30,VERACRUZ,2,TANTOYUCA,198,365,36354,28639,10602,16970,1529,959,1552,470,975,13276,898,1907,74,48,45,5,4,1549,36,12,75,16,6,17,116001,3735,119753,191491,0.6254
30,VERACRUZ,3,TUXPAN,160,372,24390,22806,11563,4402,1907,840,1271,1419,1112,24279,1132,1822,121,43,56,7,4,624,33,33,24,14,7,62,97909,3408,101379,205347,0.4937
30,VERACRUZ,4,ALAMO TEMAPACHE,210,398,32054,40580,9949,5354,2391,2168,1199,862,1110,15068,1531,1869,73,47,35,8,2,781,36,22,30,13,11,46,115193,4281,119520,201760,0.598
30,VERACRUZ,5,POZA RICA,139,323,17083,19868,11613,2565,1255,1735,2737,2177,2395,24196,1000,2015,0,0,0,0,0,0,0,0,0,0,0,88,88639,3160,91887,184805,0.5238
30,VERACRUZ,6,PAPANTLA,149,351,18195,35423,12475,7101,1968,2767,1459,11404,947,12624,619,2367,0,0,0,0,0,0,0,0,0,0,0,36,107349,4095,111480,195530,0.5746
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,20690,20298,6951,4308,3486,920,1802,551,1539,17970,1434,1483,84,40,42,7,0,471,64,20,15,4,14,53,82193,3189,85435,176344,0.4934
30,VERACRUZ,8,MISANTLA,214,380,18904,14603,8182,3433,13491,2561,1420,10305,3023,19997,1413,1463,97,13,105,11,4,255,31,387,17,48,47,41,99810,3324,103175,185638,0.5536
30,VERACRUZ,9,PEROTE,131,317,22808,27630,2832,1162,5159,1787,882,4716,3015,15756,895,1140,0,0,0,0,0,0,0,0,0,0,0,28,87782,4314,92124,168267,0.5475
30,VERACRUZ,10,XALAPA I,137,304,20740,14269,3893,2188,1628,3366,1217,1925,1896,39715,3023,1069,0,0,0,0,0,0,0,0,0,0,0,1837,94929,3830,100596,177680,0.5662
30,VERACRUZ,11,XALAPA II,117,314,26922,16012,2942,2107,1356,3870,1289,818,2937,35960,3981,1325,143,44,89,8,6,347,23,18,8,8,12,151,100225,3661,104037,183827,0.587
30,VERACRUZ,12,COATEPEC,122,309,22460,14677,3931,7284,1213,1101,1024,12257,1107,24036,1497,1080,0,0,0,0,0,0,0,0,0,0,0,95,91667,4531,96293,175236,0.5559
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,34077,23290,7571,2097,2313,2476,972,846,1878,17105,1350,2341,64,20,61,8,3,473,28,29,4,7,10,105,97023,2778,99906,182984,0.5531
30,VERACRUZ,14,VERACRUZ I,173,379,52407,17825,2384,2144,1147,3236,2052,695,823,18423,2063,2538,178,69,119,11,6,722,58,26,26,9,17,84,106978,3445,110507,217523,0.5193
