ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,179,246,6932,16006,7667,1504,7698,711,1561,21831,781,64691,21,3835,68547,110255,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,169,250,2935,20630,3846,1867,3634,1111,8621,23896,5533,72073,45,5930,78048,116634,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,3,SAN FELIPE ORIZATLAN,104,205,13743,18536,5438,901,1820,1019,2424,23255,3398,70534,46,5095,75675,103935,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,4,HUEJUTLA DE REYES,90,200,1773,14404,1194,649,1703,823,5840,27700,16635,70721,60,5596,76377,111892,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,5,IXMIQUILPAN,131,231,4972,13774,1512,1122,6189,1010,4159,40963,978,74679,54,3171,77904,115732,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,6,HUICHAPAN,113,223,17048,14843,1528,5782,3204,2087,2149,28645,1221,76507,25,3733,80265,126207,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,86,201,3049,13246,1772,4845,6454,1133,6619,39684,565,77367,16,3176,80559,115907,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,8,ACTOPAN,115,216,5609,20857,2192,1480,1494,934,2587,36592,1760,73505,30,3493,77028,118528,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,9,METEPEC,121,214,5971,13428,9696,1181,1179,869,8288,22304,893,63809,81,4161,68051,105679,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,10,APAN,91,215,7656,15824,1437,2286,3762,1124,5065,32854,1688,71696,56,4041,75793,124865,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,11,TULANCINGO DE BRAVO,54,196,7533,13331,890,1823,2460,2664,2879,35299,1695,68574,62,3221,71857,123569,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,12,PACHUCA DE SOTO,96,193,11116,15253,1032,1851,1897,2307,2353,35355,2002,73166,56,3396,76618,111103,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,13,PACHUCA DE SOTO,33,178,9929,14024,1228,1744,1877,1573,2317,40234,1727,74653,59,2711,77423,115329,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,14,TULA DE ALLENDE,73,198,8874,13081,1586,1631,1911,1210,4368,41213,2290,76164,53,3134,79351,118551,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,198,6633,10535,3140,2660,3060,1354,5321,38968,1834,73505,54,3382,76941,121996,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,16,TIZAYUCA,63,206,7939,14396,1639,2210,2109,1221,5218,37317,2636,74685,57,3826,78568,129104,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,17,VILLAS DEL ALAMO,87,210,13513,12374,1090,1851,2074,1393,3650,43325,1734,81004,85,3018,84107,127555,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
13,HIDALGO,18,TEPEAPULCO,85,207,5859,17630,1199,2323,2126,1229,5445,38928,2733,77472,28,3790,81290,121640,http://www.ieehidalgo.org.mx/images/Sesiones/2018/agosto/220818/CG942018.pdf
