CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_PVEM,PRI_NA,PRI_ES,PRI_NA_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,3,119,202,22,32,16,17,71,323,14,0,,,,,,,,,,,,816,1,43,860,1505
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,2,74,69,15,7,3,18,60,183,8,0,,,,,,,,,,,,437,2,19,458,902
5,13,HIDALGO,9,METEPEC,1,ACATLAN,3,1,11,59,3,7,3,6,54,35,1,0,,,,,,,,,,,,179,0,9,188,284
5,13,HIDALGO,9,METEPEC,1,ACATLAN,4,1,18,25,8,7,5,2,29,72,4,3,,,,,,,,,,,,173,0,4,177,262
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,2,49,90,60,21,15,12,111,165,9,2,,,,,,,,,,,,534,0,60,594,960
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,3,124,85,30,26,9,7,118,236,8,2,,,,,,,,,,,,645,0,41,686,1246
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,2,100,160,26,8,10,3,218,206,4,2,,,,,,,,,,,,737,0,47,784,1320
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,3,182,200,41,26,21,26,98,313,20,7,,,,,,,,,,,,934,0,65,999,1970
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,4,264,195,59,20,27,36,227,521,19,6,,,,,,,,,,,,1374,0,78,1452,2709
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,3,193,179,39,19,29,16,112,348,20,3,,,,,,,,,,,,958,0,52,1010,1726
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,3,176,168,22,19,28,29,95,541,22,9,,,,,,,,,,,,1109,0,64,1173,2093
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,3,110,148,21,16,21,9,52,271,10,2,,,,,,,,,,,,660,0,49,709,1447
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,3,127,362,12,35,28,8,40,651,32,2,,,,,,,,,,,,1297,3,68,1368,2111
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,3,99,318,10,22,26,9,30,492,26,1,,,,,,,,,,,,1033,1,58,1092,1646
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,15,1,25,46,11,15,10,2,14,109,2,1,,,,,,,,,,,,235,0,13,248,458
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,16,2,30,139,7,22,16,11,14,236,20,0,,,,,,,,,,,,495,1,31,527,762
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,2,17,166,7,8,14,7,8,116,3,0,,,,,,,,,,,,346,0,19,365,868
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,18,1,7,41,4,1,1,1,2,19,1,0,,,,,,,,,,,,77,0,8,85,140
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,2,11,250,8,13,13,7,10,163,5,0,,,,,,,,,,,,480,0,40,520,1171
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,2,35,168,13,16,27,13,17,154,6,1,,,,,,,,,,,,450,2,33,485,1152
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,3,56,257,16,21,36,13,11,278,10,0,,,,,,,,,,,,698,0,56,754,1910
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,3,38,262,39,32,24,20,46,464,12,0,,,,,,,,,,,,937,0,45,982,1536
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,3,92,490,20,54,24,24,39,408,21,1,,,,,,,,,,,,1173,0,89,1262,2106
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,4,88,249,18,60,43,20,50,879,34,1,,,,,,,,,,,,1442,0,92,1534,2327
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,3,89,175,13,22,31,14,22,498,25,3,,,,,,,,,,,,892,0,32,924,1536
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,26,1,30,90,3,11,13,10,18,165,6,1,,,,,,,,,,,,347,0,22,369,738
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,4,147,367,22,45,25,26,62,491,22,41,,,,,,,,,,,,1248,0,75,1323,2799
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,2,23,168,12,34,25,13,7,292,10,0,,,,,,,,,,,,584,0,48,632,1002
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,3,46,280,26,29,159,24,20,619,13,0,,,,,,,,,,,,1216,0,53,1269,1816
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,3,88,211,27,69,78,24,37,619,32,2,,,,,,,,,,,,1187,0,98,1285,2242
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,31,2,52,90,20,61,35,17,23,281,21,0,,,,,,,,,,,,600,0,63,663,1223
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,32,2,64,219,20,28,26,19,24,394,19,1,,,,,,,,,,,,814,1,41,856,1432
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,33,2,36,175,27,28,11,6,15,161,10,0,,,,,,,,,,,,469,0,35,504,970
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,6,169,703,31,28,26,25,166,1379,59,1,,,,,,,,,,,,2587,2,81,2670,4185
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,4,67,329,25,6,31,8,54,695,29,5,,,,,,,,,,,,1249,1,45,1295,2339
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,36,2,60,236,10,4,15,3,24,392,16,1,,,,,,,,,,,,761,1,31,793,1249
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,3,75,372,23,4,15,10,36,672,26,1,,,,,,,,,,,,1234,0,52,1286,1953
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,38,2,77,262,9,4,8,4,32,493,14,0,,,,,,,,,,,,903,0,26,929,1402
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,3,138,306,19,8,13,12,38,641,11,3,,,,,,,,,,,,1189,0,34,1223,1722
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,3,135,334,21,9,18,10,57,674,18,1,,,,,,,,,,,,1277,3,58,1338,1996
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,41,3,73,234,20,19,13,14,27,482,14,2,,,,,,,,,,,,898,0,25,923,1560
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,42,2,55,224,5,9,12,7,23,371,27,1,,,,,,,,,,,,734,0,36,770,1171
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,43,2,60,257,10,10,8,6,21,463,18,0,,,,,,,,,,,,853,1,37,891,1258
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,44,3,136,374,5,11,11,12,31,569,16,4,,,,,,,,,,,,1169,0,33,1202,1698
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,45,2,69,326,9,3,5,10,40,447,15,0,,,,,,,,,,,,924,2,29,955,1319
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,46,4,100,345,14,8,16,9,57,598,26,0,,,,,,,,,,,0,1173,2,39,1214,1670
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,47,2,61,213,18,11,6,9,27,407,11,1,,,,,,,,,,,,764,0,32,796,1111
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,48,1,3,82,6,0,1,1,3,42,1,0,,,,,,,,,,,,139,0,8,147,222
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,49,1,5,64,8,1,3,0,2,66,3,0,,,,,,,,,,,,152,0,10,162,240
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,51,1,2,109,0,1,1,5,8,33,1,0,,,,,,,,,,,,160,0,8,168,275
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,52,2,9,177,12,4,15,6,10,192,6,1,,,,,,,,,,,,432,0,25,457,987
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,53,1,14,80,4,5,3,3,11,171,10,0,,,,,,,,,,,,301,0,9,310,510
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,54,2,49,153,11,6,12,7,23,376,9,0,,,,,,,,,,,,646,0,24,670,1463
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,55,2,56,299,17,12,16,8,35,314,11,1,,,,,,,,,,,,769,0,35,804,1272
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,56,1,15,52,4,3,5,2,6,128,4,1,,,,,,,,,,,,220,0,7,227,338
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,57,1,20,167,19,5,14,6,18,160,19,0,,,,,,,,,,,,428,0,28,456,750
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,58,1,17,111,6,3,6,4,14,188,6,0,,,,,,,,,,,,355,0,17,372,549
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,59,2,58,183,9,5,4,4,19,245,9,0,,,,,,,,,,,,536,1,27,564,907
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,60,3,48,298,23,16,24,9,20,843,37,1,,,,,,,,,,,,1319,2,48,1369,2057
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,61,1,25,153,7,4,6,3,22,221,3,0,,,,,,,,,,,,444,0,16,460,746
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,62,3,63,270,37,17,15,10,26,936,29,1,,,,,,,,,,,,1404,0,64,1468,2174
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,63,1,8,65,5,0,5,3,10,146,2,0,,,,,,,,,,,,244,0,10,254,342
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,64,1,10,162,7,2,8,7,45,201,9,0,,,,,,,,,,,,451,0,21,472,606
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,65,3,57,338,36,7,19,9,64,669,22,3,,,,,,,,,,,,1224,0,73,1297,2113
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,66,2,35,284,13,12,14,10,15,463,21,2,,,,,,,,,,,,869,0,43,912,1316
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,67,2,50,367,22,9,24,6,15,525,17,1,,,,,,,,,,,,1036,0,43,1079,1404
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,2,40,328,21,10,16,5,20,502,13,2,,,,,,,,,,,,957,1,29,987,1361
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,69,4,413,405,198,25,14,17,104,223,21,13,,,,,,,,,,,,1433,8,66,1507,2311
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,70,1,4,28,14,2,3,2,5,19,1,3,,,,,,,,,,,,81,0,9,90,133
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,71,1,6,21,21,3,0,0,14,12,2,3,,,,,,,,,,,,82,0,5,87,138
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,72,2,47,50,24,9,9,9,34,71,8,4,,,,,,,,,,,,265,0,19,284,479
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,73,1,28,34,24,7,7,3,9,42,3,5,,,,,,,,,,,,162,0,12,174,270
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,74,1,46,40,31,4,3,2,31,53,2,1,,,,,,,,,,,,213,0,5,218,377
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,75,1,33,40,8,4,0,4,11,16,3,1,,,,,,,,,,,,120,0,8,128,180
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,76,1,15,39,4,3,1,0,5,7,3,0,,,,,,,,,,,,77,0,6,83,130
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,77,2,76,166,33,12,8,9,56,80,14,3,,,,,,,,,,,,457,0,31,488,762
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,78,2,163,142,90,15,3,9,49,145,3,3,,,,,,,,,,,,622,0,24,646,1012
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,79,1,94,45,25,6,7,2,38,104,14,11,,,,,,,,,,,,346,0,22,368,722
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,80,1,72,67,77,14,7,4,29,88,7,6,,,,,,,,,,,,371,0,15,386,559
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,81,3,63,200,24,116,90,75,40,416,12,2,,,,,,,,,,,,1038,0,54,1092,1606
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,82,3,71,146,27,107,88,76,30,463,9,2,,,,,,,,,,,,1019,0,51,1070,1594
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,83,2,35,158,18,93,89,64,41,369,8,0,,,,,,,,,,,,875,0,54,929,1329
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,84,2,44,226,12,94,103,86,42,318,5,0,,,,,,,,,,,,930,0,39,969,1386
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,85,2,52,64,38,273,32,17,23,307,14,1,,,,,,,,,,,,821,0,52,873,1385
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,86,3,92,127,30,341,57,29,21,397,18,4,,,,,,,,,,,,1116,0,98,1214,1961
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,87,1,5,27,3,24,7,13,6,45,1,1,,,,,,,,,,,,132,0,4,136,198
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,88,3,82,150,38,211,58,30,38,582,12,2,,,,,,,,,,,,1203,0,45,1248,1944
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,89,2,53,92,19,166,49,27,25,374,2,3,,,,,,,,,,,,810,0,44,854,1436
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,90,1,21,34,3,42,6,10,3,88,1,0,,,,,,,,,,,,208,0,5,213,336
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,91,1,0,112,3,26,2,1,6,39,0,0,,,,,,,,,,,,189,0,14,203,254
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,59,274,38,91,172,8,34,399,13,2,1,3,0,11,0,0,1,0,0,0,0,1106,0,25,1131,1709
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,1,10,90,9,22,87,5,15,235,3,1,0,0,0,1,0,0,0,0,0,0,0,478,0,11,489,714
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,1,10,61,13,14,59,1,4,66,1,0,0,2,0,2,0,0,1,0,0,0,0,234,0,21,255,366
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,2,18,128,16,47,135,12,12,176,12,0,2,3,1,13,0,0,0,0,2,0,0,577,0,29,606,962
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,1,11,34,4,31,40,2,9,177,3,0,0,0,0,5,0,0,0,0,0,0,0,316,0,30,346,471
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,1,19,38,15,13,188,3,5,172,3,0,0,2,0,1,0,0,0,0,0,0,0,459,1,25,485,749
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,1,7,72,6,12,60,1,4,66,3,0,1,0,0,1,0,0,0,0,0,0,0,233,0,12,245,319
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,2,36,58,27,72,209,6,10,262,7,1,1,2,0,3,2,0,0,0,0,0,0,696,0,52,748,1333
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,2,6,43,5,16,308,4,5,91,4,2,0,0,0,2,0,1,0,0,0,0,0,487,0,54,541,853
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,2,9,139,21,30,99,4,11,266,9,0,2,4,0,7,2,0,0,0,0,0,1,604,0,32,636,974
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,1,10,30,2,24,50,2,3,51,1,0,0,0,0,1,0,0,0,0,0,0,0,174,0,7,181,227
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,3,22,145,28,39,243,5,18,314,1,1,0,4,0,5,1,0,1,0,1,0,0,828,0,44,872,1289
