ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_PVEM,PRI_NA,PRI_ES,PRI_NA_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,1420,1580,346,208,187,181,1245,3214,139,36,0,0,0,0,0,0,0,0,0,0,0,8556,3,531,9090,16424,
13,HIDALGO,2,ACAXOCHITLAN,21,51,1200,4523,335,626,665,288,509,7489,330,55,0,0,0,0,0,0,0,0,0,0,0,16020,8,1019,17047,29945,
13,HIDALGO,3,ACTOPAN,34,74,1859,8257,486,256,408,247,1019,14704,532,33,0,0,0,0,0,0,0,0,0,0,0,27801,16,1103,28920,44265,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,18,997,1077,549,104,62,61,385,860,81,53,0,0,0,0,0,0,0,0,0,0,0,4229,8,222,4459,7073,
13,HIDALGO,5,AJACUBA,11,23,518,1336,215,1493,581,428,275,3398,82,15,0,0,0,0,0,0,0,0,0,0,0,8341,0,460,8801,13429,
13,HIDALGO,6,ALFAJAYUCAN,22,33,341,1798,273,736,2313,91,196,3368,83,10,8,32,7,80,5,1,3,0,4,0,1,9350,2,503,9855,14916,
13,HIDALGO,7,ALMOLOYA,13,18,499,1598,74,121,245,58,629,2050,109,6,0,0,0,0,0,0,0,0,0,0,0,5389,2,341,5732,8892,
13,HIDALGO,8,APAN,25,59,2016,4100,340,854,1783,289,2402,7899,579,74,0,0,0,0,0,0,0,0,0,0,0,20336,3,1106,21445,33190,
13,HIDALGO,9,ATITALAQUIA,10,32,1416,2418,347,394,266,299,410,7405,288,19,0,0,0,0,0,0,0,0,0,0,0,13262,3,519,13784,20610,
13,HIDALGO,10,ATLAPEXCO,16,27,592,3274,434,68,223,133,180,5377,129,14,9,47,2,32,8,2,1,0,3,0,0,10528,3,573,11104,14261,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,46,1558,2609,515,650,351,237,539,5819,271,38,0,0,0,0,0,0,0,0,0,0,0,12587,4,697,13288,22734,
13,HIDALGO,12,ATOTONILCO DE TULA,18,51,1965,2599,1635,1133,407,343,699,8600,691,77,0,0,0,0,0,0,0,0,0,0,0,18149,23,841,19013,31774,
13,HIDALGO,13,CALNALI,15,23,288,2134,143,84,245,72,729,3101,1605,1,0,0,0,0,0,0,0,0,0,0,0,8402,0,550,8952,12039,
13,HIDALGO,14,CARDONAL,17,28,245,1431,370,133,736,172,855,5140,78,12,6,26,2,9,15,2,1,3,2,0,0,9238,6,414,9658,14339,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,69,3389,4187,491,552,820,383,1087,11684,516,49,0,0,0,0,0,0,0,0,0,0,0,23158,39,1187,24384,41971,
13,HIDALGO,16,CHAPANTONGO,10,16,1329,1160,94,1394,102,84,212,1938,83,137,2,23,1,49,0,0,0,2,14,0,1,6625,1,294,6920,9700,
13,HIDALGO,17,CHAPULHUACAN,25,33,361,2870,1940,90,486,112,167,2742,268,56,9,33,5,38,8,2,0,0,1,1,3,9192,2,691,9885,16234,
13,HIDALGO,18,CHILCUAUTLA,15,25,448,1674,318,196,496,133,255,4840,127,8,3,21,0,25,8,1,0,1,3,2,2,8561,4,488,9053,13204,
13,HIDALGO,19,EL ARENAL,11,23,524,2774,135,113,180,89,297,4284,138,8,0,0,0,0,0,0,0,0,0,0,0,8542,2,370,8914,13512,
13,HIDALGO,20,ELOXOCHITLAN,7,8,20,752,57,141,96,18,39,405,53,2,0,0,0,0,0,0,0,0,0,0,0,1583,0,81,1664,2427,
13,HIDALGO,21,EMILIANO ZAPATA,8,18,455,1416,100,133,249,106,438,3732,154,10,0,0,0,0,0,0,0,0,0,0,0,6793,4,388,7185,10867,
13,HIDALGO,22,EPAZOYUCAN,11,22,1583,1333,114,116,192,103,417,3346,149,32,9,34,6,13,20,0,1,1,1,0,0,7470,4,373,7847,11591,
13,HIDALGO,23,FRANCISCO I MADERO,17,45,528,3092,526,894,749,177,1651,10656,109,12,0,0,0,0,0,0,0,0,0,0,0,18394,2,756,19152,26754,
13,HIDALGO,24,HUASCA DE OCAMPO,19,28,1195,1334,1231,143,231,108,334,3013,160,43,0,0,0,0,0,0,0,0,0,0,0,7792,7,453,8252,13672,
13,HIDALGO,25,HUAUTLA,26,34,152,1450,126,108,334,120,2757,5305,582,5,0,0,0,0,0,0,0,0,0,0,0,10939,0,630,11569,15826,
13,HIDALGO,26,HUAZALINGO,10,19,155,1477,2230,43,67,54,198,1885,125,27,3,19,2,18,19,3,1,3,2,1,1,6333,1,363,6697,8746,
13,HIDALGO,27,HUEHUETLA,16,31,319,2480,1045,94,158,132,2149,3788,84,182,0,0,0,0,0,0,0,0,0,0,0,10431,2,726,11159,16429,
13,HIDALGO,28,HUEJUTLA DE REYES,52,150,1491,11040,903,495,1258,642,2833,20596,15336,57,0,0,0,0,0,0,0,0,0,0,0,54651,60,4619,59330,88351,
13,HIDALGO,29,HUICHAPAN,37,65,3778,5173,314,1713,458,453,605,7461,320,36,11,57,6,133,8,1,0,2,3,2,0,20534,8,1063,21605,34140,
13,HIDALGO,30,IXMIQUILPAN,61,131,2260,8139,596,527,4490,554,2434,25010,636,75,27,94,4,79,49,8,8,1,8,1,3,45003,35,1802,46840,70363,
13,HIDALGO,31,JACALA DE LEDEZMA,19,24,304,1877,1033,75,466,66,136,1713,40,54,2,17,0,31,5,0,0,0,0,0,0,5819,0,391,6210,9610,
13,HIDALGO,32,JALTOCAN,12,16,97,1914,132,46,111,61,250,1799,717,4,0,0,0,0,0,0,0,0,0,0,0,5131,0,347,5478,7715,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,23,658,398,8,27,12,68,344,19,3,0,0,0,0,0,0,0,0,0,0,0,1560,0,73,1633,2445,
13,HIDALGO,34,LA MISION,11,17,129,871,2891,35,159,45,51,695,26,72,0,14,0,13,1,1,0,0,0,0,0,5003,5,356,5364,7901,
13,HIDALGO,35,LOLOTLA,8,13,278,1302,114,46,335,68,377,1817,118,6,0,0,0,0,0,0,0,0,0,0,0,4461,0,396,4857,6869,
13,HIDALGO,36,METEPEC,9,18,388,522,2421,197,75,58,1104,1112,48,104,0,0,0,0,0,0,0,0,0,0,0,6029,28,351,6408,9055,
13,HIDALGO,37,METZTITLAN,26,38,262,2411,1390,102,294,129,536,2509,1626,54,0,0,0,0,0,0,0,0,0,0,0,9313,29,1094,10436,16682,
13,HIDALGO,38,MINERAL DEL CHICO,10,14,305,1077,668,127,94,100,105,1683,76,22,0,0,0,0,0,0,0,0,0,0,0,4257,3,244,4504,6699,
13,HIDALGO,39,MINERAL DEL MONTE,12,22,612,1157,163,146,141,87,703,3679,134,7,0,0,0,0,0,0,0,0,0,0,0,6829,5,330,7164,11106,
13,HIDALGO,40,MINERAL DE LA REFORMA,76,188,11825,10831,872,1569,1882,1290,3097,39979,1560,177,35,198,7,128,55,7,7,4,4,2,5,73534,81,2645,76260,115964,
13,HIDALGO,41,MIXQUIAHUALA DE JUAREZ,22,58,904,3114,406,1200,3671,234,2345,8868,146,30,0,0,0,0,0,0,0,0,0,0,0,20918,7,782,21707,32237,
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,93,1242,76,80,367,65,1041,2131,116,2,0,0,0,0,0,0,0,0,0,0,0,5213,0,428,5641,8028,
13,HIDALGO,43,NICOLAS FLORES,19,20,1645,541,34,23,93,31,92,992,22,14,8,3,1,2,0,1,0,0,1,0,0,3503,3,120,3626,5076,
13,HIDALGO,44,NOPALA DE VILLAGRAN,10,20,1506,1570,89,1129,153,162,162,1911,72,7,3,25,10,53,1,0,1,0,0,0,0,6854,1,355,7210,11383,
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,386,1378,198,95,129,68,148,2457,69,12,0,0,0,0,0,0,0,0,0,0,0,4940,2,211,5153,7082,
13,HIDALGO,46,PACULA,10,11,1213,504,34,13,134,21,38,366,12,24,0,3,0,7,1,0,0,0,1,0,0,2371,3,136,2510,4135,
13,HIDALGO,47,PACHUCA DE SOTO,129,371,20875,29057,2090,3397,3774,3880,4542,75589,3698,340,75,229,21,181,43,3,5,2,14,0,4,147819,115,6107,154041,226432,
13,HIDALGO,48,PISAFLORES,20,28,1413,3399,253,52,293,77,228,1601,45,48,5,26,3,20,10,1,2,2,1,0,1,7480,2,452,7934,12589,
13,HIDALGO,49,PROGRESO DE OBREGON,12,30,647,2194,198,548,783,130,1007,6850,86,13,0,0,0,0,0,0,0,0,0,0,0,12456,6,433,12895,17993,
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,14,18,201,1520,89,60,103,81,271,2259,383,1,0,0,0,0,0,0,0,0,0,0,0,4968,0,310,5278,7521,
13,HIDALGO,51,SAN AGUSTIN TLAXIACA,18,41,1103,4620,240,274,358,180,356,7843,360,16,0,0,0,0,0,0,0,0,0,0,0,15350,5,769,16124,23797,
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC,17,28,192,2688,2322,81,76,65,908,1415,40,37,0,0,0,0,0,0,0,0,0,0,0,7824,3,823,8650,12797,
13,HIDALGO,53,SAN FELIPE ORIZATLAN,24,52,4330,6123,355,163,352,191,550,4622,396,141,46,57,4,72,36,7,7,1,7,1,8,17469,1,1285,18755,27615,
13,HIDALGO,54,SAN SALVADOR,24,45,414,3510,389,710,670,164,1341,9912,142,6,0,0,0,0,0,0,0,0,0,0,0,17258,1,745,18004,25494,
13,HIDALGO,55,SANTIAGO DE ANAYA,19,27,314,1811,135,104,374,120,404,4981,88,10,2,11,0,11,4,0,1,0,3,0,1,8374,6,347,8727,12750,
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,39,1266,3363,255,372,418,246,360,7511,265,15,0,0,0,0,0,0,0,0,0,0,0,14071,11,681,14763,25028,
13,HIDALGO,57,SINGUILUCAN,11,20,471,1524,66,737,264,122,807,3238,165,6,0,0,0,0,0,0,0,0,0,0,0,7400,6,464,7870,12270,
13,HIDALGO,58,TASQUILLO,19,28,345,1455,547,109,868,95,225,4300,105,21,7,9,0,11,7,1,2,0,2,0,0,8109,3,400,8512,14389,
