ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PT_MORENA_ES,C_COMUN_PAN_PRD_MC_PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,C_COMUN_PRD_MC_CPPP_PSI,C_COMUN_PAN_PRD_MC,C_COMUN_PAN_PRD_PCPP,C_COMUN_PAN_PRD_PSI,C_COMUN_PAN_MC_PCPP,C_COMUN_PAN_MC_PSI,C_COMUN_PAN_PCPP_PSI,C_COMUN_PRD_MC_PCPP,C_COMUN_PRD_MC_PSI,C_COMUN_PRD_PCPP_PSI,C_COMUN_MC_PCPP_PSI,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PAN_PCPP,C_COMUN_PAN_PSI,C_COMUN_PRD_MC,C_COMUN_PRD_PCPP,C_COMUN_PRD_PSI,C_COMUN_MC_PCPP,C_COMUN_MC_PSI,C_COMUN_PCPP_PSI,C_COMUN_PVEM_PCPP_PSI,C_COMUN_PRI_NA,C_COMUN_PVEM_PCPP,C_COMUN_PVEM_PSI,C_COMUN_NA_PCPP,CAN_IND1,CAN_IND2,CAN_IND3,CAN_IND4,CAN_IND5,CAN_IND6,CAN_IND7,CAN_IND8,CAN_IND9,CAN_IND10,CAN_IND11,CAN_IND12,CAN_IND13,CAN_IND14,CAN_IND15,CAN_IND16,CAN_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,ACAJETE,19,69,,1692,,409,2088,172,594,2376,,,15488,,,,,,,,,,,,,,,,,4234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053,3,1249,28305,44025,
21,PUEBLA,2,ACATENO,8,14,,444,,645,,,,1007,,,408,,,,,,,1884,,,,,,,,,,,,,,,,,,,,,,,,822,,,,,,,,,,,,,,,,,,5210,0,255,5465,6839,
21,PUEBLA,3,ACATLAN DE OSORIO,17,52,,2281,,,,3342,249,,,,5483,,,,,,,4399,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,,,,,,16501,15,803,17319,28104,
21,PUEBLA,4,ACATZINGO,16,60,,5827,,431,,301,472,,,,10946,,,5820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23797,8,857,24662,36284,
21,PUEBLA,5,ACTEOPAN,3,4,50,794,,,,,4,1011,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922,3,71,1996,2289,
21,PUEBLA,6,AHUACATLAN,7,19,,3454,,,,49,,,,,311,,,,,,,1636,,,,,,,,,,,,,,,,,,,,2536,,,,,,,,,,,,,,,,,,,,,,7986,0,478,8464,10223,
21,PUEBLA,7,AHUATLAN,4,5,,601,,275,159,,2,7,,,475,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,0,73,1770,2545,
21,PUEBLA,8,AHUAZOTEPEC,4,14,,0,,0,,0,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7541,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/AHUAZOTEPEC-SCM-JRC-0236-2018.pdf
21,PUEBLA,9,AHUEHUETITLA,1,4,190,273,,,,,,,,,565,,,,,,,,,,,,,,,,,,,,,,,23,183,,,,,,,,,,,,,,,,,,,,,,,,,1234,0,49,1283,1823,
21,PUEBLA,10,AJALPAN,22,72,,7769,,171,,172,,,,,8833,,,,,,,,,,,,9702,,,,,,,,,4197,,,,,,,,,,,,,,,,,,,,,,,,,,,,30844,7,1963,32817,41977,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/SCM_JRC_2018_241_567060_65019.pdf
