CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRI,PVEM,PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,40,XALTOCAN,556,C,1,0,C01,39,23,,,,,9,69,4,,5,77,4,0,1,0,0,,,,,231,0,12,243,380,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,40,XALTOCAN,557,B,1,0,B,42,33,,,,,11,169,8,,11,126,9,0,0,0,0,,,,,409,0,35,444,725,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,575,B,1,0,B,106,21,,,,,37,80,6,,18,116,14,1,1,0,0,,,,,400,1,25,426,712,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,575,C,1,0,C01,111,34,,,,,33,74,8,,14,150,12,1,1,0,0,,,,,438,0,25,463,712,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,575,C,2,0,C02,109,38,,,,,39,58,2,,16,172,8,1,1,0,0,,,,,444,0,16,460,712,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,576,B,1,0,B,115,25,,,,,17,66,7,,18,103,10,1,1,0,0,,,,,363,0,20,383,565,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,576,C,1,0,C01,103,22,,,,,11,70,6,,11,101,5,2,2,0,0,,,,,333,0,26,359,565,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,576,C,2,0,C02,105,21,,,,,12,72,4,,11,140,7,2,1,0,0,,,,,375,0,13,388,564,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,577,B,1,0,B,88,35,,,,,18,118,2,,7,181,12,0,0,1,0,,,,,462,0,32,494,676,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,578,B,1,0,B,101,53,,,,,12,68,3,,50,143,4,1,0,2,0,,,,,437,0,11,448,654,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,578,E,1,0,E01,68,25,,,,,9,52,2,,9,100,5,1,1,1,0,,,,,273,0,14,287,379,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,579,B,1,0,B,103,45,,,,,19,52,2,,21,165,6,0,2,0,0,,,,,415,0,17,432,630,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,579,C,1,0,C01,104,49,,,,,21,50,7,,14,152,2,1,1,0,0,,,,,401,0,28,429,630,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,580,B,1,0,B,82,27,,,,,14,67,10,,11,124,0,1,1,0,0,,,,,337,0,18,355,571,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,580,C,1,0,C01,79,18,,,,,9,70,5,,9,115,6,0,0,0,0,,,,,311,0,12,323,571,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,580,C,2,0,C02,80,16,,,,,5,42,9,,5,131,5,0,0,1,0,,,,,294,1,19,314,571,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,580,C,3,0,C03,85,30,,,,,5,64,4,,5,115,18,2,0,0,0,,,,,328,0,15,343,570,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,581,B,1,0,B,80,37,,,,,15,73,5,,3,175,8,0,0,0,0,,,,,396,0,33,429,705,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,581,C,1,0,C01,77,36,,,,,9,76,3,,9,171,5,3,0,0,0,,,,,389,2,26,417,705,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,581,C,2,0,C02,74,23,,,,,7,60,8,,6,176,7,2,0,1,0,,,,,364,2,28,394,704,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,581,C,3,0,C03,90,26,,,,,9,64,4,,23,158,11,0,1,0,0,,,,,386,0,24,410,704,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,581,C,4,0,C04,93,25,,,,,13,73,3,,18,161,8,0,1,0,0,,,,,395,0,26,421,704,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,582,B,1,0,B,84,25,,,,,6,106,7,,14,184,13,3,0,0,0,,,,,442,0,31,473,740,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,582,C,1,0,C01,68,28,,,,,10,145,13,,8,171,10,0,0,0,1,,,,,454,1,21,476,740,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,582,C,2,0,C02,83,25,,,,,9,139,9,,14,132,14,0,0,0,0,,,,,425,0,28,453,739,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,582,C,3,0,C03,66,24,,,,,6,161,3,,9,179,8,1,1,1,0,,,,,459,0,19,478,739,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,582,C,4,0,C04,94,25,,,,,3,149,4,,10,171,9,0,0,0,0,,,,,465,0,20,485,739,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,582,C,5,0,C05,95,24,,,,,18,112,7,,9,189,16,3,3,1,1,,,,,478,0,17,495,739,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,583,B,1,0,B,48,26,,,,,3,117,5,,14,194,8,2,3,0,0,,,,,420,1,27,448,729,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,583,C,1,0,C01,55,30,,,,,3,123,2,,13,165,15,2,0,0,0,,,,,408,1,27,436,728,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,583,C,2,0,C02,40,35,,,,,4,113,0,,12,204,8,1,0,0,0,,,,,417,0,30,447,728,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,583,C,3,0,C03,63,28,,,,,1,109,6,,12,211,19,1,0,0,0,,,,,450,0,27,477,728,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,584,B,1,0,B,93,20,,,,,8,81,3,,9,114,5,2,2,0,0,,,,,337,0,30,367,633,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,584,C,1,0,C01,58,27,,,,,4,88,11,,9,123,9,2,1,3,0,,,,,335,0,20,355,632,Grupo de recuento,,,
1,29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,43,YAUHQUEMEHCAN ,585,B,1,0,B,100,35,,,,,21,97,3,,13,140,20,0,0,0,1,,,,,430,1,14,445,673,Grupo de recuento,,,
