ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,11,CAMARGO,40,71,13454,6511,392,65,88,438,336,233,151,29,5,12,9,0,35,5,6,0,0,0,,,,,,,,,,,,,,,9,21769,350,22128,37310,0.5931
8,CHIHUAHUA,12,CARICHI,16,18,1057,,819,,,783,,164,,,,,,,,,,,,,,1441,,,,,,,,,,,,,3,4264,367,4634,7058,0.6566
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1217,363,852,40,224,1110,75,942,,5,5,2,1,0,0,13,3,0,2,3,,,,,,,,,,,,,,,9,4857,204,5070,9716,0.5218
8,CHIHUAHUA,14,CORONADO,4,5,612,,,,306,,,9,,,,,,,,,,,,,569,,,,,,,,,,,,,,1,1496,23,1520,1890,0.8042
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,843,683,6,2,2,0,10,6,,3,0,2,1,0,3,0,2,0,0,0,,,,,,,,,,,,,,,0,1563,11,1574,2150,0.7321
8,CHIHUAHUA,16,LA CRUZ,5,7,743,940,26,13,8,205,91,68,,13,2,2,1,0,6,2,11,0,0,1,,,,,,,,,,,,,,,0,2132,51,2183,3330,0.6556
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,20654,12912,975,802,475,5202,1090,1264,984,59,10,35,0,6,118,14,20,2,10,2,,,6263,,,,,,,,,,,,90,50897,1680,52667,121142,0.4348
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,348,,157,199,405,328,,,343,,,,,,,,,,,,,960,,,,,,,,,,,,,0,2740,138,2878,5164,0.5573
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,154229,75687,3102,4031,2860,4671,6606,8676,3946,713,55,107,31,14,486,74,92,27,29,105,,,,74490,,,,,,,,,,,713,340031,7165,347909,651314,0.5342
8,CHIHUAHUA,20,CHINIPAS,8,15,630,2503,,6,6,,2,,,8,3,0,2,0,6,9,0,0,0,0,,,,,,,,,,,,,,,2,3175,66,3243,5146,0.6302
8,CHIHUAHUA,21,DELICIAS,109,195,23536,14563,3156,478,822,1025,1175,1781,627,128,19,15,6,1,78,23,12,2,3,3,,,,,4734,,,,,,,,,,29,52187,1208,53424,108796,0.491
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1059,627,17,8,7,15,43,19,,10,4,5,0,0,4,1,9,0,0,0,,,,,,,,,,,,,,,0,1828,40,1868,3116,0.5995
8,CHIHUAHUA,23,GALEANA,3,8,90,1207,35,11,25,,22,953,,15,0,8,3,0,5,4,1,0,0,1,,,,,,,,,,,,,,,4,2380,85,2469,3999,0.6174
8,CHIHUAHUA,24,SANTA ISABEL,7,9,1529,928,,5,7,,15,26,,12,3,3,2,1,10,3,0,0,0,0,,,,,,,,,,,,,,,2,2544,50,2596,4035,0.6434
8,CHIHUAHUA,25,GOMEZ FARIAS,15,16,783,,124,,234,,,265,,,,,,,,,,,,,1914,,,,,,,,,,,,,,4,3320,229,3553,7285,0.4877
8,CHIHUAHUA,26,GRAN MORELOS,13,13,988,828,19,12,4,2,8,,,1,1,2,1,0,10,0,0,0,0,0,,,,,,,,,,,,,,,0,1876,55,1931,3243,0.5954
8,CHIHUAHUA,27,GUACHOCHI,43,67,4970,,424,375,326,745,,331,276,,,,,,,,,,,,,7839,,,,,,,,,,,,,9,15286,2533,17828,33832,0.527
8,CHIHUAHUA,28,GUADALUPE,8,12,511,1204,56,8,12,,46,368,,31,3,19,0,0,11,0,2,0,0,0,,,,,,,,,,,,,,,1,2271,79,2351,5296,0.4439
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1348,8429,,235,199,164,1031,265,,44,8,41,41,2,41,21,76,9,9,5,,,,,,,,,,,,,,,12,11968,962,12942,29607,0.4371
8,CHIHUAHUA,30,GUAZAPARES,14,18,996,1481,20,21,14,1055,21,118,,15,2,4,1,0,30,2,3,0,1,0,,,,,,,,,,,,,,,0,3784,264,4048,6758,0.599
8,CHIHUAHUA,31,GUERRERO,68,82,5403,6534,819,133,83,57,498,214,297,41,3,21,4,3,75,7,27,1,3,3,,,,,,,,,,,,,,,8,14226,579,14813,30026,0.4933
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,6427,14085,176,214,186,,524,592,414,70,15,53,3,5,69,14,22,0,6,1,,,,,,23351,535,,,,,,,,40,46762,1392,48194,83776,0.5753
8,CHIHUAHUA,33,HUEJOTITAN,2,2,586,,,,,,,,,,,,,,,,,,,,495,,,,,,,,,,,,,,0,1081,15,1096,1402,0.7817
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1280,596,,15,24,1033,28,354,,7,1,3,3,1,4,1,2,0,0,0,,,,,,,,,,,,,,,1,3352,129,3482,6097,0.5704
8,CHIHUAHUA,35,JANOS,12,18,591,1155,,7,21,1668,15,5,,7,0,1,4,2,3,2,0,0,0,0,,,,,,,,,,,,,,,0,3481,72,3553,7325,0.4851
8,CHIHUAHUA,36,JIMENEZ,36,58,5487,4880,458,75,1066,945,252,1393,60,27,7,10,0,0,32,10,9,3,2,2,,,,,,,,186,522,410,,,,,4,15836,436,16276,29522,0.5513
8,CHIHUAHUA,37,JUAREZ,1174,1935,61243,81177,4609,6500,3970,,9145,17768,7980,789,215,487,163,45,834,213,291,47,69,213,,,,,,,,,,,205904,,,,1510,401662,15875,419047,1023228,0.4095
8,CHIHUAHUA,38,JULIMES,6,9,1372,1232,51,8,4,6,70,32,,9,2,7,0,0,9,2,17,0,3,1,,,,,,,,,,,,,,,1,2825,57,2883,4656,0.6192
8,CHIHUAHUA,39,LOPEZ,6,8,860,646,52,6,377,,8,277,49,17,16,5,2,0,3,31,2,0,0,2,,,,,,,,,,,,,,,0,2353,71,2424,3484,0.6958
8,CHIHUAHUA,40,MADERA,47,59,7335,3453,765,81,69,139,152,,148,20,2,6,2,1,26,6,9,2,1,0,,,,,,,,,,,,,,,3,12217,360,12580,22370,0.5624
8,CHIHUAHUA,41,MAGUARICHI,5,5,124,582,,4,2,11,11,,,5,1,1,3,1,4,2,2,0,0,0,,,,,,,,,,,,,,,0,753,25,778,1414,0.5502
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,34,,46,72,489,,,,,,,,,,,,,,,,,682,,,,,,,,,,,,,0,1323,49,1372,1927,0.712
8,CHIHUAHUA,43,MATACHI,7,8,764,364,,3,9,410,23,,,5,0,3,0,1,3,0,2,1,0,1,,,,,,,,,,,,,,,1,1589,60,1650,2636,0.6259
8,CHIHUAHUA,44,MATAMOROS,8,10,1318,596,,6,99,383,16,18,,3,8,2,8,0,6,14,1,1,0,0,,,,,,,,,,,,,,,0,2479,69,2548,3959,0.6436
8,CHIHUAHUA,45,MEOQUI,35,64,6384,3344,970,154,148,2470,1085,501,291,26,4,17,2,1,32,6,35,3,1,1,,,,,,,,,,,,,,,136,15475,396,16007,33726,0.4746
8,CHIHUAHUA,46,MORELOS,8,11,1036,1541,904,15,20,3,16,,,15,3,12,1,0,43,9,1,1,2,6,,,,,,,,,,,,,,,0,3628,195,3823,5331,0.7171
8,CHIHUAHUA,47,MORIS,8,11,1093,,,,,232,,,,,,,,,,,,,,,1123,,,,,,,,,,,,,,0,2448,74,2522,4012,0.6286
8,CHIHUAHUA,48,NAMIQUIPA,44,51,2998,,1508,207,,90,,230,,,,,,,,,,,,,,3152,,,,,,,,,,,,,3,8185,435,8623,18913,0.4559
8,CHIHUAHUA,49,NONOAVA,5,7,1080,923,,5,3,,5,,,10,2,4,1,2,4,3,0,0,0,0,,,,,,,,,,,,,,,0,2042,25,2067,2547,0.8115
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,64,90,7376,5211,6321,236,831,307,376,606,294,33,15,12,4,2,34,40,10,2,3,4,,,,,,,,,,,,,,,11,21717,656,22384,47026,0.476
8,CHIHUAHUA,51,OCAMPO,14,16,421,,357,903,,401,,25,,,,,,,,,,,,,,1184,,,,,,,,,,343,,,0,3634,177,3811,5813,0.6556
8,CHIHUAHUA,52,OJINAGA,26,42,5721,,73,,150,55,,102,52,,,,,,,,,,,,4965,,,,,,,,,,,,,,8,11118,566,11692,21390,0.5466
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,830,,695,,,92,,54,59,,,,,,,,,,,,1131,,,,,,,,,,,,,,3,2861,107,2971,6141,0.4838
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1361,,42,,,,,7,,,,,,,,,,,,,,1226,,,,,,,,,,,,,1,2636,50,2687,7330,0.3666
8,CHIHUAHUA,55,ROSALES,16,26,2911,3278,284,44,63,107,148,112,180,20,4,9,4,1,24,3,10,0,0,1,,,,,,,,,,,,,,,1,7203,193,7397,13135,0.5632
8,CHIHUAHUA,56,ROSARIO,4,4,810,,,,,,,,,,,,,,,,,,,,767,,,,,,,,,,,,,,0,1577,11,1588,2007,0.7912
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,851,,,,21,57,,,,,,,,,,,,,,,673,,,,,,,,,,,,,,0,1602,39,1641,2358,0.6959
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,763,476,473,1,4,64,7,20,,3,0,0,1,0,4,2,2,0,0,0,,,,,,,,,,,,,,,0,1820,15,1835,2590,0.7085
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,207,1288,1242,6,30,32,45,,36,4,2,4,0,0,16,0,5,2,0,0,,,,,,,,,,,,,,,0,2919,84,3003,4295,0.6992
8,CHIHUAHUA,60,SANTA BARBARA,20,22,813,1137,1012,27,61,1786,52,101,78,6,2,2,2,0,6,2,1,1,0,1,,,,,,,,,,,,,113,321,4,5524,144,5672,8584,0.6608
8,CHIHUAHUA,61,SATEVO,13,13,1492,1214,,6,1,3,8,,23,8,3,4,11,0,10,3,3,0,1,0,,,,,,,,,,,,,,,0,2790,72,2862,4088,0.7001
8,CHIHUAHUA,62,SAUCILLO,32,45,5152,3926,1932,68,96,131,504,264,219,25,5,16,2,1,24,4,10,0,0,0,,,,,,,,,,,,,,,7,12379,316,12702,24234,0.5241
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1621,1147,15,28,11,34,15,44,,7,1,4,2,0,13,2,4,0,0,0,,,,,,,,,,,,,,,0,2948,110,3058,5315,0.5754
8,CHIHUAHUA,64,EL TULE,6,6,832,,,,,,,,,,,,,,,,,,,,827,,,,,,,,,,,,,,0,1659,10,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,3010,3322,193,41,31,39,66,7,,149,3,8,3,3,43,7,16,0,3,3,,,,,,,,,,,,,,,0,6947,430,7377,13291,0.555
8,CHIHUAHUA,66,URUACHI,11,15,1241,1247,414,26,10,4,22,,,12,2,11,3,2,27,5,8,0,1,0,,,,,,,,,,,,,,,0,3035,160,3195,5462,0.585
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,380,1434,707,14,22,48,14,,9,14,1,7,0,0,21,5,0,1,0,0,,,,,,,,,,,,,,,0,2677,107,2784,4346,0.6406
