ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,27,2,538,176,33,2,4,,5,8,8,1,0,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,780,9,789,1318
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,28,3,550,207,67,3,5,,4,12,9,1,0,2,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,861,21,882,1527
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,30,1,65,61,7,0,1,,2,7,2,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,146,2,148,259
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,31,1,23,40,5,1,1,,2,3,0,0,0,1,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,0,78,4,82,194
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,32,1,109,101,35,0,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,249,5,254,578
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,34,3,547,330,27,7,2,,7,12,8,1,1,4,2,0,2,1,2,0,0,0,,,,,,,,,,,,,,,0,953,18,971,1672
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,35,1,112,49,0,1,0,,0,7,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,170,0,170,295
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,36,1,56,31,4,0,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,95,1,96,166
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,37,1,37,44,0,7,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,89,0,89,149
8,CHIHUAHUA,11,MEOQUI,2,ALDAMA,3218,1,188,55,11,3,1,,6,16,24,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,304,10,314,658
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,38,2,335,,18,,,,,,12,,,,,,,,,,,,424,,,,,,,,,,,,,,1,789,15,805,1120
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,39,2,323,,12,,,,,,10,,,,,,,,,,,,361,,,,,,,,,,,,,,0,706,8,714,1038
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,40,1,241,,8,,,,,,6,,,,,,,,,,,,214,,,,,,,,,,,,,,0,469,6,475,678
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,41,2,272,,7,,,,,,38,,,,,,,,,,,,279,,,,,,,,,,,,,,0,596,17,613,872
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,43,1,132,,1,,,,,,1,,,,,,,,,,,,172,,,,,,,,,,,,,,0,306,2,308,521
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,47,1,77,,4,,,,,,0,,,,,,,,,,,,86,,,,,,,,,,,,,,0,167,0,167,300
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,48,1,111,,3,,,,,,0,,,,,,,,,,,,78,,,,,,,,,,,,,,0,192,1,193,271
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,49,1,61,,2,,,,,,0,,,,,,,,,,,,85,,,,,,,,,,,,,,1,148,4,153,205
8,CHIHUAHUA,20,CAMARGO,3,ALLENDE,50,1,58,,0,,,,,,3,,,,,,,,,,,,79,,,,,,,,,,,,,,0,140,1,141,195
