ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,246,398,45400,17704,2724,2559,3135,3151,2103,40804,5069,,122649,22,4198,126869,193272,
30,VERACRUZ,2,TANTOYUCA,198,369,45629,18457,9260,11481,2362,2195,2132,41441,1303,,134260,20,5339,139619,192632,
30,VERACRUZ,3,TUXPAN,160,382,32476,16304,14209,5087,2744,2058,2426,51007,1463,,127774,46,4634,132454,209730,
30,VERACRUZ,4,ALAMO,210,400,42431,25528,7911,4642,4631,5022,1975,44390,1677,,138207,21,5635,143863,205499,
30,VERACRUZ,5,POZA RICA DE HIDALGO,139,324,19312,10695,16442,1710,2983,2414,4187,60973,1484,,120200,40,3113,123353,185736,
30,VERACRUZ,6,PAPANTLA,149,357,29159,17308,12034,3339,4249,5904,2501,49166,1844,,125504,27,4238,129769,199389,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,346,23538,11439,7456,2764,2428,5888,5688,47495,1500,,108196,64,3506,111766,179304,
30,VERACRUZ,8,MISANTLA,214,402,30360,13174,10887,15075,2879,3758,2526,43391,1442,,123492,21,4220,127733,188812,
30,VERACRUZ,9,PEROTE,131,337,30634,24691,4934,4306,3024,7143,1754,36506,1408,,114400,19,4739,119158,195394,
30,VERACRUZ,10,XALAPA I,137,326,26010,12042,2615,4923,2521,2897,2696,60609,2256,,116569,85,4167,120821,161740,
30,VERACRUZ,11,XALAPA II,117,297,38450,14161,2932,3621,2550,2927,2786,56367,2141,,125935,85,4322,130342,191121,
30,VERACRUZ,12,COATEPEC,122,315,32989,21786,6428,2497,2689,2603,1810,46169,1751,,118722,32,4641,123395,182314,
30,VERACRUZ,13,EMILIANO ZAPATA,171,358,33817,19704,5267,4251,2510,2749,2028,46728,1548,,118602,66,3727,122395,198124,
30,VERACRUZ,14,VERACRUZ I,173,384,55823,10498,3218,3498,2292,2984,2525,49290,1890,,132018,64,3417,135499,214202,
30,VERACRUZ,15,VERACRUZ II,190,406,62787,10900,2797,3898,2569,2795,1432,49740,2045,,138963,63,3902,142928,231992,
30,VERACRUZ,16,BOCA DEL RIO,186,389,65210,13554,2291,4931,1851,2941,1637,39987,1471,,133873,53,4354,138280,210308,
30,VERACRUZ,17,MEDELLIN DE BRAVO,137,351,33840,12580,4220,8760,2513,3830,5066,45979,1990,,118778,30,4088,122896,190476,
30,VERACRUZ,18,HUATUSCO,119,314,36679,23878,8071,4439,2003,2330,2225,32124,2182,,113931,70,5885,119886,177978,
30,VERACRUZ,19,CORDOBA,154,348,22747,23599,2069,3719,3081,2133,6369,64574,2322,,130613,109,4470,135192,198192,
30,VERACRUZ,20,ORIZABA,168,368,29262,15684,3594,7685,3255,3448,2357,69896,2581,,137762,91,4358,142211,204624,
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,301,22924,7811,8312,6121,2897,3904,2328,51746,2724,,108767,72,4935,113774,173420,
30,VERACRUZ,22,ZONGOLICA,133,299,25752,18914,11417,6218,4969,9652,1885,34012,1617,,114436,20,6192,120648,169694,
30,VERACRUZ,23,COSAMALOAPAN,193,379,32697,22437,3263,1954,3562,2511,1353,51971,1368,,121116,31,4032,125179,196612,
30,VERACRUZ,24,SANTIAGO TUXTLA,181,357,30119,12486,14027,5396,2941,2337,2685,41889,1391,,113271,26,5025,118322,194489,
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,323,32818,9712,5436,3451,3343,2670,2679,43438,1847,,105394,14,4904,110312,181928,
30,VERACRUZ,26,COSOLEACAQUE,159,390,19532,21169,6210,2050,3408,1945,1653,73706,2237,,131910,23,4280,136213,208399,
30,VERACRUZ,27,ACAYUCAN,151,323,26825,13303,15118,1617,2593,2793,1022,49818,1377,,114466,30,3948,118444,182957,
30,VERACRUZ,28,MINATITLAN,151,340,25632,11647,5914,1230,2742,2445,3566,57999,1476,,112651,30,3148,115829,174248,
30,VERACRUZ,29,COATZACOALCOS I,149,362,16855,9996,2275,1171,2749,2331,3177,81799,2684,2778,125815,125,2913,128853,198507,
30,VERACRUZ,30,COATZACOALCOS II,152,350,20418,11657,4007,1200,3446,2476,1208,66950,2514,,113876,28,3739,117643,184825,
