id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,PAN,PRI,PVEM,PC,PRD-PT-PRS,No Registrado,Nulos,Total
18,03/07/05,12,Ayuntamientos,18,0,234,1,B,Basica,0,7,IXTLAN DEL RIO,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,50,55,0,21,22,0,5,153
18,03/07/05,12,Ayuntamientos,18,0,235,1,B,Basica,0,7,IXTLAN DEL RIO,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,22,82,0,17,24,0,11,156
18,03/07/05,12,Ayuntamientos,18,0,236,1,B,Basica,0,7,IXTLAN DEL RIO,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,71,84,0,64,50,0,13,282
18,03/07/05,12,Ayuntamientos,18,0,236,1,C,Contigua,0,7,IXTLAN DEL RIO,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,76,105,0,57,44,0,16,298
18,03/07/05,12,Ayuntamientos,18,0,237,1,B,Basica,0,7,IXTLAN DEL RIO,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,12,33,0,6,21,0,4,76
18,03/07/05,12,Ayuntamientos,18,0,238,1,B,Basica,0,7,IXTLAN DEL RIO,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,29,77,0,35,22,0,12,175
18,03/07/05,12,Ayuntamientos,18,0,239,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,160,136,0,11,10,2,16,335
18,03/07/05,12,Ayuntamientos,18,0,240,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,116,144,0,42,12,0,18,332
18,03/07/05,12,Ayuntamientos,18,0,241,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,183,262,0,53,12,0,29,539
18,03/07/05,12,Ayuntamientos,18,0,242,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,197,245,0,49,11,0,15,517
18,03/07/05,12,Ayuntamientos,18,0,243,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,139,177,0,61,16,0,15,408
18,03/07/05,12,Ayuntamientos,18,0,244,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,213,254,0,74,17,0,18,576
18,03/07/05,12,Ayuntamientos,18,0,245,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,28,41,0,12,2,0,14,97
18,03/07/05,12,Ayuntamientos,18,0,246,1,E,Extraordinaria,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,55,3,0,21,2,0,7,88
18,03/07/05,12,Ayuntamientos,18,0,246,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,13,54,0,1,1,0,1,70
18,03/07/05,12,Ayuntamientos,18,0,247,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,64,66,0,35,11,0,7,183
18,03/07/05,12,Ayuntamientos,18,0,248,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,232,159,0,194,7,0,31,623
18,03/07/05,12,Ayuntamientos,18,0,249,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,207,152,0,109,5,0,26,499
18,03/07/05,12,Ayuntamientos,18,0,250,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,74,191,0,73,8,0,16,362
18,03/07/05,12,Ayuntamientos,18,0,251,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,86,106,0,54,5,0,7,258
18,03/07/05,12,Ayuntamientos,18,0,252,1,E,Extraordinaria,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,45,91,0,42,2,0,7,187
18,03/07/05,12,Ayuntamientos,18,0,252,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,98,374,0,70,13,2,31,588
18,03/07/05,12,Ayuntamientos,18,0,253,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,69,157,0,120,15,0,17,378
18,03/07/05,12,Ayuntamientos,18,0,253,1,C,Contigua,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,82,152,0,130,13,0,22,399
18,03/07/05,12,Ayuntamientos,18,0,254,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,145,174,0,111,10,0,18,458
18,03/07/05,12,Ayuntamientos,18,0,255,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,46,177,0,86,5,0,12,326
18,03/07/05,12,Ayuntamientos,18,0,256,1,B,Basica,0,8,JALA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,47,194,0,132,13,1,14,401
18,03/07/05,12,Ayuntamientos,18,0,257,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,41,83,0,12,194,0,31,361
18,03/07/05,12,Ayuntamientos,18,0,258,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,30,114,0,8,117,0,19,288
18,03/07/05,12,Ayuntamientos,18,0,258,1,C,Contigua,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,44,98,0,17,107,0,36,302
18,03/07/05,12,Ayuntamientos,18,0,259,1,C,Contigua,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,59,140,0,6,44,0,27,276
18,03/07/05,12,Ayuntamientos,18,0,259,1,B,Basica,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,50,131,0,10,43,0,50,284
18,03/07/05,12,Ayuntamientos,18,0,259,1,E,Extraordinaria,0,9,EL NAYAR,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,28,242,0,12,35,0,37,354
