ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,ACAJETE,4,11,2006,624,107,122,74,71,52,1201,37,23,20,3,1,12,13,7,1,2,,4376,1,172,4549,6536,
30,VERACRUZ,2,ACATLAN,2,4,641,164,461,139,50,30,9,395,10,2,8,0,1,1,2,0,0,1,,1914,0,39,1953,2439,
30,VERACRUZ,3,ACAYUCAN,40,111,5725,3622,8403,365,572,406,392,17866,308,155,301,21,23,97,295,99,18,79,,38747,18,1532,40297,62342,
30,VERACRUZ,4,ACTOPAN,38,64,5983,3512,706,682,386,402,342,7323,211,159,92,22,7,128,127,51,9,40,,20182,4,717,20903,31574,
30,VERACRUZ,5,ACULA,7,9,824,313,28,1029,30,20,15,475,10,5,13,5,3,54,8,2,0,3,,2837,0,80,2917,4134,
30,VERACRUZ,6,ACULTZINGO,14,30,2042,440,357,314,236,346,134,4247,267,86,65,29,4,16,121,20,7,47,,8778,1,460,9239,13916,
30,VERACRUZ,206,AGUA DULCE,29,64,2409,2114,440,144,426,376,135,13913,225,96,37,13,9,49,404,108,16,88,,21002,3,535,21540,33218,
30,VERACRUZ,8,ALAMO TEMAPACHE,69,145,16626,11322,837,1382,761,698,856,16859,386,227,180,45,7,211,228,102,16,113,,50856,9,1753,52618,77934,
30,VERACRUZ,9,ALPATLAHUAC,5,12,1477,620,360,85,100,59,74,865,73,47,40,2,6,18,0,0,0,0,,3826,3,203,4032,6352,
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,46,2972,1850,305,1926,381,204,290,4970,158,44,34,11,2,81,71,40,6,20,,13365,4,567,13936,21702,
30,VERACRUZ,11,ALTOTONGA,29,77,4505,4634,892,439,795,4024,354,9890,442,164,61,72,16,230,150,65,19,73,,26825,3,1217,28045,40921,
30,VERACRUZ,12,ALVARADO,40,77,8036,2237,472,1358,306,879,746,9524,232,183,96,42,10,89,86,51,5,44,,24396,6,1208,25610,41448,
30,VERACRUZ,13,AMATITLAN,7,12,1657,283,113,158,161,40,32,1237,23,25,19,6,1,19,17,19,1,4,,3815,2,171,3988,5977,
30,VERACRUZ,14,AMATLAN DE LOS REYES,26,53,4465,3246,424,428,466,333,447,10011,236,103,48,14,11,61,184,64,5,54,,20600,2,644,21246,30774,
30,VERACRUZ,16,ANGEL R. CABADA,24,46,3416,1576,2000,1890,185,203,144,5212,115,72,128,9,8,232,72,34,6,27,,15329,1,591,15921,25717,
30,VERACRUZ,18,APAZAPAN,5,6,249,373,891,82,31,40,34,678,12,20,19,1,1,13,6,3,0,1,,2454,1,63,2518,3314,
30,VERACRUZ,19,AQUILA,1,3,356,191,22,268,8,14,4,116,12,17,6,1,0,36,5,1,1,2,,1060,0,31,1091,1502,
30,VERACRUZ,20,ASTACINGA,3,6,630,532,74,44,136,36,51,1261,59,19,6,1,1,14,31,6,3,8,,2912,0,117,3029,4509,
30,VERACRUZ,21,ATLAHUILCO,5,10,1483,681,275,70,182,131,94,2115,60,22,28,13,4,17,18,19,5,7,,5224,0,319,5543,6969,
30,VERACRUZ,22,ATOYAC,16,34,1867,1244,153,385,188,183,540,5179,155,28,19,6,6,58,79,33,34,29,,10186,1,348,10535,16841,
30,VERACRUZ,23,ATZACAN,11,23,1909,724,613,1119,278,443,142,3963,138,112,86,24,9,54,73,24,2,28,,9741,1,417,10159,13957,
30,VERACRUZ,24,ATZALAN,34,80,5595,6861,343,281,654,762,260,6990,160,137,91,47,27,235,135,57,6,36,,22677,2,876,23555,35002,
30,VERACRUZ,26,AYAHUALULCO,8,26,3657,2551,353,80,181,126,109,1758,92,66,75,11,0,72,59,9,2,21,,9222,0,449,9671,15733,
30,VERACRUZ,27,BANDERILLA,9,30,2444,1095,1141,240,252,351,166,5864,170,88,81,10,4,24,64,24,2,19,,12039,2,428,12469,17735,
30,VERACRUZ,28,BENITO JUAREZ,10,21,3729,1851,143,84,128,102,81,1775,46,33,32,5,2,17,15,11,1,2,,8057,0,300,8357,11116,
30,VERACRUZ,29,BOCA DEL RIO,96,219,43953,7010,784,1480,798,1172,621,21555,764,626,317,119,6,245,314,103,5,70,,79942,27,2098,82067,123977,
30,VERACRUZ,30,CALCAHUALCO,5,15,1815,1443,267,93,103,93,89,1023,73,50,42,5,0,22,0,0,0,0,,5118,4,305,5427,8312,
30,VERACRUZ,7,CAMARON DE TEJEDA,3,9,1577,374,249,242,32,64,265,698,6,26,15,4,0,36,8,1,1,1,,3599,1,121,3721,4958,
30,VERACRUZ,31,CAMERINO Z. MENDOZA,16,40,1981,972,1110,498,379,956,377,8817,344,61,54,25,12,27,168,74,11,52,,15918,45,855,16818,23300,
30,VERACRUZ,208,CARLOS A. CARRILLO,20,30,2240,1384,415,132,281,208,87,4357,64,55,43,9,0,59,128,70,4,32,,9568,3,406,9977,16793,
