ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,PRI_PVEM,PRD_PT_NVA_ALIANZA,PRD_PT,PRD_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,2,AZCAPOTZALCO,346,658,26609,18174,26737,7936,2557,4155,5428,38356,5539,11055,0,0,0,0,604,0,479,0,0,712,147629,10798,159139,359707,0.4424
9,DISTRITO FEDERAL,3,COYOACAN,403,922,44032,27731,50072,8593,3716,11203,6788,56876,8462,15781,0,0,0,0,527,0,515,0,0,1092,234296,21803,257191,540031,0.4763
9,DISTRITO FEDERAL,4,CUAJIMALPA DE MORELOS,75,239,17285,20898,9030,2899,719,1097,1610,9684,2313,2662,0,0,0,0,2244,0,144,0,0,139,70585,3993,74717,149705,0.4991
9,DISTRITO FEDERAL,5,GUSTAVO A. MADERO,853,1713,48978,45308,74674,19783,6298,20055,14103,105859,13514,27394,3661,0,0,0,1375,0,828,0,0,1254,381830,27319,410403,969513,0.4233
9,DISTRITO FEDERAL,6,IZTACALCO,297,600,14762,15840,32378,6420,2966,8957,4617,34074,5123,10591,0,0,0,0,707,0,0,0,0,380,136435,10308,147123,338295,0.4349
9,DISTRITO FEDERAL,7,IZTAPALAPA,1000,2316,40701,50251,170820,27083,12727,24555,15371,167750,17106,41240,0,2374,1467,0,1099,603,1192,173,101,1716,574613,39240,615569,1378933,0.4464
9,DISTRITO FEDERAL,8,LA MAGDALENA CONTRERAS,147,321,11088,17566,16836,3196,1103,3989,2093,17905,2434,3954,0,0,0,0,516,0,364,0,0,203,81044,5966,87213,183311,0.4758
9,DISTRITO FEDERAL,9,MILPA ALTA,44,146,1094,15923,7100,1867,920,8008,808,6254,922,1824,0,0,0,0,703,0,176,0,0,50,45599,2503,48152,95220,0.5057
9,DISTRITO FEDERAL,10,ALVARO OBREGON,445,995,41704,27068,49068,19755,4084,7590,7644,50077,8202,14043,0,0,0,0,1711,0,877,0,0,622,231823,18774,251219,575608,0.4364
9,DISTRITO FEDERAL,11,TLAHUAC,143,435,6173,13180,15507,6396,1519,9959,4020,29271,2974,6326,0,0,0,0,759,0,274,0,0,197,96358,6337,102892,267397,0.3848
9,DISTRITO FEDERAL,12,TLALPAN,354,864,37060,22273,40360,11468,3511,5901,4719,60862,7077,12443,0,0,0,0,1009,0,981,0,0,706,207664,18068,226438,513868,0.4407
9,DISTRITO FEDERAL,13,XOCHIMILCO,172,509,11881,14763,14902,9177,4112,11124,3667,34764,3791,7933,0,0,0,0,1084,0,0,5,0,377,117203,8960,126540,315351,0.4013
9,DISTRITO FEDERAL,14,BENITO JUAREZ,254,585,52673,18156,8925,6405,1904,9478,4356,29252,5865,9338,0,0,0,0,411,0,86,0,0,795,146849,15544,163188,345163,0.4728
9,DISTRITO FEDERAL,15,CUAUHTEMOC,388,792,24957,32558,32248,7078,2555,5355,4440,51878,7022,11995,0,0,0,1411,706,179,255,41,33,691,182711,14963,198365,451946,0.4389
9,DISTRITO FEDERAL,16,MIGUEL HIDALGO,260,540,35982,13316,35939,5149,1771,2664,2605,19897,3531,6029,0,0,0,3238,429,0,386,0,0,497,130936,9643,141076,307331,0.4590
9,DISTRITO FEDERAL,17,VENUSTIANO CARRANZA,334,673,15543,17424,46349,7872,2491,14593,4419,31812,5069,10607,0,0,0,0,472,0,395,0,0,407,157046,11066,168519,387118,0.4353
