ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,1,,108,258,3272,4599,17909,3354,1131,3632,1792,17059,1648,3450,0,0,0,0,104,57846,3253,61203,160717,0.3808
9,DISTRITO FEDERAL,2,,190,352,15866,9354,13565,3746,1267,2943,2553,20673,2813,5811,0,0,0,0,223,78591,6192,85006,192158,0.4424
9,DISTRITO FEDERAL,3,,184,347,13297,9920,15671,3717,1526,2367,3243,20919,3155,5785,0,0,0,0,541,79600,5744,85885,194440,0.4417
9,DISTRITO FEDERAL,4,,182,376,7498,9110,17255,5296,1462,2687,4451,24460,2954,6141,0,0,0,0,238,81314,5643,87195,214703,0.4061
9,DISTRITO FEDERAL,5,,162,311,13312,8556,11306,4521,1270,1788,2185,17437,2384,5270,0,0,0,0,171,68029,5054,73254,165267,0.4432
9,DISTRITO FEDERAL,6,,170,356,7638,11949,15174,4079,1332,8493,2534,24352,2759,6262,0,0,0,0,306,84572,6026,90904,205719,0.4419
9,DISTRITO FEDERAL,7,,203,371,14704,10984,11186,3995,1519,2300,2773,19315,3340,5730,3661,0,0,0,383,79507,6205,86095,196216,0.4388
9,DISTRITO FEDERAL,8,,145,328,17186,7146,29532,3594,1443,1678,1758,13149,2529,4325,0,0,0,0,276,82340,5602,88218,191570,0.4605
9,DISTRITO FEDERAL,9,,151,319,8100,15417,13764,3180,1084,2052,1926,23321,2684,5324,0,0,0,0,256,76852,5707,82815,186254,0.4446
9,DISTRITO FEDERAL,10,,165,335,8833,9283,22076,4538,1203,6552,2142,15516,2574,5505,0,0,0,0,216,78222,5846,84284,192958,0.4368
