CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0001,B,179,191,0,0,2,2,1,9,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,388,1,389,482,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0001B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0002,B,165,174,1,0,1,1,0,11,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,354,4,358,493,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0002B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0002,C01,178,157,5,0,0,0,0,9,1,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,353,6,359,492,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0002C1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0003,B,183,217,5,0,1,0,0,10,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,417,5,422,598,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0003B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0004,B,148,165,5,0,1,0,3,3,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,327,1,328,427,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0004B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0004,C01,158,152,2,0,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,317,4,321,426,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0004C1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0005,B,294,220,2,0,1,0,3,9,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,535,7,542,718,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0005B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0006,B,239,233,10,0,1,0,3,8,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,495,3,498,678,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0006B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0008,B,132,113,7,0,0,1,0,9,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,265,6,271,379,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0008B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0008,C01,135,121,4,0,0,0,0,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,265,6,271,378,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0008C1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0009,B,236,244,12,0,1,0,4,11,1,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,513,12,525,747,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0009B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0010,B,106,134,43,2,0,1,0,39,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,328,1,329,446,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0010B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0010,C01,88,119,62,0,3,0,1,42,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,315,12,327,446,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0010C1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0010,E01,65,100,13,0,2,1,1,27,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,211,6,217,285,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0010E01.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0011,B,283,182,4,0,0,0,2,9,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,489,5,494,632,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0011B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0012,B,88,184,11,1,1,1,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,291,6,297,378,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0012B.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0012,E01,120,66,1,0,0,0,0,6,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,194,2,196,246,GRUPO DE RECUENTO,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ABASOLO/A_0012E01.pdf
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0013,B,126,178,1,0,0,180,10,6,8,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,513,11,524,718,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ALDAMA/A_0013B.pdf
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0013,C01,156,178,4,0,1,160,8,1,5,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,516,10,526,718,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ALDAMA/A_0013C1.pdf
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0013,C02,149,187,3,2,0,152,7,5,3,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,512,11,523,718,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Ayuntamientos/ALDAMA/A_0013C2.pdf
