ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,29,OCAMPO,14,22,4003,3945,17,9,6,1,32,22,25,11,23,7,0,,,,,,,,,,,,,,,,38,,,,,,,,0,8139,76,8215,10466,0.7849
28,TAMAULIPAS,30,PADILLA,9,21,3961,3772,40,14,32,92,69,48,444,4,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,0,8490,114,8604,11449,0.7515
28,TAMAULIPAS,31,PALMILLAS,4,5,499,684,8,1,0,2,6,0,9,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,1211,112,1323,1612,0.8207
28,TAMAULIPAS,32,REYNOSA,400,855,82102,63571,2017,1798,1400,4363,1933,6816,2447,849,793,444,45,,,,,,,,,,,,,,,,,3778,55373,,,,,,196,227729,4523,231807,488143,0.4749
28,TAMAULIPAS,33,RIO BRAVO,72,170,12291,16043,447,708,303,538,574,1605,1957,548,201,20,3,,,,,,,,,,,,,,,,,,,9885,532,588,,,19,46243,1102,47311,99017,0.4778
28,TAMAULIPAS,34,SAN CARLOS,12,19,3065,2569,47,0,2,7,5,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5746,65,5811,7537,0.7710
28,TAMAULIPAS,35,SAN FERNANDO,52,82,13148,9411,2037,26,61,97,168,335,260,11,31,9,4,,,,,,,,,,,,,,,,,,,,,,,,1,25598,406,26005,38302,0.6789
28,TAMAULIPAS,36,SAN NICOLAS,2,3,22,781,8,0,0,1,1,1,63,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,877,10,887,1108,0.8005
28,TAMAULIPAS,37,SOTO LA MARINA,24,44,6319,5179,799,29,82,4,570,41,38,153,39,29,4,,,,,,,,,,,,,,,,,,,,,,,,1,13286,124,13411,18264,0.7343
28,TAMAULIPAS,38,TAMPICO,192,430,58491,60815,4551,1726,957,4130,1365,4330,1194,993,999,557,214,,,,,,,,,,,,,,,,,,,,,,,,181,140322,2294,142025,245533,0.5784
28,TAMAULIPAS,39,TULA,19,41,7584,6291,70,21,62,3,132,21,21,10,39,9,1,,,,,,,,,,,,,,,,,,,,,,,,0,14264,222,14486,20898,0.6932
28,TAMAULIPAS,40,VALLE HERMOSO,45,86,6311,12308,150,86,213,158,258,312,1388,24,57,5,4,,,,,,,,,,,,,,,,,,,,,,4499,,11,25773,573,26357,46525,0.5665
28,TAMAULIPAS,41,VICTORIA,149,396,45274,46334,1845,533,1130,25798,1112,1399,799,143,338,37,16,,,,,,,,,,,,,,,,,,,,,,,28008,204,152766,1850,154567,237628,0.6505
28,TAMAULIPAS,42,VILLAGRAN,7,13,3043,55,12,3,32,2,1,26,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,3175,214,3393,4897,0.6929
28,TAMAULIPAS,43,XICOTENCATL,21,36,8246,5500,68,18,16,7,28,66,69,5,25,3,0,,,,,,,,,,,,,,,,,,,,,,,,0,14051,207,14258,17998,0.7922
