CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,1,3,418,180,15,95,9,2,27,10,13,38,0,0,807,26,833,1505
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,2,3,629,193,14,166,8,7,25,12,13,46,0,0,1113,28,1141,1935
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,3,2,460,158,18,101,10,3,17,11,8,40,0,0,826,26,852,1482
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,4,2,382,118,7,37,8,3,18,5,2,30,0,1,611,17,628,1024
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,5,2,315,161,4,53,10,5,20,6,4,32,0,0,610,31,641,1070
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,6,4,678,287,15,192,22,15,25,14,15,83,0,0,1346,31,1377,2580
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,7,2,393,149,13,80,15,6,16,8,12,64,0,1,757,18,775,1338
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,8,2,428,188,11,98,13,4,16,7,15,37,0,0,817,22,839,1395
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,9,3,666,290,26,101,11,3,26,14,11,58,0,0,1206,28,1234,2179
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,10,3,557,217,10,104,6,8,22,16,26,77,0,0,1043,18,1061,1785
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,11,5,1036,265,19,174,30,9,55,31,27,139,0,0,1785,34,1819,3096
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,12,2,109,200,13,211,6,2,11,10,13,3,0,0,578,17,595,1286
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,13,1,113,103,7,95,10,0,5,8,2,3,0,0,346,14,360,711
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,14,1,46,21,2,85,1,0,3,1,0,1,0,0,160,0,160,372
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,15,1,108,36,7,45,7,1,13,8,0,0,0,0,225,9,234,731
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,16,3,296,235,24,112,37,1,9,16,0,3,0,0,733,18,751,1739
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,17,2,198,231,49,51,3,2,18,31,1,4,0,0,588,19,607,1342
2,11,GUANAJUATO,13,SALAMANCA,1,ABASOLO,18,2,129,68,19,145,7,3,8,20,3,4,0,0,406,11,417,841
