ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
11,GUANAJUATO,1,ABASOLO,50,111,14727,7417,852,6327,490,194,676,585,363,1057,0,5,32693,870,33563,64501,0.5203
11,GUANAJUATO,2,ACAMBARO,90,174,11473,3709,13017,4457,682,657,2220,900,330,469,0,27,37941,1893,39834,93723,0.425
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,210,23554,14789,681,2054,970,1191,1687,903,4864,2038,0,40,52771,3213,55984,116877,0.479
11,GUANAJUATO,4,APASEO EL ALTO,44,85,8191,3105,1059,3011,223,5935,443,293,383,131,0,6,22780,649,23429,48360,0.4845
11,GUANAJUATO,5,APASEO EL GRANDE,43,107,9776,8140,1078,992,502,3706,533,1570,231,627,0,7,27162,1035,28197,62017,0.4547
11,GUANAJUATO,6,ATARJEA,5,10,1979,958,17,322,2,6,28,14,5,0,0,1,3332,116,3448,4083,0.8445
11,GUANAJUATO,7,CELAYA,247,595,50076,30571,5249,12616,4050,10414,6470,9908,5608,6836,2430,236,144464,6743,151207,350417,0.4315
11,GUANAJUATO,8,MANUEL DOBLADO,42,61,6431,5178,2718,408,76,55,283,145,67,118,0,3,15482,697,16179,30287,0.5342
11,GUANAJUATO,9,COMONFORT,43,99,7642,5528,3156,1291,275,2901,1421,560,865,504,0,37,24180,1664,25844,56870,0.4544
11,GUANAJUATO,10,CORONEO,10,17,1896,2489,77,417,290,270,102,36,32,27,0,8,5644,313,5957,9216,0.6464
11,GUANAJUATO,11,CORTAZAR,55,124,11205,5657,7989,4566,704,554,2027,997,409,569,0,15,34692,1192,35884,70281,0.5106
11,GUANAJUATO,12,CUERAMARO,21,39,7496,1133,2892,427,280,38,378,75,29,52,0,1,12801,331,13132,22152,0.5928
11,GUANAJUATO,13,DOCTOR MORA,12,27,5320,2846,412,385,33,69,945,269,264,67,0,4,10614,299,10913,16776,0.6505
11,GUANAJUATO,14,DOLORES HIDALGO C.I.N.,71,183,17831,14127,1702,5338,1947,825,2324,2022,1103,547,0,22,47788,2363,50151,105170,0.4769
11,GUANAJUATO,15,GUANAJUATO,93,223,15006,14579,6834,2649,718,484,2034,2076,1359,1195,0,102,47036,2799,49835,128272,0.3885
11,GUANAJUATO,16,HUANIMARO,13,28,3551,925,363,1633,313,1238,901,136,689,292,0,1,10042,216,10258,16307,0.6291
11,GUANAJUATO,17,IRAPUATO,249,634,59981,50694,2736,7545,1365,2583,4916,5480,1914,3800,936,229,142179,6298,148477,383336,0.3873
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,48,5931,6010,700,3248,41,60,1073,348,166,95,0,2,17674,343,18017,27724,0.6499
11,GUANAJUATO,19,JERECUARO,56,84,6214,5305,420,6872,68,1007,487,107,73,74,0,3,20630,976,21606,41040,0.5265
11,GUANAJUATO,20,LEON,723,1728,227026,79252,5671,31249,4068,10444,12892,12365,9822,17785,4866,570,416010,17230,433240,1028448,0.4213
11,GUANAJUATO,21,MOROLEON,35,76,5641,4618,3824,3126,420,996,1003,538,311,294,0,7,20778,781,21559,41583,0.5185
11,GUANAJUATO,22,OCAMPO,18,34,3649,4317,1357,540,19,15,41,34,33,4,0,2,10011,292,10303,16546,0.6227
11,GUANAJUATO,23,PENJAMO,113,223,27394,9387,8236,3537,762,199,1511,1018,800,613,0,31,53488,2721,56209,119643,0.4698
11,GUANAJUATO,24,PUEBLO NUEVO,8,19,1287,3533,2170,89,71,10,97,54,18,21,0,1,7351,124,7475,10457,0.7148
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,79,11239,8939,98,1463,111,67,222,258,121,288,0,3,22809,739,23548,49079,0.4798
11,GUANAJUATO,26,ROMITA,50,80,6718,6459,3809,1038,79,68,3194,891,97,105,0,15,22473,670,23143,42619,0.543
11,GUANAJUATO,27,SALAMANCA,154,341,31208,13232,2206,15453,1082,2738,3240,5234,3103,2584,0,104,80184,3528,83712,201174,0.4161
11,GUANAJUATO,28,SALVATIERRA,84,153,13497,14060,2273,3552,453,340,814,1801,307,686,0,20,37803,1476,39279,82940,0.4736
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,47,4219,5076,544,1945,1302,32,427,174,75,66,0,1,13861,501,14362,26117,0.5499
