ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRI_PVEM,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,B,1,0,B,127,60,5,6,2,13,13,137,10,2,14,4,0,1,0,1,1,1,1,0,,,,,29,,,,,,,,,,,,,,,,,,,,,,427,0,8,435,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,1,0,C01,108,68,4,8,1,7,15,149,13,6,21,9,0,1,0,0,0,2,1,0,,,,,24,,,,,,,,,,,,,,,,,,,,,,437,1,6,444,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,2,0,C02,111,77,5,6,7,5,13,123,12,1,19,4,1,2,0,1,2,1,1,0,,,,,31,,,,,,,,,,,,,,,,,,,,,,422,0,8,430,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,3,0,C03,91,71,10,6,1,8,15,136,10,6,12,4,1,2,0,0,4,0,0,1,,,,,19,,,,,,,,,,,,,,,,,,,,,,397,0,11,408,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,4,0,C04,114,64,5,4,2,6,10,116,11,8,11,5,2,1,0,2,0,0,1,0,,,,,18,,,,,,,,,,,,,,,,,,,,,,380,0,8,388,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,5,0,C05,91,60,3,9,5,12,21,121,11,10,16,6,1,0,0,0,2,1,0,0,,,,,31,,,,,,,,,,,,,,,,,,,,,,400,2,0,402,685,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,6,0,C06,113,67,6,2,6,12,16,136,6,3,17,2,0,4,0,1,2,0,1,0,,,,,22,,,,,,,,,,,,,,,,,,,,,,416,0,12,428,684,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,7,0,C07,101,53,2,4,4,8,17,141,11,3,16,3,0,2,0,2,1,1,1,0,,,,,28,,,,,,,,,,,,,,,,,,,,,,398,0,12,410,684,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,C,8,0,C08,111,66,3,5,7,5,15,128,13,1,10,6,1,1,1,3,2,0,0,0,,,,,19,,,,,,,,,,,,,,,,,,,,,,397,0,4,401,684,Grupo de recuento,,,
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,278,B,1,0,B,102,60,2,4,1,13,18,136,10,2,13,5,3,0,2,2,2,0,0,0,,,,,25,,,,,,,,,,,,,,,,,,,,,,400,1,9,410,745,Grupo de recuento,,,
