ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND1,PRI_PVEM_NVA_ALIANZA_PD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PD,PRI_NVA_ALIANZA_PD,PVEM_NVA_ALIANZA_PD,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PD,PVEM_NVA_ALIANZA,PVEM_PD,NVA_ALIANZA_PD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1,MONTERREY,86,337,22150,28201,342,1374,549,664,361,55,84,327,319,523,68560,22,62,4,2,2,180,20,12,5,1,2,,123821,2641,126462,223034,0.5670
19,NUEVO LEON,2,MONTERREY,61,183,8365,19231,155,2384,293,216,174,32,30,154,189,221,26648,125,41,3,4,0,130,14,6,6,0,0,,58421,1980,60401,112463,0.5370
19,NUEVO LEON,3,MONTERREY,72,171,14132,12490,196,936,264,354,219,29,42,195,199,102,34464,14,31,3,2,1,110,23,6,2,0,0,,63814,1623,65437,102488,0.6390
19,NUEVO LEON,4,MONTERREY,91,181,16540,10404,167,350,159,589,123,25,56,216,174,99,38148,19,14,1,2,0,60,12,2,0,0,2,,67162,1082,68244,101890,0.6700
19,NUEVO LEON,5,MONTERREY,143,157,10708,11294,151,378,197,269,143,18,41,174,158,138,22277,19,23,2,4,0,61,16,4,7,0,0,,46082,1040,47122,77065,0.6120
19,NUEVO LEON,6,MONTERREY,114,155,10865,10389,265,363,206,242,167,25,38,178,185,84,20858,17,82,1,0,6,158,14,4,7,0,6,,44160,1063,45223,75810,0.5970
19,NUEVO LEON,7,MONTERREY,98,159,14181,8089,157,283,211,420,154,27,59,246,160,114,27546,7,16,1,1,1,42,17,1,0,1,1,,51735,901,52636,82165,0.6410
19,NUEVO LEON,8,MONTERREY,71,214,18767,14466,188,495,395,548,199,40,69,275,206,104,40400,16,35,2,2,0,165,21,5,2,0,1,,76401,1939,78340,129805,0.6040
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,74,194,22461,9537,225,323,341,372,226,33,42,202,203,91,35791,11,12,1,2,3,42,19,4,1,1,1,,69944,1316,71260,113840,0.6260
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,70,194,20357,10805,208,359,476,477,256,38,47,245,178,307,34320,9,22,3,1,4,73,13,3,4,0,4,,68209,1524,69733,115134,0.6060
