ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI_PVEM_NVA_ALIANZA_PD,PRD,PT,MC,CC,MORENA,PH,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1,MONTERREY,86,337,22150,29478,342,1374,664,84,327,319,523,68560,,123821,2641,126462,223034,0.5670
19,NUEVO LEON,2,MONTERREY,61,183,8365,20059,155,2384,216,30,154,189,221,26648,,58421,1980,60401,112463,0.5370
19,NUEVO LEON,3,MONTERREY,72,171,14132,13194,196,936,354,42,195,199,102,34464,,63814,1623,65437,102488,0.6390
19,NUEVO LEON,4,MONTERREY,91,181,16540,10823,167,350,589,56,216,174,99,38148,,67162,1082,68244,101890,0.6700
19,NUEVO LEON,5,MONTERREY,143,157,10708,11788,151,378,269,41,174,158,138,22277,,46082,1040,47122,77065,0.6120
19,NUEVO LEON,6,MONTERREY,114,155,10865,11082,265,363,242,38,178,185,84,20858,,44160,1063,45223,75810,0.5970
19,NUEVO LEON,7,MONTERREY,98,159,14181,8569,157,283,420,59,246,160,114,27546,,51735,901,52636,82165,0.6410
19,NUEVO LEON,8,MONTERREY,71,214,18767,15349,188,495,548,69,275,206,104,40400,,76401,1939,78340,129805,0.6040
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,74,194,22461,10234,225,323,372,42,202,203,91,35791,,69944,1316,71260,113840,0.6260
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,70,194,20357,11711,208,359,477,47,245,178,307,34320,,68209,1524,69733,115134,0.6060
19,NUEVO LEON,11,SAN NICOLAS DE LOS GARZA,83,192,21137,9819,202,369,492,59,264,179,197,36523,,69241,1202,70443,110592,0.6370
19,NUEVO LEON,12,GUADALUPE,64,204,15644,17839,222,331,426,73,320,297,164,38607,,73923,1592,75515,126952,0.5950
19,NUEVO LEON,13,GUADALUPE,60,225,14818,19632,319,348,365,54,305,252,170,41311,,77574,1744,79318,144419,0.5490
19,NUEVO LEON,14,GUADALUPE,85,273,21503,23086,294,375,475,81,492,283,195,49785,,96569,1696,98265,165412,0.5940
19,NUEVO LEON,15,GUADALUPE,84,156,13544,11177,151,219,300,48,206,204,100,28811,,54760,1005,55765,87103,0.6400
19,NUEVO LEON,16,APODACA,288,628,38041,42802,755,937,1094,158,642,506,335,106918,,192188,3086,195274,360935,0.5410
19,NUEVO LEON,17,GENERAL ESCOBEDO,135,437,24859,34209,682,1097,815,92,465,380,207,76458,,139264,2505,141769,272504,0.5200
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,77,209,17506,10464,189,240,474,51,145,419,110,48370,,77968,1469,79437,128742,0.6170
19,NUEVO LEON,19,SANTA CATARINA,72,257,23640,15570,293,349,481,74,247,323,142,52742,,93861,1659,95520,166499,0.5740
19,NUEVO LEON,20,HIDALGO,196,406,21102,35443,3724,1081,876,63,347,342,326,61717,,125021,2694,127715,225622,0.5660
19,NUEVO LEON,21,SABINAS HIDALGO,67,100,14064,11813,471,447,46,14,116,957,8,9470,,37406,736,38142,54220,0.7040
19,NUEVO LEON,22,CHINA,251,443,29778,45989,293,584,364,169,313,527,2530,51827,,132374,3401,135775,246209,0.5520
19,NUEVO LEON,23,CADEREYTA JIMENEZ,71,176,13273,18498,99,887,302,42,194,369,214,23137,,57015,1305,58320,100819,0.5790
19,NUEVO LEON,24,MONTEMORELOS,81,151,11069,16627,125,273,116,42,186,437,72,19797,,48744,1577,50321,85605,0.5880
19,NUEVO LEON,25,LINARES,61,123,12864,14093,99,82,67,21,36,65,28,13677,,41032,1496,42528,69420,0.6130
19,NUEVO LEON,26,GALEANA,111,173,15175,29296,132,1268,37,31,46,106,98,12390,,58579,2736,61315,81710,0.7500
