ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1,MONTERREY,86,337,22150,28337,342,1374,672,664,401,68,84,327,319,523,68560,,123821,2641,126462,223034,0.567
19,NUEVO LEON,2,MONTERREY,61,183,8365,19355,155,2384,407,216,229,68,30,154,189,221,26648,,58421,1980,60401,112463,0.537
19,NUEVO LEON,3,MONTERREY,72,171,14132,12577,196,936,336,354,245,36,42,195,199,102,34464,,63814,1623,65437,102488,0.639
19,NUEVO LEON,4,MONTERREY,91,181,16540,10453,167,350,199,589,140,31,56,216,174,99,38148,,67162,1082,68244,101890,0.670
19,NUEVO LEON,5,MONTERREY,143,157,10708,11351,151,378,245,269,167,25,41,174,158,138,22277,,46082,1040,47122,77065,0.612
19,NUEVO LEON,6,MONTERREY,114,155,10865,10511,265,363,322,242,213,36,38,178,185,84,20858,,44160,1063,45223,75810,0.597
19,NUEVO LEON,7,MONTERREY,98,159,14181,8130,157,283,241,420,170,28,59,246,160,114,27546,,51735,901,52636,82165,0.641
19,NUEVO LEON,8,MONTERREY,71,214,18767,14581,188,495,495,548,227,46,69,275,206,104,40400,,76401,1939,78340,129805,0.604
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,74,194,22461,9579,225,323,372,372,245,38,42,202,203,91,35791,,69944,1316,71260,113840,0.626
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,70,194,20357,10864,208,359,526,477,276,45,47,245,178,307,34320,,68209,1524,69733,115134,0.606
19,NUEVO LEON,11,SAN NICOLAS DE LOS GARZA,83,192,21137,9088,202,369,401,492,288,42,59,264,179,197,36523,,69241,1202,70443,110592,0.637
19,NUEVO LEON,12,GUADALUPE,64,204,15644,16861,222,331,493,426,429,56,73,320,297,164,38607,,73923,1592,75515,126952,0.595
19,NUEVO LEON,13,GUADALUPE,60,225,14818,18590,319,348,495,365,454,93,54,305,252,170,41311,,77574,1744,79318,144419,0.549
19,NUEVO LEON,14,GUADALUPE,85,273,21503,21970,294,375,638,475,406,72,81,492,283,195,49785,,96569,1696,98265,165412,0.594
19,NUEVO LEON,15,GUADALUPE,84,156,13544,10516,151,219,367,300,265,29,48,206,204,100,28811,,54760,1005,55765,87103,0.640
19,NUEVO LEON,16,APODACA,288,628,38041,40518,755,937,1343,1094,852,89,158,642,506,335,106918,,192188,3086,195274,360935,0.541
19,NUEVO LEON,17,GENERAL ESCOBEDO,135,437,24859,32587,682,1097,1034,815,527,61,92,465,380,207,76458,,139264,2505,141769,272504,0.520
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,77,209,17506,9834,189,240,342,474,232,56,51,145,419,110,48370,,77968,1469,79437,128742,0.617
19,NUEVO LEON,19,SANTA CATARINA,72,257,23640,14661,293,349,461,481,400,48,74,247,323,142,52742,,93861,1659,95520,166499,0.574
19,NUEVO LEON,20,HIDALGO,196,406,21102,33208,3724,1081,1386,876,687,162,63,347,342,326,61717,,125021,2694,127715,225622,0.566
19,NUEVO LEON,21,SABINAS HIDALGO,67,100,14064,11095,471,447,261,46,437,20,14,116,957,8,9470,,37406,736,38142,54220,0.704
19,NUEVO LEON,22,CHINA,251,443,29778,40928,293,584,3523,364,1408,130,169,313,527,2530,51827,,132374,3401,135775,246209,0.552
19,NUEVO LEON,23,CADEREYTA JIMENEZ,71,176,13273,15560,99,887,2642,302,235,61,42,194,369,214,23137,,57015,1305,58320,100819,0.579
19,NUEVO LEON,24,MONTEMORELOS,81,151,11069,15550,125,273,362,116,649,66,42,186,437,72,19797,,48744,1577,50321,85605,0.588
19,NUEVO LEON,25,LINARES,61,123,12864,11130,99,82,326,67,2583,54,21,36,65,28,13677,,41032,1496,42528,69420,0.613
19,NUEVO LEON,26,GALEANA,111,173,15175,28018,132,1268,362,37,878,38,31,46,106,98,12390,,58579,2736,61315,81710,0.750
