CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,85,2,20,15,1,29,21,6,1,172,24,0,0,0,0,0,4,0,0,2,14,,,,,309,0,19,328,941
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,86,2,34,28,2,50,24,4,2,234,29,2,0,0,0,1,1,0,0,4,64,,,,,479,1,25,505,1109
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,87,2,7,17,6,30,15,7,1,170,20,1,0,0,0,1,4,0,0,7,38,,,,,324,0,27,351,767
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,88,1,22,8,6,20,14,3,5,174,30,0,0,0,0,2,1,0,0,4,24,,,,,313,1,11,325,665
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,89,1,17,15,2,32,10,5,1,140,21,0,0,0,0,1,1,0,0,5,34,,,,,284,0,9,293,559
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,90,2,58,35,6,38,21,8,1,380,40,1,1,0,0,0,0,0,0,7,109,,,,,705,1,10,716,1255
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,91,2,47,35,9,38,40,6,1,437,35,1,0,0,0,0,2,0,0,2,97,,,,,750,1,19,770,1324
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,92,3,112,24,10,35,33,16,5,288,24,2,0,1,0,4,2,0,0,8,92,,,,,656,2,16,674,1269
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,93,3,210,39,8,58,36,13,12,445,43,4,0,1,0,0,4,0,0,7,132,,,,,1012,1,33,1046,1861
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,94,2,46,40,19,41,37,10,10,393,39,0,0,2,0,1,7,0,0,14,108,,,,,767,6,33,806,1273
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,95,1,27,19,5,30,17,5,2,160,7,0,1,0,0,6,4,1,1,6,32,,,,,323,1,13,337,641
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,96,2,35,14,10,19,16,4,3,168,25,0,0,0,1,0,2,0,0,0,51,,,,,348,0,7,355,858
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,97,1,9,11,1,19,20,2,1,166,11,0,0,0,0,1,3,0,0,3,14,,,,,261,0,15,276,712
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,114,2,21,15,2,6,14,4,3,147,9,0,0,0,0,1,1,0,0,9,26,,,,,258,5,9,272,812
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,115,2,19,25,4,25,25,7,4,169,5,1,2,0,0,1,1,0,0,23,18,,,,,329,9,9,347,1044
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,116,2,56,32,7,31,16,9,2,248,27,1,0,0,0,3,0,0,0,3,83,,,,,518,1,23,542,1007
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,117,2,59,35,16,48,32,6,6,340,40,3,0,0,0,0,0,0,1,2,311,,,,,899,6,23,928,1181
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,119,1,90,15,1,5,16,4,4,97,11,1,1,0,0,0,1,0,0,7,80,,,,,333,2,6,341,559
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,136,2,63,8,1,9,16,6,3,113,9,2,2,0,0,0,1,0,0,3,58,,,,,294,1,7,302,505
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,137,2,116,21,1,7,7,7,3,145,13,2,1,1,0,0,1,0,0,1,62,,,,,388,1,7,396,619
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,169,3,524,62,7,46,33,7,2,269,13,2,2,1,0,0,2,0,0,3,140,,,,,1113,8,27,1148,1932
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,170,6,520,73,15,36,51,14,3,334,27,5,3,2,1,4,3,0,0,5,173,,,,,1269,0,33,1302,2609
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,634,2,16,21,8,76,21,6,3,230,21,1,0,0,1,4,8,0,0,2,13,,,,,431,11,22,464,807
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,635,1,17,17,9,61,22,9,1,250,15,0,0,0,0,2,7,0,0,10,11,,,,,431,0,13,444,726
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,636,1,15,11,10,25,18,5,2,185,14,0,0,0,0,1,3,0,0,9,11,,,,,309,0,22,331,608
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,637,1,11,17,2,29,7,4,2,103,11,0,0,0,0,2,2,0,0,2,0,,,,,192,182,16,390,369
,23,QUINTANA ROO,1,CANCUN,1,BENITO JUAREZ,962,3,70,53,17,9,63,16,7,507,34,2,0,1,0,1,1,0,0,11,44,,,,,836,0,43,879,1574
,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,13,3,36,64,20,48,66,11,9,746,80,5,2,0,0,1,5,0,1,22,114,,,,,1230,1,54,1285,2202
,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,14,6,121,89,22,85,100,25,22,1361,126,4,0,2,0,0,3,0,0,33,202,,,,,2195,53,74,2322,4051
,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,48,2,43,30,17,42,40,7,10,474,72,0,0,0,0,2,2,0,0,10,76,,,,,825,0,26,851,1447
,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,49,2,29,28,16,39,35,14,5,536,60,1,0,0,0,0,2,0,0,1,85,,,,,851,2,46,899,1500
,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,50,3,51,50,23,60,65,10,10,783,86,0,0,0,0,0,5,0,0,19,118,,,,,1280,8,54,1342,2133
