CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,85,B,1,0,B,11,5,0,17,13,4,0,101,14,0,0,0,0,0,3,0,0,1,14,,,,,183,0,10,193,471,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,85,C,1,0,C01,9,10,1,12,8,2,1,71,10,0,0,0,0,0,1,0,0,1,0,,,,,126,0,9,135,470,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,86,B,1,0,B,17,16,2,23,10,4,2,134,16,1,0,0,0,1,0,0,0,1,40,,,,,267,1,15,283,555,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,86,C,1,0,C01,17,12,0,27,14,0,0,100,13,1,0,0,0,0,1,0,0,3,24,,,,,212,0,10,222,554,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,87,B,1,0,B,4,10,3,20,10,3,1,91,9,0,0,0,0,1,1,0,0,3,19,,,,,175,0,16,191,384,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,87,C,1,0,C01,3,7,3,10,5,4,0,79,11,1,0,0,0,0,3,0,0,4,19,,,,,149,0,11,160,383,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,88,B,1,0,B,22,8,6,20,14,3,5,174,30,0,0,0,0,2,1,0,0,4,24,,,,,313,1,11,325,665,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,89,B,1,0,B,17,15,2,32,10,5,1,140,21,0,0,0,0,1,1,0,0,5,34,,,,,284,0,9,293,559,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,90,B,1,0,B,34,12,3,19,11,4,1,200,16,1,1,0,0,0,0,0,0,5,51,,,,,358,0,10,368,628,COTEJADO EN PLENO,,,
,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,90,C,1,0,C01,24,23,3,19,10,4,0,180,24,0,0,0,0,0,0,0,0,2,58,,,,,347,1,0,348,627,COTEJADO EN PLENO,,,
