ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PRI,PT,NA,MORENA,ES,PAN_PRD_MC,PRI_PVEM_NA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,448,997,,,,,20654,37696,29653,191198,36664,,,,,315865,1186,10762,327813,580853,
23,QUINTANA ROO,2,COZUMEL,22,102,,,,,794,13268,16698,8314,,608,,,,39682,10,1102,40794,67040,
23,QUINTANA ROO,3,FELIPE C. PUERTO,35,93,,,,,1259,13258,12324,8211,,,752,,,35804,1,1815,37620,51668,
23,QUINTANA ROO,4,ISLA MUJERES,10,31,5570,,85,,401,2371,,3862,,,,,,12289,3,411,12703,19285,
23,QUINTANA ROO,5,JOSE MA. MORELOS,22,46,5840,,4451,,482,7723,,1845,,,,,,20341,20,802,21163,25556,
23,QUINTANA ROO,6,LAZARO CARDENAS ,14,38,,7751,,1158,1522,3082,1481,,,,,,,14994,16,606,15616,20253,
23,QUINTANA ROO,7,OTHON P. BLANCO ,160,304,,,,,6977,23772,14176,46623,,,,8453,,100001,35,4159,104195,166189,
23,QUINTANA ROO,8,SOLIDARIDAD,157,341,,,,,5365,36363,18547,39439,,,,,,99714,95,3715,103524,199592,
23,QUINTANA ROO,9,TULUM,41,62,,,,,235,8852,7832,2580,,,,,,19499,7,860,20366,30419,
23,QUINTANA ROO,10,BACALAR,25,55,,,,,2771,2930,6905,6045,,,,,480,19131,1,874,20006,29454,
23,QUINTANA ROO,11,PUERTO MORELOS,5,29,,,,,252,2568,4985,3690,,,,,,11495,10,472,11977,18357,
