ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,MORENA,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA_PT,NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,NVA_ALIANZA_PT,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,Querétaro,50,93,14850,9542,708,439,232,302,2604,107,191,46,28,6,12,33,65,8,4,2,3,62,29182,1092,30336,50732,0.5980
22,QUERETARO,2,Querétaro,106,262,35570,23646,2272,1677,718,899,5757,250,498,209,69,20,5,58,246,34,9,2,4,91,71943,2276,74310,152918,0.4859
22,QUERETARO,3,Querétaro,64,221,31635,22760,1811,1097,825,1002,4340,354,413,169,111,24,7,97,312,41,23,9,7,104,65037,2162,67303,135276,0.4975
22,QUERETARO,4,Querétaro,69,222,32716,21433,2296,1334,668,752,5813,324,512,261,196,126,9,177,284,132,17,3,6,120,67059,2238,69417,139019,0.4993
22,QUERETARO,5,Querétaro,62,142,25168,15326,1319,781,376,407,4229,162,384,97,52,16,7,35,136,7,14,0,1,97,48517,1741,50355,83261,0.6048
22,QUERETARO,6,Querétaro,49,145,23168,15647,1876,735,421,475,3679,184,310,104,76,18,1,33,167,18,14,3,1,57,46930,1692,48679,89621,0.5432
22,QUERETARO,7,Corregidora,62,187,31625,20009,2167,1064,817,761,4887,392,358,275,58,19,7,64,230,24,14,2,7,127,62780,2654,65561,113775,0.5762
22,QUERETARO,8,Amealco de bonfil,48,128,19802,17341,981,435,1923,623,564,192,276,99,74,18,17,141,226,41,30,4,5,11,42792,1555,44358,67532,0.6568
22,QUERETARO,9,San Juan del Río,60,173,24723,18425,1222,1055,819,1024,3339,377,216,200,69,14,7,50,268,16,16,2,3,53,51845,1798,53696,101542,0.5288
22,QUERETARO,10,San Juan del Río,42,143,22312,14524,880,643,794,879,2194,321,239,254,34,18,12,72,223,13,14,8,2,58,43436,1568,45062,81531,0.5527
22,QUERETARO,11,Pedro Escobedo,54,161,26675,19822,2580,1018,602,3243,2500,247,448,94,99,19,14,60,189,102,65,7,15,19,57799,2058,59876,94391,0.6343
22,QUERETARO,12,El Marqués,33,145,25726,22365,1432,591,412,1016,2040,326,282,150,88,7,7,80,218,37,3,10,4,28,54794,1372,56194,88846,0.6325
22,QUERETARO,13,Tolimán,48,129,22308,18702,1098,1089,936,1101,992,348,261,81,65,11,9,68,255,38,20,8,7,8,47397,1535,48940,71189,0.6875
22,QUERETARO,14,Cadereyta de Montes,47,130,19343,18143,1575,700,724,2274,1966,324,221,70,63,28,10,70,210,60,25,2,24,25,45832,1726,47583,74644,0.6375
22,QUERETARO,15,Jalpan de Serra,65,147,24169,19570,624,100,363,282,660,109,274,68,115,19,4,39,191,41,10,2,2,13,46642,1248,47903,69510,0.6892
