uniqueid,year,incumbent_party_Horacio
3001,1999,PRD_PT
3001,2002,PRD_PT
3001,2005,PRD_MC
3001,2008,PRD_PT_MC
3001,2011,PAN_PRS
3001,2015,PAN
3001,2018,NA
3002,1999,PAN
3002,2002,PRI
3002,2005,PRD_MC
3002,2008,PRD_PT_MC
3002,2011,PRD_PT
3002,2015,PAN
3002,2018,NA
3003,1999,PRD_PT
3003,2002,PRD_PT
3003,2005,PRD_MC
3003,2008,PRD_PT_MC
3003,2011,PRI_PVEM
3003,2015,PAN
3003,2018,NA
3008,1999,PRD_PT
3008,2002,PRD_PT
3008,2005,PRD_MC
3008,2008,PRD_PT_MC
3008,2011,PRD_PT
3008,2015,PAN
3008,2018,NA
3009,1999,PRI
3009,2002,PAN
3009,2005,PAN
3009,2008,PRD_PT_MC
3009,2011,PRI_PVEM
3009,2015,PAN
3009,2018,NA
