ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,PAN_PRD,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO CIN,153,332,,20837,,13825,,5353,5666,,,12620,32057,,,90358,137,5295,95790,184197,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,370,,18533,,8484,,7123,5053,,,28089,46312,,,113594,56,6678,120328,209948,
11,GUANAJUATO,3,LEON,88,298,65158,9741,1072,9197,,2388,2284,,,17465,,,,107305,100,3778,111183,186470,
11,GUANAJUATO,4,LEON,115,298,,11180,,7988,,2022,2168,,,17862,46121,,,87341,134,4889,92364,185354,
11,GUANAJUATO,5,LEON,99,293,,10009,,8011,,2301,2059,,,17075,49862,,,89317,102,3609,93028,183623,
11,GUANAJUATO,6,LEON,126,303,,12271,,8440,1931,1954,1893,12569,1471,,48140,,,88669,66,4196,92931,182252,
11,GUANAJUATO,7,LEON,206,364,,12855,,10607,,2540,2604,,,20763,64135,,,113504,101,4673,118278,198253,
11,GUANAJUATO,8,GUANAJUATO,128,330,,19015,,10491,,3011,4632,,,22720,31795,,,91664,87,5279,97030,191337,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,336,,12241,,11906,,2240,3996,,,25622,34951,,,90956,97,5146,96199,192643,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,341,,25708,,10147,,2310,1843,,,10872,51218,,,102098,49,4023,106170,198991,
11,GUANAJUATO,11,IRAPUATO,109,340,,18415,,5272,,1993,2623,,,26591,48128,,,103022,102,4421,107545,211800,
11,GUANAJUATO,12,IRAPUATO,140,340,,15513,,5247,,2124,2763,,,30911,38098,,,94656,113,4175,98944,203287,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,307,,18233,,8637,,1737,3918,,,23375,28723,,,84623,141,3212,87976,179803,
11,GUANAJUATO,14,SALAMANCA,154,361,,11939,,8291,,3073,3050,,,44116,40711,,,111180,118,4508,115806,212516,
11,GUANAJUATO,15,CELAYA,171,369,,12923,,8965,,3918,3523,,,32330,44176,,,105835,303,4991,111129,205305,
11,GUANAJUATO,16,CELAYA,110,320,,11046,,6204,,2728,2769,,,27639,33621,11939,,95946,198,3852,99996,199049,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,277,,6551,,8308,1244,2348,8852,17512,1103,,34730,,3420,84068,580,4216,88864,165941,
11,GUANAJUATO,18,PENJAMO,185,395,,22804,,9545,,2791,3539,,,27313,38522,,,104514,62,4958,109534,219081,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,388,,14875,,8521,,3809,6705,,,22529,53266,,,109705,97,5239,115041,217572,
11,GUANAJUATO,20,YURIRIA,212,437,,25205,,16414,,3837,2536,,,27668,48019,,,123679,64,6029,129772,247283,
11,GUANAJUATO,21,LEON,89,280,,9348,,9641,,2371,3030,,,20646,50811,,,95847,108,3587,99542,178486,
11,GUANAJUATO,22,ACAMBARO,212,384,,16771,,8508,,7976,2972,,,28596,33125,,,97948,392,6210,104550,206340,
