ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PAN_PRD,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,752,4,262,292,52,115,29,60,34,196,59,6,3,5,2,1,,,1116,0,92,1208,2469
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,753,5,420,301,48,175,44,85,78,381,75,3,2,0,0,3,,,1615,1,119,1735,3295
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,754,2,201,173,12,92,17,43,28,153,24,1,0,0,0,1,,,745,0,65,810,1433
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,755,4,368,204,56,166,34,85,75,276,63,0,2,1,0,2,,,1332,2,102,1436,2750
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,756,4,305,330,26,126,32,46,53,231,46,1,0,0,0,4,,,1200,3,99,1302,2335
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,757,2,160,130,8,49,8,24,20,102,23,1,1,1,0,2,,,529,2,35,566,811
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,758,2,192,136,50,74,15,31,46,179,33,0,2,0,0,0,,,758,1,55,814,1370
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,759,4,444,289,32,144,24,65,55,300,42,12,2,0,0,2,,,1411,2,61,1474,2468
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,760,7,784,519,86,266,73,119,121,536,98,5,13,2,1,5,,,2628,3,157,2788,4934
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,776,2,145,95,16,74,19,21,15,65,13,0,0,0,0,0,,,463,0,38,501,932
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,777,2,227,76,26,46,10,10,10,23,3,0,0,2,0,3,,,436,0,16,452,1087
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,778,3,228,285,65,92,32,25,15,71,11,1,1,0,0,1,,,827,2,51,880,1780
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,779,2,91,112,16,83,8,9,6,16,3,1,0,1,0,0,,,346,1,32,379,810
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,780,2,218,127,19,43,13,22,5,35,9,0,0,0,0,4,,,495,20,24,539,1252
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,781,3,279,272,13,63,20,33,11,26,13,0,0,1,0,1,,,732,0,25,757,1564
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,782,2,146,157,14,62,8,26,9,38,10,1,1,0,0,0,,,472,0,40,512,1001
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,783,1,150,58,20,46,6,11,4,20,4,0,1,0,0,1,,,321,0,37,358,741
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,784,2,309,84,6,54,20,27,21,64,14,0,0,0,0,0,,,599,0,40,639,1185
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,785,2,130,176,19,98,12,18,12,49,5,5,2,0,0,0,,,526,2,29,557,1214
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,786,2,109,131,17,45,23,24,17,33,8,2,0,0,0,1,,,410,1,26,437,1043
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,787,2,122,149,17,49,9,16,12,36,7,0,0,0,0,4,,,421,0,35,456,952
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,788,2,186,201,10,46,9,10,6,25,5,1,0,0,0,3,,,502,0,17,519,874
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,789,1,81,108,10,26,11,10,3,14,0,0,0,0,0,0,,,263,0,14,277,545
11,GUANAJUATO,1,DOLORES HIDALGO CIN,14,DOLORES HIDALGO CIN,790,3,391,151,16,112,16,113,22,75,25,1,5,0,0,1,,,928,0,58,986,2048
