ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,PRD_PT,MC,PSD,MORENA,ES,PH,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
17,MORELOS,1,AMACUZAC,11,23,60,1558,830,418,39,31,28,77,245,852,,218,2502,35,1039,822,,,,2,8754,260,9016,13141,0.6861
17,MORELOS,2,ATLATLAHUCAN,12,26,2038,228,303,804,,,,,190,547,,813,1357,209,74,1898,623,,,4,9084,306,9394,15489,0.6065
17,MORELOS,3,AXOCHIAPAN,20,44,2763,2767,3445,491,0,0,0,0,825,1951,,218,810,573,27,1130,,,,1,15000,634,15635,24522,0.6376
17,MORELOS,4,AYALA,42,99,1549,9561,4638,9113,0,0,0,0,2687,366,,250,777,1330,610,297,,,,76,31178,1739,32993,58593,0.5631
17,MORELOS,5,COATLAN DEL RIO,11,18,1742,117,1497,77,0,0,0,0,535,1486,,215,9,13,17,8,,,,0,5716,254,5970,8001,0.7462
17,MORELOS,6,CUAUTLA,91,227,4735,11439,2230,1713,129,47,13,82,17119,1365,,10922,918,4316,3213,2436,,,,68,60677,3219,63964,135212,0.4731
17,MORELOS,7,CUERNAVACA,205,510,21270,23527,4289,2116,365,85,28,822,18590,1735,394,6251,39535,11564,4638,3709,,,,363,138918,8828,148109,301945,0.4905
17,MORELOS,8,EMILIANO ZAPATA,21,90,2506,1346,16575,960,0,0,0,0,7908,1012,,534,174,819,690,776,,,,10,33300,1038,34348,57082,0.6017
17,MORELOS,9,HUITZILAC,11,24,1076,255,1548,1797,0,0,0,0,725,1154,,37,173,1408,42,244,,,,2,8459,293,8754,13581,0.6446
17,MORELOS,10,JANTETELCO,8,19,53,32,769,83,0,0,0,0,56,24,,1654,910,1292,1651,1850,,,,1,8374,187,8562,11774,0.7272
17,MORELOS,11,JIUTEPEC,70,248,5136,12122,3571,1170,255,33,9,70,18042,724,,7861,1660,9366,3661,5481,,,,91,69161,3906,73158,155866,0.4694
17,MORELOS,12,JOJUTLA,36,80,898,3221,445,411,0,0,0,0,7336,325,,854,8318,901,554,563,,667,,15,24493,975,25483,45187,0.5639
17,MORELOS,13,JONACATEPEC,11,22,249,157,358,1540,0,0,0,0,212,44,,2577,214,143,724,83,,,1673,5,7974,325,8304,11302,0.7347
17,MORELOS,14,MAZATEPEC,7,14,171,1874,7,22,10,2,0,7,1031,13,,22,5,15,3,2454,,,,0,5636,145,5781,7800,0.7412
17,MORELOS,15,MIACATLAN,14,33,94,4710,58,88,61,12,3,28,3868,4365,,33,21,54,9,27,,,,1,13431,385,13817,19364,0.7135
17,MORELOS,16,OCUITUCO,10,22,1299,2347,31,150,0,0,0,0,1602,845,,11,1388,49,1429,151,,,,2,9302,257,9561,12291,0.7779
17,MORELOS,17,PUENTE DE IXTLA,32,77,553,1616,510,4075,30,55,32,18,896,3744,,3516,851,6297,730,941,,,,7,23864,1068,24939,46539,0.5359
17,MORELOS,18,TEMIXCO,42,134,2300,8708,3444,2444,0,0,0,0,11837,1582,,994,761,2675,881,1137,,,,62,36763,2159,38984,81175,0.4802
17,MORELOS,19,TEPALCINGO,16,34,300,895,3906,62,0,0,0,0,1394,70,,2025,1011,916,26,2372,,,,5,12977,458,13440,19334,0.6951
17,MORELOS,20,TEPOZTLAN,19,47,145,1506,149,113,19,3,2,20,3291,1098,,3776,1695,1189,85,443,,,,6,13534,467,14007,27454,0.5102
17,MORELOS,21,TETECALA,6,12,129,1299,831,28,0,0,0,0,28,454,,1439,90,10,6,7,,,,27,4321,126,4474,5964,0.7502
17,MORELOS,22,TETELA DEL VOLCAN,8,22,40,76,69,2338,0,0,0,0,742,1191,,1086,2273,1699,16,43,,,,2,9573,384,9959,13386,0.7440
17,MORELOS,23,TLALNEPANTLA,4,9,981,543,9,5,0,0,0,0,44,1622,,6,6,14,0,0,,,,0,3230,161,3391,4751,0.7137
17,MORELOS,24,TLALTIZAPAN,27,63,2255,2792,613,177,42,13,5,252,3180,260,,2122,1087,1481,3608,2427,,,,5,20314,890,21209,36369,0.5832
17,MORELOS,25,TLAQUILTENANGO,26,53,559,2364,123,275,,,,,3387,2882,,792,2713,566,432,116,,,,11,14209,575,14795,24301,0.6088
17,MORELOS,26,TLAYACAPAN,9,21,25,2452,36,3361,,,,,2941,27,,32,10,290,12,16,,,,18,9202,356,9576,13206,0.7251
17,MORELOS,27,TOTOLAPAN,7,14,2150,488,19,22,,,,,2213,11,,15,8,208,7,11,,,,0,5152,170,5322,7590,0.7012
17,MORELOS,28,XOCHITEPEC,23,74,1094,10130,563,667,,,,,6298,194,,4639,260,541,530,138,,,,1,25054,848,25903,45802,0.5655
17,MORELOS,29,YAUTEPEC,51,128,2388,5049,904,1004,,,,,9595,634,,4392,7345,3977,610,591,,,,18,36489,1636,38143,72959,0.5228
17,MORELOS,30,YECAPIXTLA,19,56,3787,3403,243,1748,,,,,2779,3672,,2297,536,559,162,133,,,,4,19319,734,20057,33096,0.6060
17,MORELOS,31,ZACATEPEC,26,51,1611,2868,1509,328,,,,,2156,1517,,1631,3522,1019,58,284,,,,1,16503,594,17098,28554,0.5988
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,48,2010,11,24,,,,,46,26,,1330,17,697,1044,30,,,,1,5283,178,5462,6779,0.8057
17,MORELOS,33,TEMOAC,6,17,669,1503,142,989,,,,,759,1141,,44,21,99,849,1453,,,,5,7669,304,7978,10227,0.7801
