SECCION,TIPO,PRI,PAN,PRD,PT,PVEM,Partido Democrata,PSN,PC,PAS,PCDT,PJS,Nulos,NUM_MUN,MUNICIPIO
60,B,139,82,36,30,,,,12,,8,0,22,5,ALTZAYANCA
61,AUX,34,64,10,7,,,,13,,1,1,10,5,ALTZAYANCA
61,B,9,34,20,5,,,,7,,0,0,7,5,ALTZAYANCA
62,B,34,65,20,4,,,,5,,0,0,8,5,ALTZAYANCA
63,B,28,94,16,5,,,,6,,1,0,14,5,ALTZAYANCA
64,B,14,54,5,30,,,,0,,0,1,9,5,ALTZAYANCA
65,B,30,60,5,24,,,,2,,0,0,2,5,ALTZAYANCA
66,B,41,105,24,21,,,,4,,0,2,9,5,ALTZAYANCA
67,B,9,27,47,30,,,,4,,0,3,4,5,ALTZAYANCA
68,B,35,132,17,44,,,,84,,0,0,36,5,ALTZAYANCA
68,C,52,88,25,56,,,,92,,3,0,27,5,ALTZAYANCA
69,B,93,106,54,15,,,,69,,32,4,16,5,ALTZAYANCA
70,B,52,137,28,18,,,,13,,5,0,23,5,ALTZAYANCA
71,B,17,148,111,42,,,,7,,6,1,13,5,ALTZAYANCA
72,B,53,83,31,19,,,,18,,0,1,31,5,ALTZAYANCA
73,B,11,36,11,43,,,,1,,2,1,4,5,ALTZAYANCA
74,B,77,133,50,40,,,,43,,1,1,13,5,ALTZAYANCA
75,B,18,45,56,13,,,,20,,0,1,10,5,ALTZAYANCA
76,B,6,44,47,6,,,,1,,0,0,8,5,ALTZAYANCA
77,B,101,130,25,3,,,,5,,8,0,16,5,ALTZAYANCA
77,C,93,132,19,3,,,,9,,5,0,12,5,ALTZAYANCA
78,B,12,48,48,15,37,128,,5,,8,7,11,6,CALPULALPAN
78,C,18,65,57,14,35,120,,5,,4,6,36,6,CALPULALPAN
78,DC,12,41,43,13,33,100,,2,,6,2,104,6,CALPULALPAN
79,B,10,35,61,7,77,107,,3,,11,5,0,6,CALPULALPAN
79,C,11,35,38,18,69,133,,4,,15,4,13,6,CALPULALPAN
79,DC,27,34,68,16,65,118,,2,,7,3,23,6,CALPULALPAN
80,B,17,36,51,9,87,177,,8,,3,0,22,6,CALPULALPAN
80,C,21,34,74,14,54,167,,2,,8,6,13,6,CALPULALPAN
81,B,13,28,66,13,59,112,,19,,12,3,32,6,CALPULALPAN
81,C,16,29,55,19,67,126,,11,,16,1,19,6,CALPULALPAN
82,B,19,32,26,6,55,93,,6,,5,2,7,6,CALPULALPAN
82,C,18,33,44,7,52,107,,8,,3,2,14,6,CALPULALPAN
83,B,26,65,50,11,37,123,,7,,8,2,10,6,CALPULALPAN
83,C,20,49,60,5,43,124,,8,,14,5,16,6,CALPULALPAN
83,DC,15,58,47,12,34,131,,11,,13,2,19,6,CALPULALPAN
84,B,10,36,48,24,37,73,,6,,8,1,18,6,CALPULALPAN
84,C,8,37,30,18,42,103,,7,,6,1,10,6,CALPULALPAN
85,B,19,46,64,8,50,113,,0,,3,13,29,6,CALPULALPAN
85,C,25,56,49,22,37,123,,3,,2,15,18,6,CALPULALPAN
85,DC,23,48,53,9,37,113,,3,,4,16,14,6,CALPULALPAN
86,B,12,52,67,13,53,129,,8,,6,24,17,6,CALPULALPAN
86,C,10,76,46,12,39,155,,6,,5,20,21,6,CALPULALPAN
87,B,11,30,27,9,39,112,,4,,2,18,0,6,CALPULALPAN
87,C,16,9,23,4,51,126,,3,,2,7,0,6,CALPULALPAN
88,B,39,32,49,6,32,142,,9,,29,2,18,6,CALPULALPAN
88,C,28,26,42,6,39,156,,8,,25,2,27,6,CALPULALPAN
89,B,13,38,35,4,60,164,,39,,4,5,0,6,CALPULALPAN
89,C,30,41,52,8,50,181,,20,,9,2,20,6,CALPULALPAN
90,B,13,19,30,9,40,111,,18,,11,4,20,6,CALPULALPAN
90,C,9,25,47,8,41,130,,14,,5,2,16,6,CALPULALPAN
91,B,3,27,122,11,9,168,,2,,4,5,11,6,CALPULALPAN
92,B,19,8,51,75,109,73,,3,,3,5,22,6,CALPULALPAN
92,C,27,9,51,55,92,70,,9,,2,27,12,6,CALPULALPAN
93,B,15,26,52,26,19,81,,12,,3,18,21,6,CALPULALPAN
93,C,19,26,61,26,21,70,,7,,5,11,1,6,CALPULALPAN
94,B,25,46,67,36,45,206,,4,,4,12,33,6,CALPULALPAN
95,B,5,25,36,6,10,17,,1,,38,1,16,6,CALPULALPAN
96,B,5,11,41,74,45,58,,0,,8,4,0,6,CALPULALPAN
97,B,1,62,134,27,14,77,,3,,3,19,22,6,CALPULALPAN
98,B,34,43,49,4,48,44,,2,,11,10,20,6,CALPULALPAN
98,C,36,68,54,20,27,63,,12,,10,14,20,6,CALPULALPAN
99,B,2,11,25,1,1,2,,0,,0,0,4,6,CALPULALPAN
100,B,1,112,28,49,,,,122,,,,38,7,EL CARMEN TEQUEXQUITLA
100,C,3,146,30,54,,,,113,,,,0,7,EL CARMEN TEQUEXQUITLA
100,DC,3,142,30,61,,,,114,,,,13,7,EL CARMEN TEQUEXQUITLA
101,B,7,150,23,47,,,,92,,,,0,7,EL CARMEN TEQUEXQUITLA
101,C,3,153,16,61,,,,101,,,,22,7,EL CARMEN TEQUEXQUITLA
101,DC,6,135,13,75,,,,76,,,,19,7,EL CARMEN TEQUEXQUITLA
102,B,3,193,17,34,,,,102,,,,16,7,EL CARMEN TEQUEXQUITLA
102,C,2,150,28,29,,,,123,,,,24,7,EL CARMEN TEQUEXQUITLA
102,DC,4,159,25,26,,,,120,,,,17,7,EL CARMEN TEQUEXQUITLA
103,B,4,61,15,24,,,,129,,,,24,7,EL CARMEN TEQUEXQUITLA
103,C,2,72,22,20,,,,102,,,,4,7,EL CARMEN TEQUEXQUITLA
104,B,8,87,41,53,,,,150,,,,20,7,EL CARMEN TEQUEXQUITLA
104,C,5,90,24,66,,,,124,,,,20,7,EL CARMEN TEQUEXQUITLA
105,B,2,45,49,30,,,,43,,,,1,7,EL CARMEN TEQUEXQUITLA
106,B,0,33,12,31,,,,14,,,,6,7,EL CARMEN TEQUEXQUITLA
107,B,12,149,169,54,,,,,,5,0,2,8,CUAPIAXTLA
107,C,15,151,164,49,,,,,,4,0,7,8,CUAPIAXTLA
107,DC,10,152,149,49,,,,,,3,1,0,8,CUAPIAXTLA
108,B,10,147,89,104,,,,,,4,0,0,8,CUAPIAXTLA
108,C,9,137,100,132,,,,,,9,0,18,8,CUAPIAXTLA
109,B,6,181,166,116,,,,,,10,0,20,8,CUAPIAXTLA
109,C,12,163,141,127,,,,,,16,0,25,8,CUAPIAXTLA
110,B,6,140,70,70,,,,,,1,0,20,8,CUAPIAXTLA
110,C,8,119,75,73,,,,,,3,0,25,8,CUAPIAXTLA
111,B,2,62,57,12,,,,,,0,0,2,8,CUAPIAXTLA
112,B,2,51,7,17,,,,,,1,0,0,8,CUAPIAXTLA
113,B,4,57,53,31,,,,,,1,0,7,8,CUAPIAXTLA
114,B,3,158,84,90,,,,,,1,1,0,8,CUAPIAXTLA
115,B,2,67,48,60,,,,,,0,0,0,8,CUAPIAXTLA
116,B,1,62,71,61,,,,,,0,0,7,8,CUAPIAXTLA
117,B,179,56,72,,,,,,,2,15,9,9,CUAXOMULCO
117,C,185,80,47,,,,,,,2,19,7,9,CUAXOMULCO
118,B,103,190,180,,,,,,,0,59,8,9,CUAXOMULCO
119,B,19,87,136,,,,,,,0,5,6,9,CUAXOMULCO
120,B,5,44,47,,,,,,,1,26,2,9,CUAXOMULCO
121,B,214,159,66,,,,,,,1,73,27,9,CUAXOMULCO
122,B,64,77,44,167,,,,,,2,1,15,10,CHIAUTEMPAN
122,C,83,67,46,149,,,,,,7,1,10,10,CHIAUTEMPAN
123,B,60,70,49,143,,,,,,6,2,9,10,CHIAUTEMPAN
123,C,73,56,31,175,,,,,,6,1,2,10,CHIAUTEMPAN
124,B,116,60,34,56,,,,,,7,0,17,10,CHIAUTEMPAN
124,C,110,64,49,37,,,,,,13,2,29,10,CHIAUTEMPAN
125,B,88,108,39,57,,,,,,7,3,19,10,CHIAUTEMPAN
125,C,123,87,54,51,,,,,,15,0,24,10,CHIAUTEMPAN
126,B,50,78,89,106,,,,,,16,1,7,10,CHIAUTEMPAN
126,C,36,109,117,91,,,,,,21,2,14,10,CHIAUTEMPAN
127,B,56,70,65,124,,,,,,3,2,11,10,CHIAUTEMPAN
127,C,78,55,69,136,,,,,,9,1,8,10,CHIAUTEMPAN
127,DC,44,45,63,128,,,,,,14,2,9,10,CHIAUTEMPAN
128,B,50,6,52,80,,,,,,6,0,14,10,CHIAUTEMPAN
128,C,67,80,36,89,,,,,,2,0,8,10,CHIAUTEMPAN
129,B,63,73,31,113,,,,,,2,0,11,10,CHIAUTEMPAN
129,C,50,68,38,152,,,,,,7,3,10,10,CHIAUTEMPAN
130,B,80,53,27,109,,,,,,6,0,2,10,CHIAUTEMPAN
130,C,86,43,35,123,,,,,,6,2,5,10,CHIAUTEMPAN
131,B,75,121,61,107,,,,,,7,0,9,10,CHIAUTEMPAN
131,C,44,157,71,102,,,,,,10,0,7,10,CHIAUTEMPAN
132,B,82,75,46,108,,,,,,8,1,12,10,CHIAUTEMPAN
132,C,56,95,50,79,,,,,,7,0,12,10,CHIAUTEMPAN
133,B,81,93,38,82,,,,,,11,1,10,10,CHIAUTEMPAN
133,C,66,85,28,93,,,,,,5,2,11,10,CHIAUTEMPAN
134,B,39,75,44,30,,,,,,2,0,8,10,CHIAUTEMPAN
134,C,53,77,46,17,,,,,,5,2,12,10,CHIAUTEMPAN
135,B,46,94,45,23,,,,,,4,0,8,10,CHIAUTEMPAN
135,C,42,90,54,26,,,,,,5,0,6,10,CHIAUTEMPAN
136,B,63,74,33,49,,,,,,1,0,10,10,CHIAUTEMPAN
137,B,64,105,51,73,,,,,,5,3,16,10,CHIAUTEMPAN
137,C,53,101,50,47,,,,,,20,4,19,10,CHIAUTEMPAN
137,DC,40,97,49,67,,,,,,15,4,16,10,CHIAUTEMPAN
138,B,90,95,56,88,,,,,,15,1,10,10,CHIAUTEMPAN
138,C,98,81,34,77,,,,,,23,0,18,10,CHIAUTEMPAN
139,B,86,47,54,111,,,,,,19,1,10,10,CHIAUTEMPAN
139,C,90,54,39,108,,,,,,34,3,11,10,CHIAUTEMPAN
139,DC,67,50,43,134,,,,,,26,0,10,10,CHIAUTEMPAN
139,TC,90,54,39,108,,,,,,34,3,11,10,CHIAUTEMPAN
140,B,58,50,37,104,,,,,,8,1,13,10,CHIAUTEMPAN
140,C,67,47,41,116,,,,,,11,1,5,10,CHIAUTEMPAN
141,B,79,80,59,83,,,,,,31,2,28,10,CHIAUTEMPAN
141,C,63,79,53,114,,,,,,33,2,36,10,CHIAUTEMPAN
141,DC,64,72,53,118,,,,,,17,7,28,10,CHIAUTEMPAN
141,TC,51,110,70,117,,,,,,31,2,3,10,CHIAUTEMPAN
142,B,53,55,48,122,,,,,,21,2,14,10,CHIAUTEMPAN
142,C,54,48,62,120,,,,,,17,2,14,10,CHIAUTEMPAN
143,B,56,52,60,124,,,,,,26,2,22,10,CHIAUTEMPAN
143,C,68,66,56,107,,,,,,18,1,20,10,CHIAUTEMPAN
144,B,91,131,67,95,,,,,,9,0,16,10,CHIAUTEMPAN
144,C,84,140,64,92,,,,,,21,2,20,10,CHIAUTEMPAN
145,B,48,81,132,25,,,,,,27,1,24,10,CHIAUTEMPAN
145,C,27,75,129,19,,,,,,63,0,17,10,CHIAUTEMPAN
146,B,104,121,80,24,,,,,,11,8,19,10,CHIAUTEMPAN
146,C,102,90,90,27,,,,,,17,3,15,10,CHIAUTEMPAN
147,B,50,49,31,67,,,,,,20,2,8,10,CHIAUTEMPAN
147,C,30,60,44,51,,,,,,26,0,6,10,CHIAUTEMPAN
148,B,26,66,27,51,,,,,,10,0,5,10,CHIAUTEMPAN
148,C,28,94,16,42,,,,,,7,1,11,10,CHIAUTEMPAN
149,B,77,79,42,53,,,,,,2,10,4,10,CHIAUTEMPAN
149,C,77,79,42,53,,,,,,2,10,3,10,CHIAUTEMPAN
149,DC,60,67,41,59,,,,,,3,20,14,10,CHIAUTEMPAN
150,AUX,63,140,17,12,,,,,,2,0,1,10,CHIAUTEMPAN
150,B,19,7,87,17,30,,,3,,2,,0,52,LA MAGDALENA TLALTELULCO
151,B,146,104,62,45,12,,,7,,10,,9,52,LA MAGDALENA TLALTELULCO
151,C,99,92,84,44,41,,,7,,24,,10,52,LA MAGDALENA TLALTELULCO
151,DC,135,70,88,56,32,,,6,,8,,11,52,LA MAGDALENA TLALTELULCO
151,TC,138,63,87,58,26,,,5,,26,,14,52,LA MAGDALENA TLALTELULCO
