CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,B,12,106,67,3,7,19,29,17,6,6,5,3,3,0,283,17,300,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C01,6,88,51,12,7,26,31,20,11,2,8,3,4,1,269,19,289,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C02,10,71,62,7,5,28,33,9,9,3,7,3,4,0,251,24,275,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C03,7,76,63,8,14,31,21,24,10,5,4,3,0,2,266,21,289,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C04,17,89,63,5,9,17,35,16,6,6,7,1,5,0,276,21,297,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C05,3,82,51,11,8,13,22,11,13,1,2,6,4,0,227,22,249,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C06,8,91,54,9,8,26,20,14,11,2,10,4,4,0,261,18,279,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C07,9,82,51,5,5,18,28,14,9,4,3,5,3,0,236,25,261,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C08,9,94,65,4,12,23,21,18,7,3,5,4,3,0,268,8,276,685,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C09,4,96,55,3,8,30,23,11,6,2,8,3,1,0,250,21,271,685,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,B,3,113,61,5,5,39,5,8,9,7,4,3,1,0,263,25,288,665,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,C01,8,102,74,6,11,41,7,8,4,3,7,5,3,0,279,14,293,665,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,C02,8,96,65,6,7,33,4,19,6,6,4,5,2,0,261,19,280,665,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,B,4,102,65,19,16,39,13,24,25,5,10,2,5,0,329,18,347,729,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,C01,7,141,80,12,10,21,7,18,4,6,7,5,5,0,323,28,351,728,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,B,1,105,56,5,4,12,11,10,37,7,10,3,5,0,266,8,274,591,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,C01,3,106,52,16,3,12,4,11,34,3,6,4,3,0,257,20,277,591,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,B,9,89,71,6,11,13,5,6,13,4,9,5,2,0,243,13,256,613,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C01,11,90,56,8,6,14,2,12,22,3,5,1,2,0,232,18,250,613,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C02,5,97,49,12,2,9,4,14,10,3,9,3,4,0,221,21,242,613,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C03,2,93,51,4,8,11,7,17,18,6,5,2,7,1,231,21,253,612,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,B,10,116,81,10,12,31,15,22,17,2,12,2,4,0,334,27,361,725,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C01,7,114,78,10,5,31,13,21,12,3,12,6,3,2,315,24,341,725,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C02,8,117,59,9,4,30,14,19,17,3,9,6,12,0,307,21,328,725,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,B,5,118,94,1,10,25,17,23,11,11,9,4,5,0,333,22,355,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C01,3,121,72,5,11,19,12,30,15,3,9,3,3,0,306,21,327,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C02,6,94,88,9,9,25,12,14,10,4,11,3,6,0,291,29,320,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C03,11,102,58,3,12,18,6,27,10,10,10,2,5,0,274,21,295,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,B,7,94,66,6,9,28,9,21,9,5,3,5,5,0,267,22,289,717,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C01,5,97,85,5,7,27,9,17,10,3,3,2,3,0,273,24,297,717,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C02,6,104,72,6,6,20,9,14,14,7,5,6,2,0,271,20,291,717,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C03,7,87,90,6,9,16,15,26,19,1,6,2,3,0,287,23,310,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C04,5,115,78,7,9,22,7,13,12,2,8,2,1,0,281,12,293,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C05,11,109,77,7,7,18,8,17,14,6,3,5,2,1,284,17,302,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C06,4,101,67,4,6,9,5,16,17,2,6,3,7,0,247,20,267,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C07,6,97,86,7,4,20,9,21,14,4,5,4,5,1,282,25,308,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C08,8,88,89,6,7,22,10,13,15,8,5,4,4,0,279,19,298,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C09,2,113,64,8,14,26,8,16,19,4,5,5,7,0,291,28,319,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C10,5,85,85,6,7,27,5,22,10,2,9,6,5,0,274,16,290,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C11,3,115,68,0,0,24,8,21,15,3,5,0,0,0,262,15,277,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C12,3,86,72,2,14,24,7,16,18,5,4,2,7,0,260,16,276,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C13,5,97,59,12,2,9,4,14,10,3,9,3,4,0,231,21,252,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,B,5,105,54,4,6,24,10,14,11,4,9,5,2,0,253,22,275,606,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,C01,14,132,42,11,6,17,10,17,4,9,11,4,0,0,277,26,303,605,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,C02,6,101,56,12,8,24,9,23,10,3,5,1,4,0,262,16,278,605,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,B,10,0,0,0,0,7,15,26,8,6,6,134,85,0,297,28,325,563,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,C01,6,128,68,2,4,18,10,35,18,5,12,0,3,0,309,31,340,562,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,SMR01,1,19,18,1,0,1,1,0,2,1,1,1,0,0,46,1,47,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,SRP01,10,220,108,12,10,45,15,33,14,9,8,9,3,0,496,31,527,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,B,15,113,58,8,13,14,9,33,6,5,11,3,2,0,290,21,311,633,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,C01,6,115,59,10,7,18,8,26,12,11,7,2,4,2,285,14,301,633,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,C02,9,93,67,6,8,22,7,33,12,10,14,5,4,0,290,20,310,632,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,SMR01,21,185,111,11,17,31,15,41,13,4,18,4,11,0,482,28,510,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,SRP01,21,185,111,11,17,31,15,41,13,4,18,4,11,0,482,28,510,0,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,B,3,129,58,3,11,13,8,24,11,5,6,3,7,0,281,31,312,690,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,C01,6,130,72,7,12,17,12,31,19,11,6,0,0,0,323,24,347,690,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,C02,7,112,48,9,9,15,7,25,12,5,8,3,5,0,265,15,280,689,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,B,4,118,94,0,0,20,10,28,25,12,0,0,0,0,311,32,343,697,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,C01,7,117,76,9,5,16,5,16,21,6,19,2,1,0,300,26,326,696,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,B,10,87,85,3,2,10,5,22,5,2,5,2,0,3,238,24,265,501,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,C01,12,96,43,7,3,16,9,17,9,7,9,0,0,1,228,20,249,501,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,C02,8,89,49,5,10,19,5,19,7,7,16,1,2,0,237,16,253,501,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,B,7,103,46,1,10,12,7,8,21,3,7,1,3,0,229,12,241,615,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,C01,7,120,79,7,2,6,6,6,5,0,5,0,0,0,243,10,253,614,Acta Casilla,,,
