ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,144,925,0,0,0,0,2296,1375,2340,1743,601,986,16741,10180,25,37220,2747,39992,83128,0.4518
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,156,1006,0,0,0,0,2209,1032,3083,0,987,1228,18594,11842,74,39992,3114,43180,91879,0.465
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,183,5139,0,0,0,0,4591,1450,2820,532,1204,901,17284,10969,90,44924,3289,48303,96657,0.4673
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,176,4218,0,0,0,0,3734,1369,2435,742,1853,731,15476,12024,49,42613,2903,45565,95120,0.4629
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,154,2371,0,0,0,0,3411,641,1686,303,519,513,12259,13088,40,34791,2247,37078,92768,0.3996
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,141,2527,0,0,0,0,2829,983,1930,339,557,699,15922,10616,42,36409,2376,38827,86249,0.4464
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,148,2686,0,0,7321,0,2859,919,1515,508,1347,698,20154,0,42,38009,2402,40453,91593,0.4377
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,156,1924,0,0,0,0,6185,719,1298,2998,289,435,22229,7569,22,43649,2394,46065,81115,0.5579
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,147,2011,0,0,0,0,3002,1450,1722,546,644,565,14859,14132,22,38938,3104,42064,83615,0.4975
12,GUERRERO,10,TECPAN DE GALEANA,119,184,341,0,16646,355,0,3808,1219,2820,360,0,717,21170,0,20,47439,2266,49725,85282,0.5781
12,GUERRERO,11,ZIHUATANEJO DE AZUETA,108,181,820,0,18708,935,0,2508,841,1919,681,517,322,15762,0,44,43014,1925,44983,85811,0.5236
12,GUERRERO,12,ZIHUATANEJO DE AZUETA,101,182,686,0,19118,609,0,3148,1642,1912,882,679,380,16499,0,17,45555,1749,47321,84840,0.5511
12,GUERRERO,13,SAN MARCOS,110,172,6156,0,0,0,0,2786,1256,1778,1316,157,524,25966,12805,31,52745,4054,56830,81432,0.6957
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,158,318,0,21401,1027,0,2340,810,678,683,0,2126,19177,0,53,48565,2689,51307,74737,0.6813
12,GUERRERO,15,SAN LUIS ACATLAN,105,168,2440,0,14875,1618,0,8817,1165,1711,982,384,640,16991,0,20,49625,3045,52690,75802,0.6924
12,GUERRERO,16,OMETEPEC,67,139,8678,0,0,0,0,3542,569,1480,808,652,269,16080,16324,28,48407,2330,50765,70916,0.7111
12,GUERRERO,17,COYUCA DE CATALAN,160,209,658,0,23126,757,0,4480,245,1120,159,77,60,25898,0,5,56580,1727,58312,89337,0.6516
12,GUERRERO,18,PUNGARABATO,150,225,556,0,28444,412,0,542,694,3200,116,0,157,25780,0,6,59902,1605,61513,97275,0.6279
12,GUERRERO,19,EDUARDO NERI,96,151,2591,0,16731,542,0,1807,461,1007,472,0,495,18967,0,10,43074,2026,45110,70045,0.6409
12,GUERRERO,20,TELOLOAPAN,184,224,508,0,0,0,0,13071,3490,1404,215,444,201,12020,16202,76,47556,2337,49969,79678,0.6251
12,GUERRERO,21,TAXCO DE ALARCON,126,206,15127,0,0,0,0,1447,2208,1265,1083,0,5768,21509,6706,36,55116,2783,57935,96929,0.5953
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,71,167,986,0,7763,1819,0,5769,1119,2353,491,2116,474,16736,0,40,39627,2466,42133,93531,0.4438
12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,112,183,4829,0,7921,7442,0,7088,1051,1825,1238,470,337,18324,0,21,50526,2549,53096,90270,0.5875
12,GUERRERO,24,TIXTLA DE GUERRERO,118,179,867,0,15045,565,0,8348,1339,935,435,214,1493,14217,0,12,43458,3456,46926,84857,0.553
12,GUERRERO,25,CHILAPA DE ALVAREZ,84,166,724,0,0,0,0,1718,1583,1340,664,0,475,20166,17004,36,43678,3061,46775,79940,0.5806
12,GUERRERO,26,ATLIXTAC,117,189,8675,0,19378,1627,0,4622,2323,1865,1550,199,180,17696,0,19,58115,3099,61233,81986,0.7465
12,GUERRERO,27,TLAPA DE COMONFORT,94,192,0,0,16727,7727,0,1327,1452,2333,607,427,1237,20543,0,18,52380,2849,55247,97902,0.5607
12,GUERRERO,28,TLAPA DE COMONFORT,102,177,256,13300,14929,10320,1203,6493,289,978,137,321,366,0,0,8,48592,3309,51909,78808,0.6586
