CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,PRI,PT,PVEM,MC,CPP,PSI,MORENA,PES,PRI_CPP,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,COMPUTADA,MECANISMOS_TRASLADO,FECHA_HORA
'210821B0100',210821B010040,21,PUEBLA,98,MAZAPILTEPEC DE JUAREZ,821,1,B,0,Rural,3,61,1,17,230,50,0,54,6,11,1,15,446,629,Cotejo (Levantada en Consejo Distrital),Si,I,01:02.0
'210822B0100',210822B010041,21,PUEBLA,98,MAZAPILTEPEC DE JUAREZ,822,1,B,0,Rural,3,100,1,10,79,56,1,31,13,5,0,3,299,437,Cotejo (Levantada en Consejo Distrital),Si,I,08:59.4
'210822C0100',210822C010042,21,PUEBLA,98,MAZAPILTEPEC DE JUAREZ,822,1,C,0,Rural,3,95,2,6,65,81,4,21,15,12,1,6,308,436,Cotejo (Levantada en Casilla),Si,I,22:09.4
'210822E0100',210822E010043,21,PUEBLA,98,MAZAPILTEPEC DE JUAREZ,822,1,E,0,Rural,3,199,2,3,171,30,3,84,21,16,0,15,544,652,Cotejo (Levantada en Casilla),Si,I,22:55.0
