CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,1,B,1,0,B,46,88,2,6,70,2,22,79,0,0,1,,0,0,0,0,0,0,0,0,,316,1,8,325,482,Grupo de recuento,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0001BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,2,B,1,0,B,39,72,2,0,61,4,12,89,3,0,0,,2,2,0,0,1,0,0,0,,287,0,6,293,479,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0002BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,3,B,1,0,B,29,85,5,3,74,2,14,63,0,1,3,,0,0,0,0,0,1,0,1,,281,0,11,292,456,Grupo de recuento,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0003BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,3,C,1,0,C01,40,74,2,1,52,2,22,61,2,2,0,,1,0,1,0,0,1,0,0,,261,0,13,274,455,Grupo de recuento,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0003CON01.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,4,B,1,0,B,34,93,2,1,51,8,26,75,3,3,1,,0,0,0,0,0,0,0,0,,297,0,12,309,438,Grupo de recuento,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0004BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,5,B,1,0,B,32,56,9,1,47,2,2,34,1,0,1,,0,0,0,0,0,0,0,0,,185,0,8,193,319,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0005BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,6,B,1,0,B,72,111,14,2,70,5,7,90,0,0,0,,2,0,1,0,1,0,0,0,,375,0,9,384,663,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0006BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,7,B,1,0,B,10,112,2,2,15,3,1,18,0,1,1,,0,0,0,0,0,0,0,0,,165,0,7,172,313,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0007BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,8,B,1,0,B,34,169,2,6,85,3,6,54,2,2,0,,0,0,0,0,1,0,0,1,,365,0,13,378,587,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0008BAS00.jpg
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,9,B,1,0,B,32,64,0,2,28,0,1,16,1,1,1,,1,0,0,0,0,0,0,0,,147,0,3,150,247,Acta casilla,,,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D0009BAS00.jpg
