ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,62,134,6021,7386,1364,2225,4022,870,906,20599,852,1378,807,600,47030,59,1673,48762,74371,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D01RP.jpg
32,ZACATECAS,2,ZACATECAS,79,135,8781,8339,1163,1746,4876,869,1896,15249,743,1372,614,718,46366,20,1835,48221,71666,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D02RP.jpg
32,ZACATECAS,3,GUADALUPE,59,117,4124,9884,721,2246,1331,847,1059,17859,748,2012,709,371,41911,29,1507,43447,66104,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D03RP.jpg
32,ZACATECAS,4,GUADALUPE,55,122,3201,11262,643,3142,1064,608,1731,17872,749,1397,427,313,42409,23,1259,43691,68242,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D04RP.jpg
32,ZACATECAS,5,FRESNILLO,70,119,3369,7336,917,4539,928,474,988,16178,741,638,358,290,36756,48,1332,38136,61894,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D05RP.jpg
32,ZACATECAS,6,FRESNILLO,80,127,4278,5881,742,3260,1220,464,763,16358,843,1167,216,401,35593,23,1050,36666,66283,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D06RP.jpg
32,ZACATECAS,7,FRESNILLO,128,161,3307,7075,4397,2824,7910,602,699,11412,584,465,213,267,39755,15,1552,41322,66448,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D07RP.jpg
32,ZACATECAS,8,OJO CALIENTE,74,116,2482,13934,5243,4812,2305,436,1308,6191,784,323,113,129,38060,16,1868,39944,58193,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D08RP.jpg
32,ZACATECAS,9,LORETO,63,110,1540,10079,1115,8365,2254,3178,500,8647,587,424,883,125,37697,15,1739,39451,57602,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D09RP.jpg
32,ZACATECAS,10,JEREZ,139,165,7881,10515,533,1134,5555,477,3327,7409,354,311,470,185,38151,14,1732,39897,66601,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D10RP.jpg
32,ZACATECAS,11,VILLANUEVA,104,136,3326,10800,6592,1987,5573,1218,963,7106,874,240,79,444,39202,9,2118,41329,60674,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D11RP.jpg
32,ZACATECAS,12,VILLA DE COS,145,180,1380,14877,1133,2702,2816,382,13721,8673,334,26,172,189,46405,24,2117,48546,65938,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D12RP.jpg
32,ZACATECAS,13,JALPA,124,157,12000,8668,1704,3882,1318,1950,1164,6169,863,215,589,93,38615,7,2069,40691,66964,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D13RP.jpg
32,ZACATECAS,14,TLALTENANGO,150,178,13558,10956,2336,1088,2971,544,839,8758,478,498,60,4,42090,9,1648,43747,67776,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D14RP.jpg
32,ZACATECAS,15,PINOS,119,144,2326,19457,5410,1247,943,573,432,9756,377,129,104,1351,42105,26,1676,43807,62937,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D15RP.jpg
32,ZACATECAS,16,RIO GRANDE,88,126,4212,10505,6901,1797,2343,596,1225,7017,466,417,435,149,36063,7,1782,37852,61223,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D16RP.jpg
32,ZACATECAS,17,SOMBRERETE,120,148,5638,9862,3259,1212,1431,658,622,7089,417,3351,82,98,33719,5,1441,35165,58489,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D17RP.jpg
32,ZACATECAS,18,JUAN ALDAMA,98,134,5489,12774,737,3724,834,340,580,11207,423,746,220,399,37473,10,1504,38987,61054,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D18RP.jpg
