uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
13001,1996,PRI,PROFR. ANGEL ISMAEL AVILES ARANDA
13001,1999,PRI,LIC. ANDREA ERICA OLVERA
13001,2002,PAN,C. LUIS ORTIZ TRAPALA
13001,2005,PAN,C. FERNANDO MORALES ZEFERINO
13001,2008,PAN,C. ORLANDO RUBEN MUÑOZ MEDINA
13001,2011,PRI,C. GENARO ANTONIO GONZALEZ GUARNEROS
13001,NA,NA,C. ARNULFO ANAYA VÁZQUEZ
13002,1996,PRI,C. OSCAR DAMIAN SOSA CASTELAN
13002,1999,PRI,LIC. EDUARDO LICONA SUAREZ
13002,2002,PAN,C. MARCO ANTONIO ISLAS MANZANO
13002,2005,PRI,C. MIGUEL ANGEL DE LA FUENTE LOPEZ
13002,2008,PRI,C. JULIAN PEREA CASTELAN
13002,2011,PAN,C. ERICK ARNULFO SOSA CAMPOS
13002,NA,NA,C. ALFONSO DE LA FUENTE GÓMEZ
13003,1996,PRI,LIC. DANIEL ALFREDO MORENO QUIJANO
13003,1999,PRI,LIC. HEBER SANCHEZ SANTILLAN
13003,2002,PRD,C. TEODULO QUINTIN PEREZ PORTILLO
13003,2005,PRI,C. LEONARDO RAMIREZ ALVAREZ
13003,2008,MXH,C. JAIME GALINDO UGALDE
13003,2011,PRI,C. GREGORIO HERNANDEZ SERRANO
13003,NA,NA,C. FELIPE VEGA BOCANEGRA
13004,1996,PRI,PROFRA. MARIA ENRIQUETA ORTIZ RAMIREZ
13004,1999,PRI,ING. IGNACIO TREJO RAMIREZ
13004,2002,PRI,C. IGNACIO RAMIREZ JARILLO
13004,2005,PAN,C. PEDRO CALVA ROJAS
13004,2008,PAN,C. FRANCISCO MENDEZ GARCIA
13004,2011,PAN,C. ADAN SOLIS MORENO
13004,NA,NA,C. IMELDO PÉREZ JARDINES
13005,1996,PRI,LIC. JORGE EVERARDO URIBE MORALES
13005,1999,PRD,PROFR. FAUSTINO CERON ZARATE
13005,2002,PRI,C. MARCELA COPCA ROJAS
13005,2005,PRD,C. ABEL GUERRERO GARCIA
13005,2008,MXH,C. DANIEL CERON ROMERO
13005,2011,PT,C. MARIO PACHECO CERON
13005,NA,NA,C. JUAN MENDOZA LÓPEZ
13006,1996,PRI,C. ELOY MACOTELA JIMENEZ BENITEZ
13006,1999,PRI,LIC. FLORENTINO ESTRELLA BARRERA
13006,2002,PRD,C. REGULO ROMULO RAMIREZ FUENTES
13006,2005,PRI,C. CARLOS ALBERTO ANAYA DE LA PEÑA
13006,2008,PRI,C. CIRILO CANUTO CHAVEZ
13006,2011,PRI,C. OSCAR ANGELES GARCIA
13006,NA,NA,C. ALBERTO CADENA FALCÓN
13007,1996,PRI,C. RAFAEL OLVERA QUINTOS
13007,1999,PRI,C. HORACIO RAMIREZ CURIEL
13007,2002,PRI,C. JESUS FELIPE ALVARADO ALVAREZ
13007,2005,PAN,C. GABRIEL HERNANDEZ FERNANDEZ
13007,2008,MXH,C. ADAN RAMIREZ CURIEL
13007,2011,PRD,C. GERARDO LOPEZ RAMIREZ
13007,NA,NA,C. RAFAEL RAMÍREZ VARGAS
13008,1996,PT,DR. ALONSO SOTO LLAGUNO
13008,1999,PRI,LIC. GUADALUPE MUÑOZ ROMERO
13008,2002,PT,C. ALONSO SOTO LLAGUNO
13008,2005,PRI,C. RAFAEL GARNICA ALONSO
13008,2008,MXH,C. JOSE JULIAN MADRID VIVEROS
13008,2011,PRI,C. JOSE FERNANDO HERNANDEZ DURAN
13008,NA,NA,C. ANGEL MARTÍNEZ OLVERA
13009,1996,PRI,LIC. ANTONIO SERRANO MOEDANO
13009,1999,PRI,LIC. ADELFA ZUÑIGA FUENTES
13009,2002,PRI,C. ARTURO HERNANDEZ OROPEZA
13009,2005,PRI,C. MOISES SERRANO PEREZ
13009,2008,MXH,C. ADOLFO ZUÑIGA FUENTES
