uniqueid,year,incumbent_party_Horacio
13001,1996,PRI
13001,1999,PRI
13001,2002,PAN
13001,2005,PAN
13001,2008,PAN
13001,2011,PRI
13001,2016,NA
13002,1996,PRI
13002,1999,PRI
13002,2002,PAN
13002,2005,PRI
13002,2008,PRI
13002,2011,PAN_PRD
13002,2016,NA
13003,1996,PRI
13003,1999,PRI
13003,2002,PRD
13003,2005,PRI
13003,2008,PRI_PANAL
13003,2011,PRI
13003,2016,NA
13004,1996,PRI
13004,1999,PRI
13004,2002,PRI
13004,2005,PAN
13004,2008,PAN
13004,2011,PAN
13004,2016,NA
13005,1996,PRI
13005,1999,PRD
13005,2002,PRI
13005,2005,PRD
13005,2008,PRI_PANAL
13005,2011,PT
13005,2016,NA
13006,1996,PRI
13006,1999,PRI
13006,2002,PRD
13006,2005,PRI
13006,2008,PRI
13006,2011,PRI
13006,2016,NA
13007,1996,PRI
13007,1999,PRI
13007,2002,PRI
13007,2005,PAN
13007,2008,PRI_PANAL
13007,2011,PRD
13007,2016,NA
13008,1996,PT
13008,1999,PRI
13008,2002,PT
13008,2005,PRI
13008,2008,PRI_PANAL
13008,2011,PRI
13008,2016,NA
13009,1996,PRI
13009,1999,PRI
13009,2002,PRI
13009,2005,PRI
13009,2008,PRI_PANAL
13009,2011,PRI
13009,2016,NA
13010,1996,PRI
13010,1999,PRI
13010,2002,PAN
13010,2005,PRI
13010,2008,PRI_PANAL
13010,2011,PRI_PVEM
13010,2016,NA
13011,1996,PRI
13011,1999,PRD
13011,2002,PRI
13011,2005,PRI
13011,2008,PRI
13011,2011,PRI_PVEM
13011,2016,NA
13012,1996,PRI
13012,1999,PAN
13012,2002,PAN
13012,2005,PAN
13012,2008,PRI
13012,2011,PANAL
13012,2016,NA
13013,1996,PRD
13013,1999,PRI
13013,2002,PAN
13013,2005,PRI
13013,2008,PVEM
13013,2011,PAN_PRD
13013,2016,NA
13014,1996,PRI
13014,1999,PRI
13014,2002,PAN
13014,2005,PAN
13014,2008,MC
13014,2011,PRI_PVEM
13014,2016,NA
13015,1996,PRI
13015,1999,PRI
13015,2002,PRI
13015,2005,PRD
13015,2008,PRI_PANAL
13015,2011,PRI_PVEM
13015,2016,NA
13016,1996,PRI
13016,1999,PRI
13016,2002,PRI
13016,2005,PAN
13016,2008,PRI
13016,2011,PANAL
13016,2016,NA
13017,1996,PRI
13017,1999,PRI
13017,2002,PRI
13017,2005,PRI
13017,2008,PVEM
13017,2011,PRI
13017,2016,NA
13018,1996,PRI
13018,1999,PRI
13018,2002,PRI
13018,2005,PRI
13018,2008,PRD
13018,2011,PRI_PVEM
13018,2016,NA
13019,1996,PRI
13019,2002,PRD
13019,2005,PRI
13019,2008,PRD
13019,2011,PRI
13019,2016,NA
13020,1996,PRI
13020,1999,PRD
13020,2002,PRD
13020,2005,PRD
13020,2008,PT
13020,2011,PT
13020,2016,NA
13021,1996,PRI
13021,1999,PRI
13021,2002,PRI
13021,2005,PVEM
13021,2011,PRI
13021,2016,NA
13022,1996,PRI
13022,1999,PRI
13022,2002,PRI
13022,2005,PT
13022,2008,PRI_PANAL
13022,2011,PRI
13022,2016,NA
13023,1996,PRD
13023,1999,PRD
13023,2002,PRI
