ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ZIMAPAN,192,248,11653,23697,20878,2615,583,2441,2263,438,96,89,59,24,64812,2476,67312,108749,0.6337
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,171,244,10083,34558,17043,2611,3012,6403,3438,156,86,129,21,83,77540,5241,82864,114454,0.731
13,HIDALGO,3,SAN FELIPE ORIZATLAN,104,194,18892,27959,10187,686,942,3903,3778,73,38,101,26,79,66585,6480,73144,101246,0.7586
13,HIDALGO,4,HUEJUTLA DE REYES,91,195,14338,27949,9175,1268,2469,4329,3535,257,89,175,49,186,63633,6941,70760,108880,0.6855
13,HIDALGO,5,IXMIQUILPAN,134,226,24870,24401,6827,1180,675,3665,4743,150,75,147,28,45,66761,2245,69051,113918,0.6316
13,HIDALGO,6,HUICHAPAN,113,215,26804,24260,4621,7626,805,2753,5792,172,127,46,30,107,73036,2567,75710,122028,0.6469
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,86,193,14336,21615,13378,2798,3272,3702,6005,185,111,134,34,70,65570,2216,67856,112181,0.6274
13,HIDALGO,8,ACTOPAN,119,211,16703,25907,10706,964,1406,2689,4314,772,353,380,79,120,64273,2536,66929,115180,0.6236
13,HIDALGO,9,METEPEC,121,210,13899,22125,11438,4321,812,5926,3111,654,119,325,60,67,62790,2629,65486,103913,0.7034
13,HIDALGO,10,APAN,91,207,18604,23381,6512,2575,2969,3266,5594,558,380,404,93,113,64336,2561,67010,119955,0.5991
13,HIDALGO,11,TULANCINGO DE BRAVO,54,190,20123,17963,3609,824,1396,1970,4398,230,117,65,16,181,50711,2832,53724,118375,0.4909
13,HIDALGO,12,PACHUCA DE SOTO,96,193,21240,14776,6553,487,1283,1210,4133,464,263,259,46,117,50714,1734,52565,110204,0.5909
13,HIDALGO,13,PACHUCA DE SOTO,33,160,20275,12194,5820,456,1188,1125,4528,258,71,29,18,151,45962,1500,47613,105777,0.5009
13,HIDALGO,14,TULA DE ALLENDE,74,190,14247,14086,10393,705,1490,1676,7620,199,27,24,11,76,50478,1671,52225,114386,0.4944
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,191,15702,14625,9565,1220,2431,4667,8329,149,54,59,15,101,56816,1939,58856,113310,0.5683
13,HIDALGO,16,TIZAYUCA,63,190,10895,19244,5687,1113,988,3453,4122,362,63,60,6,92,45993,1443,47528,112056,0.4619
13,HIDALGO,17,MINERAL DE LA REFORMA,87,190,24392,14696,5995,492,1285,1218,4484,126,40,27,8,176,52763,1567,54506,112848,0.521
13,HIDALGO,18,TEPEAPULCO,85,197,16427,22218,5863,983,1796,6652,4103,188,49,143,25,99,58447,1867,60413,115158,0.5733
