CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,B ,100,169,15,3,4,9,10,1,0,1,0,0,312,4,316,506,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0001B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,C01,127,123,24,4,3,5,20,0,0,0,0,0,306,15,321,505,ACTA CASILLA,ANULADA,JIN-GOB-PAN-001/2016,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0001C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,C02,112,138,12,8,11,9,14,5,0,0,2,0,311,10,321,505,ACTA CASILLA,ANULADA,JIN-GOB-PAN-001/2016,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0001C02.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,B ,116,107,11,6,6,8,13,1,0,0,0,0,268,16,284,435,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0002B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,C01,114,94,15,7,7,7,11,2,0,0,0,2,257,9,268,435,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0002C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,3,B ,41,104,9,5,2,17,3,1,0,0,0,0,182,14,196,294,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0003B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,4,B ,75,66,15,14,3,7,8,2,0,0,0,0,190,8,198,260,ACTA CASILLA,ANULADA,JIN-GOB-PAN-001/2016,
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,B ,129,130,16,18,4,50,25,7,2,3,0,0,384,41,425,701,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0005B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,E01,61,67,5,12,3,12,5,1,1,1,1,0,169,17,186,244,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0005E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,B ,69,70,8,6,0,16,9,0,0,0,0,0,178,6,184,337,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0006B00.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,E01,153,80,5,4,3,7,5,0,0,0,0,0,257,11,268,456,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0006E01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,E01C01,109,117,7,5,5,5,4,0,0,4,1,0,257,12,269,455,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0006E01C01.jpg
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,B ,222,166,6,9,3,11,7,5,0,0,0,0,429,11,440,659,ACTA CASILLA,,,http://www.ieehidalgo.org.mx/PrepHGO2016/GOBERNADOR/VG0007B00.jpg
