ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,11,NAVOLATO,125,172,3767,9876,874,838,2801,807,562,3429,18232,673,1254,57,79,30,38,10,112,12,53,21,11,29,220,253,36,17,664,313,42,157,,,,,,,,,45267,40,1442,46749,79705,
25,SINALOA,12,CULIACAN DE ROSALES,66,167,5320,11680,662,1012,1616,1225,1457,5032,27253,813,1945,73,57,33,20,2,18,15,24,4,8,30,220,167,41,11,554,194,23,170,,,,,,,,,59679,66,1492,61237,98439,
25,SINALOA,13,CULIACAN DE ROSALES,161,212,5896,13752,683,1195,1611,952,807,3296,23271,678,1831,603,50,22,21,9,18,12,14,1,20,11,299,198,51,26,499,201,59,135,,,,,,,,,56221,87,1868,57636,98340,
25,SINALOA,14,CULIACAN DE ROSALES,263,296,6864,13304,593,1319,1734,885,1803,3707,27113,851,823,55,63,22,14,3,44,22,26,6,6,17,359,334,81,10,609,253,29,170,,,,,2704,1566,,,65389,80,1690,67159,101818,
25,SINALOA,15,CULIACAN DE ROSALES,78,158,3754,8128,541,918,1429,800,588,2713,21866,653,646,22,47,16,9,6,15,7,20,4,6,9,179,200,14,9,535,196,24,154,,,,,,,2914,,46422,37,1037,47496,85823,
25,SINALOA,16,CULIACAN DE ROSALES,55,135,2801,8012,568,905,1886,929,709,2711,22282,652,835,47,62,18,14,5,15,14,24,6,6,17,174,160,23,11,568,216,26,143,,,,,,,,,43839,29,1032,44900,83586,
25,SINALOA,17,CULIACAN DE ROSALES,155,192,2595,9749,633,926,1726,816,836,2835,22453,765,1997,33,40,19,8,3,26,13,14,5,8,10,221,191,41,19,665,223,37,159,,,,,,,,,47066,45,2341,49452,92373,
25,SINALOA,18,CULIACAN DE ROSALES,176,218,3481,10697,832,882,2008,837,958,5541,20774,710,789,105,41,16,25,4,27,17,47,6,11,38,,,,,696,200,31,196,,,,,,,,,48969,26,1861,50856,94015,
25,SINALOA,19,LA CRUZ,175,214,3775,18835,944,2787,1118,1096,931,7298,11535,462,364,87,54,32,50,13,41,36,199,14,22,80,,,,,249,122,23,109,,,,,,,,,50276,128,4424,54828,84969,
25,SINALOA,20,MAZATLAN,90,178,5852,11029,738,1214,1576,1172,747,2538,25061,528,781,71,58,23,26,9,28,134,59,8,6,25,194,316,32,17,457,200,20,133,,,,,,,,,53052,34,2034,55120,97053,
25,SINALOA,21,MAZATLAN,76,166,7412,11159,473,1065,1446,874,853,2036,21830,426,802,94,54,18,23,8,27,26,37,5,0,19,218,189,27,9,453,182,15,98,,,,,,,,1727,51605,124,1240,52969,93155,
25,SINALOA,22,MAZATLAN,189,212,7139,11965,549,1142,1549,1028,669,2224,23990,539,1167,51,98,14,22,17,48,27,35,9,4,5,231,327,32,17,577,281,26,160,,,,,,,,,53942,250,2029,56221,94504,
25,SINALOA,23,MAZATLAN,180,212,8781,14304,597,914,1121,837,775,2817,15285,364,500,69,66,26,40,7,43,34,66,7,10,15,252,318,44,16,381,165,17,100,,,,,,,,,47971,35,1886,49892,86381,
25,SINALOA,24,EL ROSARIO,147,182,10339,12317,2858,714,348,650,1667,1293,12961,465,347,53,70,30,4,3,171,26,56,12,8,13,,,,,,,,,,,,,,,,,44405,16,2074,46495,78645,
