CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND19,CAND_IND23,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1782,B,37,59,7,41,5,15,8,,4,1,0,0,0,0,2,0,0,2,7,13,0,201,3,204,561,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1783,B,22,89,13,18,4,28,7,,5,1,3,1,0,0,1,0,0,3,4,13,0,212,6,218,558,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1784,B,21,47,14,14,6,18,5,,2,2,0,0,0,0,2,0,0,4,4,17,2,158,9,167,597,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1785,B,34,98,12,11,37,21,7,,5,4,2,0,0,3,2,0,0,5,7,10,1,259,16,275,726,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1786,B,20,57,9,4,9,18,0,,1,0,0,0,0,0,0,0,0,2,7,17,1,145,4,149,363,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1787,B,27,36,2,19,6,12,1,,3,0,0,0,1,0,0,1,0,0,1,14,0,123,2,125,370,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1788,B,32,63,3,33,7,24,4,,3,2,0,0,0,1,1,0,0,2,7,15,0,197,7,204,609,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1789,B,23,75,12,22,7,14,5,,8,5,0,0,0,0,2,0,0,3,24,1,0,201,5,206,631,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1789,C01,19,87,12,21,6,11,2,,2,3,0,0,0,0,2,0,0,1,30,4,0,200,9,209,631,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1790,B,18,43,4,18,4,23,2,,3,1,1,0,0,1,0,0,0,2,8,8,0,136,3,139,409,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1790,C01,11,36,5,17,5,18,3,,4,1,0,0,0,1,0,0,0,3,12,3,0,119,5,124,409,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1791,B,20,72,14,32,7,15,4,,4,1,0,0,2,2,0,0,0,3,8,9,0,193,10,203,682,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1791,C01,21,84,2,33,8,25,2,,5,3,0,1,0,0,0,0,0,3,7,14,0,208,10,218,682,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1791,C02,22,56,6,35,6,17,9,,10,1,1,0,3,2,2,0,0,4,16,19,1,210,8,218,682,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1792,B,21,55,1,11,5,9,2,,3,1,1,0,0,1,0,0,0,6,6,6,0,128,6,134,514,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1792,C01,26,52,5,22,4,9,1,,1,1,0,0,1,1,0,0,0,1,10,3,0,137,4,141,513,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1793,B,21,47,3,8,9,18,1,,3,1,0,0,0,0,0,0,0,2,17,6,0,136,5,141,407,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1793,C01,23,35,9,9,2,12,3,,8,0,0,0,0,0,0,0,0,1,17,6,0,125,3,128,406,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1794,B,38,54,7,8,7,24,2,,6,0,0,0,0,0,2,0,0,3,2,18,3,174,5,179,493,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1795,B,24,45,3,21,6,25,6,,3,0,0,0,0,0,0,0,0,0,2,20,0,155,3,158,448,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
