CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,ES,PAN_PRD_PT,PRD_PAN,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND19,CAND_IND23,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1772,1,27,87,8,6,9,19,1,17,0,0,0,1,1,0,0,0,4,4,3,1,187,4,192,647
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1773,2,49,134,26,19,31,34,8,18,0,1,0,1,0,0,0,0,11,5,15,2,352,10,364,1087
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1774,2,35,108,16,31,10,51,6,13,1,0,0,1,1,1,0,0,2,20,14,0,310,20,330,1133
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1775,2,43,100,22,17,5,20,4,6,2,4,0,0,0,3,0,0,5,4,27,0,262,12,274,841
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1776,1,27,84,16,12,8,25,6,8,2,0,0,0,1,1,0,0,6,6,10,0,212,6,218,597
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1777,1,46,58,8,14,9,31,4,1,0,1,1,0,1,0,0,0,1,7,18,2,200,4,206,561
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1778,2,39,84,21,19,3,54,7,7,0,0,0,1,0,0,0,0,3,6,19,0,263,10,273,936
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1779,2,47,73,16,7,8,36,3,5,2,0,0,0,0,1,0,0,4,5,11,2,218,4,224,774
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1780,1,33,83,9,14,6,24,4,3,2,0,0,0,2,0,0,0,3,3,14,0,200,7,207,621
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1781,1,24,41,13,7,13,19,3,7,2,0,0,0,2,0,0,0,5,3,10,0,149,9,158,498
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1782,1,37,59,7,41,5,15,8,4,1,0,0,0,0,2,0,0,2,7,13,0,201,3,204,561
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1783,1,22,89,13,18,4,28,7,5,1,3,1,0,0,1,0,0,3,4,13,0,212,6,218,558
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1784,1,21,47,14,14,6,18,5,2,2,0,0,0,0,2,0,0,4,4,17,2,156,9,167,597
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1785,1,34,98,12,11,37,21,7,5,4,2,0,0,3,2,0,0,5,7,10,1,258,16,275,726
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1786,1,20,57,9,4,9,18,0,1,0,0,0,0,0,0,0,0,2,7,17,1,144,4,149,363
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1787,1,27,36,2,19,6,12,1,3,0,0,0,1,0,0,1,0,0,1,14,0,123,2,125,370
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1788,1,32,63,3,33,7,24,4,3,2,0,0,0,1,1,0,0,2,7,15,0,197,7,204,609
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1789,2,42,162,24,43,13,25,7,10,8,0,0,0,0,4,0,0,4,54,5,0,401,14,415,1262
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1790,2,29,79,9,35,9,41,5,7,2,1,0,0,2,0,0,0,5,20,11,0,255,8,263,818
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1791,3,63,212,22,100,21,57,15,19,5,1,1,5,4,2,0,0,10,31,42,1,610,28,639,2046
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1792,2,47,107,6,33,9,18,3,4,2,1,0,1,2,0,0,0,7,16,9,0,265,10,275,1027
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1793,2,44,82,12,17,11,30,4,11,1,0,0,0,0,0,0,0,3,34,12,0,261,8,269,813
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1794,1,38,54,7,8,7,24,2,6,0,0,0,0,0,2,0,0,3,2,18,3,171,5,179,493
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1795,1,24,45,3,21,6,25,6,3,0,0,0,0,0,0,0,0,0,2,20,0,155,3,158,448
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1796,1,27,41,5,4,4,20,2,1,2,0,0,0,0,2,1,0,2,0,12,0,123,0,123,346
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1797,2,39,123,3,7,3,12,3,3,2,1,1,0,2,1,0,0,1,5,16,1,222,7,230,423
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1798,1,38,65,8,13,12,16,8,7,0,0,1,0,1,2,1,0,9,3,27,0,211,8,219,599
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1799,1,47,78,6,13,15,16,3,1,0,0,0,0,0,0,0,1,0,4,9,0,193,10,203,573
