ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,1,CANATLAN,39,54,4685,4835,1311,447,338,,168,281,828,193,1254,,,,,,,,,,,,,,12,14340,550,14902,23831,0.6253
10,DURANGO,2,CANELAS,14,14,596,1029,159,45,10,,,,,,,,,,,,,,,,,,,,1,1839,67,1907,3141,0.6071
10,DURANGO,3,CONETO DE COMONFORT,9,11,30,61,29,38,1365,,,779,3,3,,,,,,,,,,,,,,,0,2308,118,2426,3469,0.6993
10,DURANGO,4,CUENCAME ,40,55,3446,4518,1000,2133,229,,62,107,2814,121,,,,,,,,,,,,,,,0,14430,364,14794,24670,0.5997
10,DURANGO,5,DURANGO,333,772,104963,83584,27902,14374,3603,,1136,3129,5577,2247,,4199,5208,,,,,,,,,,,,175,255922,3911,260008,455230,0.5712
10,DURANGO,6,GOMEZ PALACIO,206,428,15170,77835,6179,1092,1738,358,367,1279,2960,988,,,,,,,,,,,,,,,47,107966,2036,110049,243294,0.4523
10,DURANGO,7,GRAL. SIMON BOLIVAR,16,23,2156,2028,573,102,142,,70,117,6,42,,,,,,,,,,,,,,,0,5236,208,5444,7778,0.6999
10,DURANGO,8,GUADALUPE VICTORIA,26,53,6466,5040,1584,1650,352,,175,293,633,324,,,,,,,,,,,,,,,8,16517,560,17085,28172,0.6065
10,DURANGO,9,GUANACEVI,23,28,1838,3024,498,48,33,,,,4,,,,,,,,,,,,,,,,1,5445,136,5582,7419,0.7524
10,DURANGO,10,HIDALGO,8,11,959,1045,254,76,9,,6,23,5,,,,,,,,,,,,,,,,0,2377,37,2414,3356,0.7193
10,DURANGO,11,INDE,17,17,992,1631,268,22,19,,10,16,4,,,,,,,,,,,,,,,,0,2962,65,3027,4441,0.6816
10,DURANGO,12,LERDO,80,187,9128,21936,3221,542,698,197,180,698,3488,574,,,,10352,,,,,,,,,,,50,51014,1277,52341,103955,0.5035
10,DURANGO,13,MAPIMI,25,40,3127,4532,866,107,85,40,59,78,1046,132,,,,,,,,,,,,,,,9,10072,253,10334,17416,0.5934
10,DURANGO,14,MEZQUITAL,32,58,381,8077,571,7985,135,7,63,69,15,83,,,,,,,,,,,,,,,87,17386,1329,18802,25959,0.7243
10,DURANGO,15,NAZAS,17,21,1416,2022,449,424,1658,32,60,25,132,,,,,,242,,,,,,,,,,0,6460,146,6606,9214,0.717
