CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA ,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,1,B,178,,124,,12,,,,,22,6,38,,,,,,,,,,,,,,2,380,12,394,605,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC__AYU_0001B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,2,B,147,,74,,1,,,,,6,1,32,,,,,,,,,,,,,,1,261,10,272,395,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0002B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,2,C01,145,,74,,4,,,,,6,6,24,,,,,,,,,,,,,,0,259,5,264,394,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0002C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,3,B,213,,124,,9,,,,,11,7,45,,,,,,,,,,,,,,0,409,11,420,639,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0003B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,3,C01,197,,120,,1,,,,,20,13,51,,,,,,,,,,,,,,0,402,11,413,639,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0003C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,3,C02,192,,122,,14,,,,,10,11,60,,,,,,,,,,,,,,0,409,5,414,639,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0003C2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,4,B,143,,107,,11,,,,,14,7,30,,,,,,,,,,,,,,0,312,5,317,535,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/0004B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,4,C01,131,,98,,9,,,,,12,4,36,,,,,,,,,,,,,,0,290,11,301,535,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0004C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,5,B,158,,91,,2,,,,,14,10,36,,,,,,,,,,,,,,0,311,10,321,533,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0005B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,5,C01,149,,126,,8,,,,,15,10,48,,,,,,,,,,,,,,0,356,13,369,533,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_AYU_0005C1.pdf
