Ayuntamiento
10/11/2021 11:40 (UTC-6)
 ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_DE_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,
81,81,0,81,100.0000,81,100.0000,00.0000,0,46179,16473,16473,35.6720
 CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'190523B0100',190523B01004,19,NUEVO LEON,025,Gral. Zuazua,0523,0001,B,00,2,4,0,,,,33,96,4,24,20,103,2,1,0,12,4,0,0,0,0,1,1,1,0,0,0,0,4,,306,530,26,,1,I,,,10/11/2021 08:32:59,,,,-
'190523C0100',190523C01004,19,NUEVO LEON,025,Gral. Zuazua,0523,0001,C,00,2,4,0,,,,28,95,7,12,24,90,5,1,2,10,2,0,0,0,0,1,0,0,0,0,0,0,0,,277,530,26,,1,I,,,10/11/2021 08:36:06,,,,-
'190524B0100',190524B01004,19,NUEVO LEON,025,Gral. Zuazua,0524,0001,B,00,2,4,0,,,,23,121,8,28,18,110,14,0,1,12,1,0,2,0,0,1,1,0,0,0,0,0,2,,342,606,26,,1,I,,,10/11/2021 08:39:10,,,,-
'190524C0100',190524C01004,19,NUEVO LEON,025,Gral. Zuazua,0524,0001,C,00,2,4,0,,,,12,119,9,21,18,157,7,2,0,17,6,1,0,0,0,0,0,1,1,0,0,0,3,,374,606,27,,1,I,,,10/11/2021 09:20:05,,,,-
'190524E0100',190524E01004,19,NUEVO LEON,025,Gral. Zuazua,0524,0001,E,00,2,4,0,,,,20,70,8,13,7,94,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,230,707,23,,1,I,,,10/11/2021 08:43:12,,,,-
'190524E0101',190524E01014,19,NUEVO LEON,025,Gral. Zuazua,0524,0001,E,01,2,4,0,,,,8,82,2,10,9,89,10,1,0,11,5,0,0,0,0,0,0,0,0,0,0,0,7,,234,707,25,,1,I,,,10/11/2021 09:15:35,,,,-
'190524E0102',190524E01024,19,NUEVO LEON,025,Gral. Zuazua,0524,0001,E,02,2,4,0,,,,25,82,1,17,14,86,9,2,0,8,4,0,0,0,0,0,0,0,2,0,0,0,3,,253,707,28,,1,I,,,10/11/2021 08:45:50,,,,-
'190524E0103',190524E01034,19,NUEVO LEON,025,Gral. Zuazua,0524,0001,E,03,2,4,0,,,,32,94,0,9,22,80,7,3,0,7,2,4,1,0,0,0,0,0,0,0,0,0,3,,264,706,26,,1,I,,,10/11/2021 08:47:57,,,,-
'192619B0100',192619B01004,19,NUEVO LEON,025,Gral. Zuazua,2619,0001,B,00,2,4,0,,,,50,25,0,26,15,57,13,0,2,8,11,1,1,1,0,0,0,2,1,0,0,0,3,,216,553,28,,1,I,,,10/11/2021 08:49:57,,,,-
'192619C0100',192619C01004,19,NUEVO LEON,025,Gral. Zuazua,2619,0001,C,00,2,4,0,,,,56,25,7,22,13,55,16,2,2,2,7,0,1,0,0,1,2,0,0,0,0,0,2,,213,553,31,,1,I,,,10/11/2021 11:21:40,,,,-
'192619C0200',192619C02004,19,NUEVO LEON,025,Gral. Zuazua,2619,0002,C,00,2,4,0,,,,63,29,2,26,11,59,18,0,3,6,4,0,0,0,2,0,2,0,0,0,0,0,1,,226,553,26,,1,I,,,10/11/2021 08:55:39,,,,-
'192620B0100',192620B01004,19,NUEVO LEON,025,Gral. Zuazua,2620,0001,B,00,2,4,0,,,,39,22,2,26,21,77,14,0,1,2,9,1,0,0,0,0,0,0,1,0,0,0,4,,219,676,24,,1,I,,,10/11/2021 08:57:39,,,,-
'192620C0100',192620C01004,19,NUEVO LEON,025,Gral. Zuazua,2620,0001,C,00,2,4,0,,,,36,33,3,24,12,70,10,0,1,0,4,1,0,1,0,0,0,0,2,0,0,0,2,,199,675,27,,1,I,,,10/11/2021 08:59:55,,,,-
'192620C0200',192620C02004,19,NUEVO LEON,025,Gral. Zuazua,2620,0002,C,00,2,4,0,,,,44,27,1,32,17,78,13,0,0,4,6,0,1,1,0,1,0,1,0,0,0,0,3,,229,675,29,,1,I,,,10/11/2021 11:30:32,,,,-
'192621B0100',192621B01004,19,NUEVO LEON,025,Gral. Zuazua,2621,0001,B,00,2,4,0,,,,44,23,1,19,13,81,16,2,4,4,1,0,0,0,0,0,0,0,2,0,0,0,5,,215,505,25,,1,I,,,10/11/2021 09:10:33,,,,-
'192621C0100',192621C01004,19,NUEVO LEON,025,Gral. Zuazua,2621,0001,C,00,2,4,0,,,,42,20,2,11,29,82,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,210,504,25,,1,I,,,10/11/2021 09:14:23,,,,-
'192622B0100',192622B01004,19,NUEVO LEON,025,Gral. Zuazua,2622,0001,B,00,2,4,0,,,,34,29,3,24,14,67,14,0,1,0,6,0,0,0,0,2,0,0,0,0,0,0,6,,200,616,26,,1,I,,,10/11/2021 09:17:54,,,,-
'192622C0100',192622C01004,19,NUEVO LEON,025,Gral. Zuazua,2622,0001,C,00,2,4,0,,,,30,20,2,30,18,65,19,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,3,,197,616,25,,1,I,,,10/11/2021 09:21:23,,,,-
'192623B0100',192623B01004,19,NUEVO LEON,025,Gral. Zuazua,2623,0001,B,00,1,4,0,,,,55,26,1,11,9,66,8,2,4,1,1,0,0,0,0,2,0,0,0,0,1,0,2,,189,483,27,,1,I,,,10/11/2021 09:23:55,,,,-
'192623C0100',192623C01004,19,NUEVO LEON,025,Gral. Zuazua,2623,0001,C,00,1,4,0,,,,43,22,0,15,5,90,8,6,4,1,4,0,0,0,0,1,0,0,0,1,0,0,0,,200,483,26,,1,I,,,10/11/2021 09:28:38,,,,-
'192624B0100',192624B01004,19,NUEVO LEON,025,Gral. Zuazua,2624,0001,B,00,1,4,0,,,,52,30,2,25,8,59,4,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,3,,191,493,28,,1,I,,,10/11/2021 09:26:07,,,,-
'192624C0100',192624C01004,19,NUEVO LEON,025,Gral. Zuazua,2624,0001,C,00,1,4,0,,,,45,30,1,24,7,84,8,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,4,,209,492,27,,1,I,,,10/11/2021 09:27:20,,,,-
'192625B0100',192625B01004,19,NUEVO LEON,025,Gral. Zuazua,2625,0001,B,00,1,4,0,,,,44,25,2,15,14,61,9,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,3,,181,484,28,,1,I,,,10/11/2021 09:29:10,,,,-
'192625C0100',192625C01004,19,NUEVO LEON,025,Gral. Zuazua,2625,0001,C,00,1,4,0,,,,49,26,2,15,9,64,6,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,,177,484,25,,1,I,,,10/11/2021 09:30:28,,,,-
'192626B0100',192626B01004,19,NUEVO LEON,025,Gral. Zuazua,2626,0001,B,00,1,4,0,,,,34,34,0,26,8,81,9,1,5,5,9,0,0,0,0,0,0,0,0,0,0,0,8,,220,729,27,,1,I,,,10/11/2021 09:38:52,,,,-
'192627B0100',192627B01004,19,NUEVO LEON,025,Gral. Zuazua,2627,0001,B,00,2,4,0,,,,32,13,1,13,7,53,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,129,378,28,,1,I,,,10/11/2021 09:32:11,,,,-
