ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,PRI_PT_PVEM,PRI_PT_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PT_PVEM_NVA_ALIANZA,PRI_PT,PRI_PVEM,PRI_NVA_ALIANZA,PT_PVEM,PT_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,AGUASCALIENTES,452,1058,135779,100770,14781,2333,3564,5333,11267,4739,616,124,251,319,28,158,324,291,24,9,67,9553,558,290063,7830,298721,606018,0.4929
1,AGUASCALIENTES,2,ASIENTOS,17,52,6958,5513,296,132,348,6222,347,268,57,2,46,38,1,18,12,215,6,8,33,311,4,20831,478,21313,32191,0.6621
1,AGUASCALIENTES,3,CALVILLO,31,73,12243,7092,1383,487,551,490,386,259,30,17,28,15,3,55,20,20,1,1,4,318,23,23403,667,24093,44001,0.5476
1,AGUASCALIENTES,4,COSIO,5,17,3049,1906,87,71,611,167,163,268,1,1,7,0,1,4,20,5,1,0,0,160,18,5468,147,6687,10895,0.6138
1,AGUASCALIENTES,5,JESUS MARIA,22,109,15710,13353,1326,388,643,752,1012,517,52,11,21,28,5,18,63,38,6,1,9,1102,60,35056,732,35847,72369,0.4953
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,49,6044,4895,3472,431,367,1915,395,293,12,5,28,14,0,9,21,57,1,2,6,324,22,18291,563,18876,29249,0.6454
1,AGUASCALIENTES,7,RINCON DE ROMOS,21,57,8813,5301,359,276,533,1526,388,269,39,8,41,40,9,20,24,60,8,1,38,232,13,16300,458,18456,35392,0.5215
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,12,2284,1407,228,249,73,265,199,30,2,0,5,0,0,7,0,2,0,0,1,109,1,4861,85,4947,6514,0.7594
1,AGUASCALIENTES,9,TEPEZALA,10,23,4099,1226,192,255,2902,1332,121,35,2,5,7,3,2,6,41,20,6,3,8,121,2,10386,231,10619,14442,0.7353
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,10,43,5510,5870,501,135,520,773,396,298,3,1,6,7,1,13,20,19,0,0,16,322,34,14411,345,14790,28457,0.5197
1,AGUASCALIENTES,11,EL LLANO,8,25,2928,2467,1228,1877,397,216,135,46,11,3,19,4,0,71,9,5,3,7,1,170,1,9597,304,9902,14108,0.7019
