ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,,,,,,,,,
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,74,11862,7317,446,395,1219,1788,551,537,392,31,24507,605,25143,46287,0.5432,,,,,,,,,
1,AGUASCALIENTES,2,EL LLANO,25,77,9886,8201,1524,2105,808,6627,482,314,481,5,30428,782,31215,46299,0.6742,,,,,,,,,
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,72,10143,6225,3664,715,3325,3316,516,328,445,24,28677,794,29495,43691,0.6751,,,,,,,,,
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,77,10530,9663,1108,257,824,1094,807,466,776,56,25525,567,26148,51633,0.5064,,,,,,,,,
1,AGUASCALIENTES,5,AGUASCALIENTES,18,70,9245,7267,1185,204,257,283,889,355,894,27,20579,520,21126,46255,0.4567,,,,,,,,,
1,AGUASCALIENTES,6,AGUASCALIENTES,37,97,18070,9094,1002,166,298,428,938,345,1023,44,31364,1006,32414,55381,0.5853,,,,,,,,,
1,AGUASCALIENTES,7,JESUS MARIA,16,75,10690,9690,719,308,405,531,601,349,648,38,23942,510,24489,49193,0.4978,,,,,,,,,
1,AGUASCALIENTES,8,CALVILLO,38,85,14527,8581,1611,794,655,795,585,289,427,24,28264,752,29040,50515,0.5749,,,,,,,,,
1,AGUASCALIENTES,9,AGUASCALIENTES,37,90,10480,8658,1322,247,392,413,845,448,710,66,23515,702,24283,52294,0.4644,,,,,,,,,
1,AGUASCALIENTES,10,AGUASCALIENTES,43,95,14790,8512,1195,206,371,760,906,360,879,60,27979,692,28731,54026,0.5318,,,,,,,,,
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,15195,10061,1379,225,474,925,1161,360,845,65,30625,752,31442,57291,0.5488,,,,,,,,,
1,AGUASCALIENTES,12,AGUASCALIENTES,16,68,6141,7518,1014,223,292,326,526,323,436,17,16799,420,17236,44877,0.3841,,,,,,,,,
1,AGUASCALIENTES,13,AGUASCALIENTES,33,88,9711,8531,1245,184,370,425,967,412,759,43,22604,615,23262,48844,0.4763,,,,,,,,,
1,AGUASCALIENTES,14,AGUASCALIENTES,32,84,11654,9150,1425,238,313,453,1277,454,976,45,25940,702,26687,51918,0.514,,,,,,,,,
1,AGUASCALIENTES,15,AGUASCALIENTES,41,90,8470,8570,1502,253,339,638,1115,487,710,65,21814,669,22818,49606,0.46,,,,,,,,,
1,AGUASCALIENTES,16,AGUASCALIENTES,36,75,6864,6874,1016,225,302,502,760,425,564,38,17532,453,18023,41517,0.4341,,,,,,,,,
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,15726,9129,1496,190,306,372,1008,414,951,58,29592,723,30373,55892,0.5434,,,,,,,,,
1,AGUASCALIENTES,18,AGUASCALIENTES,24,80,9433,8203,1000,332,363,352,875,356,806,30,21720,576,22326,48117,0.464,,,,,,,,,
1,AGUASCALIENTES,VOTO EN EL EXTRANJERO,NO APLICA,NO APLICA,NO APLICA,18,8,1,0,0,0,2,0,2,0,31,0,31,129,0.2403,,,,,2,0,,0,31
