ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,PRI_PT_PVEM,PRI_PT_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PT_PVEM_NVA_ALIANZA,PRI_PT,PRI_PVEM,PRI_NVA_ALIANZA,PT_PVEM,PT_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,AGUASCALIENTES,1,RINCON DE ROMOS,26,74,11862,7207,446,347,1144,1693,551,537,40,9,48,40,10,24,44,65,9,1,38,392,31,24507,605,25143,46287,0.5432
1,AGUASCALIENTES,2,EL LLANO,25,77,9886,7980,1524,2009,745,6438,482,314,68,5,65,42,1,89,21,220,9,15,34,481,5,30428,782,31215,46299,0.6742
1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,27,72,10143,6121,3664,686,3269,3247,516,328,14,10,35,17,2,15,62,77,7,5,14,445,24,28677,794,29495,43691,0.6751
1,AGUASCALIENTES,4,SAN FRANCISCO DE LOS ROMO,16,77,10530,9607,1108,243,807,1041,807,466,6,7,8,13,2,18,42,26,1,0,17,776,56,25525,567,26148,51633,0.5064
1,AGUASCALIENTES,5,AGUASCALIENTES,18,70,9245,7230,1185,183,231,259,889,355,45,4,11,11,3,8,16,6,2,0,2,894,27,20579,520,21126,46255,0.4567
1,AGUASCALIENTES,6,AGUASCALIENTES,37,97,18070,9036,1002,142,260,389,938,345,49,7,12,25,3,7,26,21,2,1,3,1023,44,31364,1006,32414,55381,0.5853
1,AGUASCALIENTES,7,JESUS MARIA,16,75,10690,9616,719,280,356,484,601,349,49,5,19,22,4,13,41,31,5,1,8,648,38,23942,510,24489,49193,0.4978
1,AGUASCALIENTES,8,CALVILLO,38,85,14527,8499,1611,736,624,755,585,289,32,17,33,15,3,62,20,22,1,1,5,427,24,28264,752,29040,50515,0.5749
1,AGUASCALIENTES,9,AGUASCALIENTES,37,90,10480,8580,1322,212,340,368,845,448,54,16,25,33,1,17,40,17,2,0,5,710,66,23515,702,24283,52294,0.4644
1,AGUASCALIENTES,10,AGUASCALIENTES,43,95,14790,8427,1195,171,330,686,906,360,58,15,38,39,1,8,14,56,0,1,5,879,60,27979,692,28731,54026,0.5318
1,AGUASCALIENTES,11,AGUASCALIENTES,72,112,15195,9959,1379,184,407,846,1161,360,88,17,29,40,0,9,37,52,3,1,13,845,65,30625,752,31442,57291,0.5488
1,AGUASCALIENTES,12,AGUASCALIENTES,16,68,6141,7467,1014,204,255,296,526,323,29,11,12,23,2,11,28,13,1,0,7,436,17,16799,420,17236,44877,0.3841
1,AGUASCALIENTES,13,AGUASCALIENTES,33,88,9711,8471,1245,155,326,390,967,412,41,11,29,21,2,11,36,8,5,1,3,759,43,22604,615,23262,48844,0.4763
1,AGUASCALIENTES,14,AGUASCALIENTES,32,84,11654,9098,1425,211,280,422,1277,454,57,8,9,12,0,15,22,15,0,2,3,976,45,25940,702,26687,51918,0.514
1,AGUASCALIENTES,15,AGUASCALIENTES,41,90,8470,8494,1502,213,283,580,1115,487,75,14,27,43,10,10,24,22,3,0,2,710,65,21814,669,22818,49606,0.46
1,AGUASCALIENTES,16,AGUASCALIENTES,36,75,6864,6819,1016,210,275,463,760,425,20,2,20,24,0,9,23,34,1,1,2,564,38,17532,453,18023,41517,0.4341
1,AGUASCALIENTES,17,AGUASCALIENTES,63,109,15726,9070,1496,161,262,329,1008,414,49,3,18,22,3,17,28,16,2,0,17,951,58,29592,723,30373,55892,0.5434
1,AGUASCALIENTES,18,AGUASCALIENTES,24,80,9433,8119,1000,287,315,305,875,356,51,16,21,26,3,36,30,31,3,2,5,806,30,21720,576,22326,48117,0.464
1,AGUASCALIENTES,VOTO EN EL EXTRANJERO,NO APLICA,NO APLICA,NO APLICA,18,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,31,129,0.2403
