uniqueid,year,incumbent_party_Horacio
28001,1995,PRI
28001,1998,PRI
28001,2001,PRI
28001,2004,PRI
28001,2007,PAN
28001,2010,PRI_PANAL
28001,2013,PRI_PVEM_PANAL
28001,2016,PRI_PVEM_PANAL
28001,2018,NA
28002,1995,PRI
28002,1998,PRI
28002,2001,PRI
28002,2004,PAN
28002,2007,PRI
28002,2010,PAN
28002,2013,PRI_PVEM_PANAL
28002,2016,PRI_PVEM_PANAL
28002,2018,NA
28003,1995,PartCardenista
28003,1998,PRI
28003,2001,PRI
28003,2004,PRI
28003,2007,PRI
28003,2010,PRI_PVEM_PANAL
28003,2013,PRI_PVEM_PANAL
28003,2016,PAN
28003,2018,NA
28004,1995,PRI
28004,1998,PRI
28004,2001,PRI
28004,2004,PRI
28004,2007,PAN
28004,2010,PAN
28004,2013,PAN
28004,2016,PAN
28004,2018,NA
28005,1995,PRI
28005,1998,PRI
28005,2001,PRI
28005,2004,PRI
28005,2007,PRI
28005,2010,PRI
28005,2013,PRI_PVEM_PANAL
28005,2016,PAN
28005,2018,NA
28006,1995,PRI
28006,1998,PRI
28006,2001,PRI
28006,2004,PRI
28006,2007,PRI
28006,2010,PRI
28006,2013,PRI_PVEM_PANAL
28006,2016,PRI_PVEM_PANAL
28006,2018,NA
28007,1995,PAN
28007,1998,PRI
28007,2001,PRI
28007,2004,PRI
28007,2007,PRI
28007,2010,PRD
28007,2013,NA
28007,2016,PRI_PVEM_PANAL
28007,2018,NA
28008,1995,PRI
28008,1998,PRI
28008,2001,PRI
28008,2004,PRI
28008,2007,PRI
28008,2010,PRI_PANAL
28008,2013,PRI_PVEM_PANAL
28008,2016,PAN
28008,2018,NA
28009,1995,PRD
28009,1998,PRD
28009,2001,PRD
28009,2004,PRI
28009,2007,PRI
28009,2010,PRI_PVEM_PANAL
28009,2013,PRI_PVEM_PANAL
28009,2016,PAN
28009,2018,NA
28010,1995,PRI
28010,1998,PRI
28010,2001,PRI
28010,2004,PRI
28010,2007,PRI
28010,2010,PRI
28010,2013,NA
28010,2016,PRI
28010,2018,NA
28011,1995,PRI
28011,1998,PRI
28011,2001,PRI
28011,2004,PRI
28011,2007,PAN
28011,2010,PRI_PANAL
28011,2013,PRI_PVEM_PANAL
28011,2016,PAN
28011,2018,NA
28012,1995,PRI
28012,1998,PRI
28012,2001,PRI
28012,2004,PRI
28012,2007,PRI
28012,2010,PRI_PANAL
28012,2013,PRI_PVEM_PANAL
28012,2016,PAN
28012,2018,NA
28013,1995,PRI
28013,1998,PRI
28013,2001,PRI
28013,2004,PRI
28013,2007,PAN
28013,2010,PRI_PANAL
28013,2013,PRI_PVEM_PANAL
28013,2016,PAN
28013,2018,NA
28014,1995,PRI
28014,1998,PRI
28014,2001,PRI
28014,2004,PRI
28014,2007,PRI
28014,2010,NA
28014,2013,PRI_PVEM_PANAL
28014,2016,PAN
28014,2018,NA
28015,1995,PAN
28015,1998,PRI
28015,2001,PRI
28015,2004,PRI
28015,2007,PRI
28015,2010,PRI_PANAL
28015,2013,PRI_PVEM_PANAL
28015,2016,PES
28015,2018,NA
28016,1995,PRI
28016,1998,PRI
28016,2001,PRI
28016,2004,PRI
28016,2007,PRI
28016,2010,PRI_PANAL
28016,2013,PRI_PVEM_PANAL
28016,2016,PAN
28016,2018,NA
28017,1995,PRI
28017,1998,PRI
28017,2001,PRI
28017,2004,PRI
28017,2007,PRD
28017,2010,PRI_PANAL
28017,2013,PRI_PVEM_PANAL
28017,2016,Independent
28017,2018,NA
28018,1995,PRI
28018,1998,PRI
28018,2001,PRI
28018,2004,PRI
28018,2007,PRI
28018,2010,PRI_PANAL
28018,2013,PRI_PVEM_PANAL
28018,2016,PRI_PVEM_PANAL
28018,2018,NA
28019,1995,PRI
28019,1998,PRI
28019,2001,PRI
28019,2004,PRI
28019,2007,PAN
28019,2010,PRI_PANAL
28019,2013,PRI_PVEM_PANAL
28019,2016,Independent
28019,2018,NA
28020,1995,PRI
28020,1998,PRI
28020,2001,PRI
28020,2004,PRI
28020,2007,PRI
28020,2010,PRI_PANAL
28020,2013,PAN
28020,2016,PAN
28020,2018,NA
28021,1995,PRI
28021,1998,PRI
28021,2001,PAN
28021,2004,PRI
28021,2007,PRI
28021,2010,PRI_PVEM_PANAL
28021,2013,PRI_PVEM_PANAL
28021,2016,PAN
28021,2018,NA
28022,1995,PAN
28022,1998,PRI
28022,2001,PRI
28022,2004,PRI
28022,2007,PRI
28022,2010,PRI_PVEM_PANAL
28022,2013,PAN
28022,2016,PRI_PVEM_PANAL
28022,2018,NA
28023,1995,PRI
28023,1998,PRI
28023,2001,PRI
28023,2004,PRI
28023,2007,PAN
28023,2010,PRI_PANAL
28023,2013,PRI_PVEM_PANAL
28023,2016,PAN
28023,2018,NA
28024,1995,PRI
28024,1998,PRI
28024,2001,PRI
28024,2004,PRI
28024,2007,PRI
28024,2010,PRI_PANAL
28024,2013,PAN
28024,2016,PAN
28024,2018,NA
28025,1995,PAN
28025,1998,PRI
28025,2001,PRI
28025,2004,PRI
28025,2007,PRI
28025,2010,PRI_PANAL
28025,2013,PAN
28025,2016,PAN
28025,2018,NA
28026,1995,PRI
28026,1998,PRI
28026,2001,PRI
28026,2004,PRI
28026,2007,PRI
28026,2010,PRI
28026,2013,PAN
28026,2016,PRI_PVEM_PANAL
28026,2018,NA
28027,1995,PRI
28027,1998,PRI
28027,2001,PRI
28027,2004,PRI
28027,2007,PRI
28027,2010,PRI_PVEM_PANAL
28027,2013,PAN
28027,2016,PAN
28027,2018,NA
28028,1995,PRD
28028,1998,PRI
28028,2001,PRI
28028,2004,PRI
28028,2007,PAN
28028,2010,PAN
28028,2013,PRI_PVEM_PANAL
28028,2016,PRI_PVEM_PANAL
28028,2018,NA
28029,1995,PRI
28029,1998,PRI
28029,2001,PRI
28029,2004,PRI
28029,2007,PRI
28029,2010,PRI_PANAL
28029,2013,PRI_PVEM_PANAL
28029,2016,PRI_PVEM_PANAL
28029,2018,NA
28030,1995,PRI
28030,1998,PRI
28030,2001,PRI
28030,2004,PRI
28030,2007,PRI
28030,2010,PAN
28030,2013,PRI_PVEM_PANAL
28030,2016,PAN
28030,2018,NA
28031,1995,PRI
28031,1998,PRI
28031,2001,PRI
28031,2004,PRI
28031,2007,PRI
28031,2010,PRI_PANAL
28031,2013,PRI
28031,2016,PRI_PVEM_PANAL
28031,2018,NA
28032,1995,PRI
28032,1998,PRI
28032,2001,PRI
28032,2004,PAN
28032,2007,PRI
28032,2010,PRI_PVEM_PANAL
28032,2013,PRI_PVEM_PANAL
28032,2016,PAN
28032,2018,NA
28033,1995,PRD
28033,1998,PRD
28033,2001,PT
28033,2004,PRI
28033,2007,PRI
28033,2010,PAN
28033,2013,PRI_PVEM_PANAL
28033,2016,PRI_PVEM_PANAL
28033,2018,NA
28034,1995,PRI
28034,1998,PRI
28034,2001,PRI
28034,2004,PRI
28034,2007,PRI
28034,2010,PRI_PANAL
28034,2013,PRI_PVEM_PANAL
28034,2016,PAN
28034,2018,NA
28035,1995,PRI
28035,1998,PRI
28035,2001,PAN
28035,2004,PRI
28035,2007,PRI
28035,2010,PRI_PANAL
28035,2013,PRI_PVEM_PANAL
28035,2016,PAN
28035,2018,NA
28036,1995,PRI
28036,1998,PRI
28036,2001,PRI
28036,2004,PRI
28036,2007,PRI
28036,2010,PRI
28036,2013,PRI
28036,2016,PRI_PVEM_PANAL
28036,2018,NA
28037,1995,PRI
28037,1998,PRI
28037,2001,PAN
28037,2004,PRI
28037,2007,PAN
28037,2010,PRI_PANAL
28037,2013,PRI_PVEM_PANAL
28037,2016,PAN
28037,2018,NA
28038,1995,PAN
28038,1998,PRI
28038,2001,PAN
28038,2004,NA
28038,2007,PRI
28038,2010,PAN
28038,2013,PRI_PVEM_PANAL
28038,2016,PRI_PVEM_PANAL
28038,2018,NA
28039,1995,PRI
28039,1998,PRI
28039,2001,PRI
28039,2004,PRI
28039,2007,PRI
28039,2010,PRI_PANAL
28039,2013,PRI_PVEM_PANAL
28039,2016,PAN
28039,2018,NA
28040,1995,PAN
28040,1998,PRI
28040,2001,PRI
28040,2004,PAN
28040,2007,PRI
28040,2010,PRI_PANAL
28040,2013,PRI_PVEM_PANAL
28040,2016,PRI_PVEM_PANAL
28040,2018,NA
28041,1995,PRI
28041,1998,PRI
28041,2001,PRI
28041,2004,PRI
28041,2007,PRI
28041,2010,PRI_PVEM_PANAL
