CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,6,,1,COLIMA,1,8,1145,738,39,61,56,404,162,875,34,15,14,9,8,0,2,,200,,,3762,39,120,3921,5339
5,6,COLIMA,6,,1,COLIMA,2,2,185,127,6,12,12,67,16,110,4,1,1,2,0,0,1,,33,,,577,2,6,585,843
5,6,COLIMA,2,,1,COLIMA,3,3,252,188,18,43,31,114,36,262,16,2,12,6,3,0,3,75,,,,1061,1,36,1098,1625
5,6,COLIMA,2,,1,COLIMA,4,1,140,81,4,16,6,70,25,96,2,1,0,3,1,0,0,18,,,,463,0,16,479,663
5,6,COLIMA,2,,1,COLIMA,5,1,114,71,4,20,3,45,9,72,1,0,2,1,0,0,1,15,,,,358,0,13,371,525
5,6,COLIMA,6,,1,COLIMA,6,3,367,309,13,30,19,146,42,273,11,7,2,3,2,0,1,,69,,,1294,1,43,1338,1848
5,6,COLIMA,2,,1,COLIMA,7,2,117,120,7,28,11,54,21,147,2,1,4,3,1,0,2,26,,,,544,0,15,559,787
5,6,COLIMA,2,,1,COLIMA,8,2,137,166,10,39,13,90,39,193,10,2,9,1,2,0,0,38,,,,749,1,25,775,1061
5,6,COLIMA,2,,1,COLIMA,9,2,165,132,12,20,9,92,28,119,5,4,2,2,0,0,0,26,,,,616,0,24,640,852
5,6,COLIMA,2,,1,COLIMA,10,2,275,98,14,40,15,73,17,138,9,3,2,2,0,0,0,41,,,,727,0,35,762,1167
5,6,COLIMA,2,,1,COLIMA,11,1,114,74,7,13,6,72,11,90,3,0,0,1,0,1,0,23,,,,415,0,13,428,584
5,6,COLIMA,6,,1,COLIMA,12,2,197,143,3,14,9,74,22,143,3,2,1,1,2,0,0,,38,,,652,0,24,676,894
5,6,COLIMA,6,,1,COLIMA,13,2,304,206,8,17,22,124,47,244,8,4,6,5,2,0,0,,63,,,1060,1,30,1091,1482
5,6,COLIMA,2,,1,COLIMA,14,2,89,158,9,47,12,44,35,165,6,2,12,4,2,0,0,24,,,,609,1,18,628,912
5,6,COLIMA,2,,1,COLIMA,15,1,79,75,4,14,5,27,11,86,3,0,5,1,1,0,2,23,,,,336,0,12,348,498
5,6,COLIMA,2,,1,COLIMA,16,1,79,102,2,16,5,48,12,122,4,1,4,1,0,1,0,13,,,,410,0,15,425,613
5,6,COLIMA,2,,1,COLIMA,17,1,104,64,9,36,5,63,20,108,2,1,4,3,0,0,0,20,,,,439,1,12,452,670
5,6,COLIMA,2,,1,COLIMA,18,2,134,105,10,20,8,79,17,172,10,7,6,6,0,0,1,28,,,,603,1,17,621,844
5,6,COLIMA,2,,1,COLIMA,19,2,173,133,13,31,9,92,29,149,9,3,6,6,0,0,0,29,,,,682,3,26,711,962
5,6,COLIMA,1,,1,COLIMA,20,3,196,151,8,14,4,102,51,157,5,2,4,0,2,1,1,,,,,698,1,17,716,910
5,6,COLIMA,1,,1,COLIMA,21,2,230,146,9,7,12,142,37,163,6,1,3,6,0,0,1,,,,,763,1,25,789,1080
5,6,COLIMA,6,,1,COLIMA,22,2,67,87,10,7,22,46,21,189,3,1,2,4,4,1,0,,35,,,499,0,13,512,787
5,6,COLIMA,3,,1,COLIMA,23,4,275,236,25,33,52,163,42,438,17,6,8,10,4,0,2,,,,,1311,1,46,1358,2282
5,6,COLIMA,3,,1,COLIMA,24,6,587,423,44,42,142,263,76,803,35,16,10,15,12,2,5,,,,,2475,1,107,2583,4433
5,6,COLIMA,2,,1,COLIMA,25,2,130,134,14,36,17,55,21,159,12,4,11,4,2,0,0,65,,,,664,0,21,685,1092
5,6,COLIMA,2,,1,COLIMA,26,2,137,132,5,46,16,53,13,125,6,1,8,2,1,0,19,12,,,,576,0,17,593,864
5,6,COLIMA,2,,1,COLIMA,27,1,130,77,14,22,8,65,12,101,9,4,1,3,0,0,0,48,,,,494,0,16,510,747
5,6,COLIMA,2,,1,COLIMA,28,2,55,70,2,15,5,62,16,100,2,1,3,1,0,0,0,13,,,,345,0,17,362,466
5,6,COLIMA,2,,1,COLIMA,29,1,97,113,8,22,7,86,8,113,4,1,5,2,0,0,1,9,,,,476,1,15,492,692
