ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM,PT_MORENA_ES,MC,NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,,25,64,4751,5274,7828,2654,1263,,,,,21770,20,816,22606,35566,
6,COLIMA,2,,38,73,5821,6161,6961,2498,1009,1869,,,,24319,24,851,25194,37639,
6,COLIMA,3,,18,64,4324,5159,7014,1705,862,,,,,19064,12,865,19941,34563,
6,COLIMA,4,,20,58,5565,5931,6652,2129,1126,,,,,21403,30,863,22296,32124,
6,COLIMA,5,,29,68,4285,6188,7606,2220,1155,,,,,21454,13,800,22267,35978,
6,COLIMA,6,,28,69,6966,6622,6294,1415,1688,,2142,,,25127,44,910,26081,38213,
6,COLIMA,7,,13,52,2609,5335,8159,2289,1763,,,,,20155,28,790,20973,32631,
6,COLIMA,8,,33,56,2570,4296,8191,1992,938,,,1730,,19717,13,554,20284,30632,
6,COLIMA,9,,28,57,2356,5606,7498,395,2083,,,,,17938,4,904,18846,30827,
6,COLIMA,10,,17,48,3183,4217,6644,612,601,,,,,15257,11,660,15928,29216,
6,COLIMA,11,,9,53,2237,4995,9997,1183,561,,,,,18973,15,764,19752,33896,
6,COLIMA,12,,6,53,2758,4601,10460,1676,1070,,,,,20565,23,581,21169,33218,
6,COLIMA,13,,26,56,3029,5608,8545,703,401,,,,554,18840,15,770,19625,32433,
6,COLIMA,14,,29,71,3193,7499,10036,1388,762,,,,,22878,7,1133,24018,35378,
6,COLIMA,15,,20,47,2794,4942,6219,543,447,,,,,14945,7,665,15617,27466,
6,COLIMA,16,,31,61,3651,5732,7598,335,500,,,,,17816,4,752,18572,30940,
