ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,6,ARMERIA,21,41,1294,2447,286,1373,463,224,1926,3847,95,94,254,277,83,15,33,,,,,12711,1,614,13326,21499,
6,COLIMA,1,COLIMA,91,227,16442,15750,1135,2728,2244,7971,3583,20876,849,285,585,453,232,33,120,1869,571,,,75726,99,2867,78692,123072,
6,COLIMA,2,COMALA,13,32,3552,3543,128,111,353,921,367,1986,126,64,71,89,25,6,16,,,,,11358,15,443,11816,16597,
6,COLIMA,3,COQUIMATLAN,15,34,2131,3545,84,107,437,926,761,1667,91,63,92,112,33,2,15,,,,,10066,4,435,10505,15996,
6,COLIMA,4,CUAUHTEMOC,18,43,3724,3912,208,176,441,301,1239,2602,112,68,65,73,38,5,19,,1571,,,14554,1,575,15130,22909,
6,COLIMA,7,IXTLAHUACAN,8,12,146,1489,11,137,515,64,69,700,357,7,67,302,24,16,19,,,,,3923,0,132,4055,5084,
6,COLIMA,8,MANZANILLO,70,233,10286,8366,984,12649,2896,4792,2701,33174,1507,144,1017,1189,370,29,169,,,,554,80827,60,3288,84175,136912,
6,COLIMA,9,MINATITLAN,7,16,423,1866,53,250,984,329,250,1211,71,9,87,83,35,2,3,,,,,5656,3,250,5909,7341,
6,COLIMA,10,TECOMAN,60,144,8532,11164,718,1521,1438,1426,1479,15731,371,214,513,625,207,26,130,,,,,44095,22,1945,46062,82538,
6,COLIMA,5,VILLA DE ALVAREZ,67,168,8053,11866,819,1983,2427,6783,3854,21595,843,135,432,487,188,10,100,,,1730,,61305,65,2129,63499,98772,
