CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,6,,1,COLIMA,1,B,1,0,B,154,93,5,7,6,48,20,110,3,0,2,2,1,0,0,,30,,,481,0,12,493,668,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,1,0,C01,142,98,4,6,6,50,20,120,3,1,1,2,1,0,0,,29,,,483,1,16,500,668,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,2,0,C02,139,92,5,11,13,48,12,107,5,1,2,0,3,0,0,,31,,,469,0,14,483,668,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,3,0,C03,132,90,7,5,6,44,25,105,6,1,2,1,0,0,0,,28,,,452,0,20,472,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,4,0,C04,130,88,8,5,7,59,14,106,5,4,0,1,3,0,2,,0,,,432,34,19,485,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,5,0,C05,156,93,6,7,5,44,25,120,3,3,3,2,0,0,0,,26,,,493,0,11,504,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,6,0,C06,136,92,1,9,8,60,23,94,5,3,1,0,0,0,0,,29,,,461,0,15,476,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,1,C,7,0,C07,156,92,3,11,5,51,23,113,4,2,3,1,0,0,0,,27,,,491,4,13,508,667,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,2,B,1,0,B,87,62,4,7,7,37,9,48,4,1,1,1,0,0,1,,20,,,289,1,2,292,422,Acta Levantada en Consejo,,,
5,6,COLIMA,6,,1,COLIMA,2,C,1,0,C01,98,65,2,5,5,30,7,62,0,0,0,1,0,0,0,,13,,,288,1,4,293,421,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,3,B,1,0,B,81,59,4,16,10,30,9,98,6,2,5,1,0,0,1,33,,,,355,0,12,367,542,Acta Levantada en Consejo,,,
5,6,COLIMA,2,,1,COLIMA,3,C,1,0,C01,71,61,7,13,13,42,16,85,6,0,4,3,2,0,2,21,,,,346,0,13,359,542,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,3,C,2,0,C02,100,68,7,14,8,42,11,79,4,0,3,2,1,0,0,21,,,,360,1,11,372,541,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,4,B,1,0,B,140,81,4,16,6,70,25,96,2,1,0,3,1,0,0,18,,,,463,0,16,479,663,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,5,B,1,0,B,114,71,4,20,3,45,9,72,1,0,2,1,0,0,1,15,,,,358,0,13,371,525,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,6,B,1,0,B,115,108,6,11,10,45,11,76,6,3,0,1,1,0,0,,32,,,425,1,16,442,616,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,6,C,1,0,C01,123,109,4,9,4,50,12,90,4,0,0,0,1,0,0,,14,,,420,0,18,438,616,Acta de Casilla,,,
5,6,COLIMA,6,,1,COLIMA,6,C,2,0,C02,129,92,3,10,5,51,19,107,1,4,2,2,0,0,1,,23,,,449,0,9,458,616,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,7,B,1,0,B,63,61,3,16,7,29,10,72,1,0,1,1,0,0,0,9,,,,273,0,4,277,394,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,7,C,1,0,C01,54,59,4,12,4,25,11,75,1,1,3,2,1,0,2,17,,,,271,0,11,282,393,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,8,B,1,0,B,64,94,3,19,6,39,15,99,5,0,5,1,2,0,0,21,,,,373,1,13,387,531,Acta de Casilla,,,
5,6,COLIMA,2,,1,COLIMA,8,C,1,0,C01,73,72,7,20,7,51,24,94,5,2,4,0,0,0,0,17,,,,376,0,12,388,530,Acta de Casilla,,,
